,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,40,,13.1.85,"05/12/2023, 00:30:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/12/2023, 00:00:00"
1,39,,13.1.85,"05/12/2023, 01:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/12/2023, 00:30:00"
2,38,,13.1.85,"05/12/2023, 02:00:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/12/2023, 01:30:00"
3,37,,13.1.85,"05/12/2023, 02:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/12/2023, 02:00:00"
4,36,,13.1.85,"05/12/2023, 03:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/12/2023, 02:30:00"
5,35,,13.1.85,"05/12/2023, 04:00:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/12/2023, 03:30:00"
6,34,,13.1.85,"05/12/2023, 04:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/12/2023, 04:00:00"
7,33,,13.1.85,"05/12/2023, 09:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/12/2023, 08:30:00"
8,32,,13.1.85,"05/12/2023, 14:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/12/2023, 14:00:00"
9,31,,13.1.85,"05/12/2023, 15:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/12/2023, 15:00:00"
10,30,,13.1.85,"05/12/2023, 16:00:00","{""1"":4,""2"":2}",lumi.158d0008f3a4c6,4,"05/12/2023, 15:30:00"
11,29,,13.1.85,"05/12/2023, 16:30:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/12/2023, 16:00:00"
12,28,,13.1.85,"05/12/2023, 17:00:00","{""1"":7}",lumi.158d0008f3a4c6,4,"05/12/2023, 16:30:00"
13,27,,13.1.85,"05/12/2023, 17:30:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/12/2023, 17:00:00"
14,26,,13.1.85,"05/12/2023, 18:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/12/2023, 17:30:00"
15,25,,13.1.85,"05/12/2023, 18:30:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/12/2023, 18:00:00"
16,24,,13.1.85,"05/12/2023, 19:00:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/12/2023, 18:30:00"
17,23,,13.1.85,"05/13/2023, 01:30:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/13/2023, 01:00:00"
18,22,,13.1.85,"05/13/2023, 02:00:00","{""1"":12}",lumi.158d0008f3a4c6,4,"05/13/2023, 01:30:00"
19,21,,13.1.85,"05/13/2023, 02:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/13/2023, 02:00:00"
20,20,,13.1.85,"05/13/2023, 03:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/13/2023, 02:30:00"
21,19,,13.1.85,"05/13/2023, 09:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/13/2023, 08:30:00"
22,18,,13.1.85,"05/13/2023, 09:30:00","{""1"":11}",lumi.158d0008f3a4c6,4,"05/13/2023, 09:00:00"
23,17,,13.1.85,"05/13/2023, 10:00:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/13/2023, 09:30:00"
24,16,,13.1.85,"05/14/2023, 01:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/14/2023, 01:00:00"
25,15,,13.1.85,"05/14/2023, 13:30:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/14/2023, 13:00:00"
26,14,,13.1.85,"05/14/2023, 14:00:00","{""1"":2,""2"":1}",lumi.158d0008f3a4c6,4,"05/14/2023, 13:30:00"
27,13,,13.1.85,"05/14/2023, 14:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/14/2023, 14:00:00"
28,12,,13.1.85,"05/14/2023, 15:30:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/14/2023, 15:00:00"
29,11,,13.1.85,"05/14/2023, 16:00:00","{""1"":5}",lumi.158d0008f3a4c6,4,"05/14/2023, 15:30:00"
30,10,,13.1.85,"05/14/2023, 17:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/14/2023, 16:30:00"
31,9,,13.1.85,"05/14/2023, 17:30:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/14/2023, 17:00:00"
32,8,,13.1.85,"05/14/2023, 18:00:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/14/2023, 17:30:00"
33,7,,13.1.85,"05/14/2023, 18:30:00","{""1"":7}",lumi.158d0008f3a4c6,4,"05/14/2023, 18:00:00"
34,6,,13.1.85,"05/14/2023, 19:00:00","{""1"":8}",lumi.158d0008f3a4c6,4,"05/14/2023, 18:30:00"
35,5,,13.1.85,"05/14/2023, 19:30:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/14/2023, 19:00:00"
36,4,,13.1.85,"05/14/2023, 22:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/14/2023, 21:30:00"
37,3,,13.1.85,"05/14/2023, 22:30:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/14/2023, 22:00:00"
38,2,,13.1.85,"05/14/2023, 23:00:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/14/2023, 22:30:00"
39,1,,13.1.85,"05/14/2023, 23:30:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/14/2023, 23:00:00"
40,0,,13.1.85,"05/15/2023, 00:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/14/2023, 23:30:00"
41,24,,13.1.85,"05/15/2023, 00:30:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/15/2023, 00:00:00"
42,23,,13.1.85,"05/15/2023, 01:00:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/15/2023, 00:30:00"
43,22,,13.1.85,"05/15/2023, 01:30:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/15/2023, 01:00:00"
44,21,,13.1.85,"05/15/2023, 02:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/15/2023, 01:30:00"
