,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,5,,3.1.85,"05/15/2023, 11:00:00","{""0"":1,""1"":2}",lumi.54ef4410003fdef6,4,"05/15/2023, 10:30:00"
1,4,,3.1.85,"05/15/2023, 14:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/15/2023, 13:30:00"
2,3,,3.1.85,"05/15/2023, 18:30:00","{""0"":1}",lumi.54ef4410003fdef6,4,"05/15/2023, 18:00:00"
3,2,,3.1.85,"05/16/2023, 12:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/16/2023, 12:00:00"
4,1,,3.1.85,"05/16/2023, 13:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/16/2023, 12:30:00"
5,0,,3.1.85,"05/17/2023, 17:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"05/17/2023, 16:30:00"
6,2,,3.1.85,"05/24/2023, 11:30:00","{""0"":2,""1"":3}",lumi.54ef4410003fdef6,4,"05/24/2023, 11:00:00"
7,1,,3.1.85,"05/24/2023, 12:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/24/2023, 11:30:00"
8,0,,3.1.85,"05/25/2023, 00:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/24/2023, 23:30:00"
9,5,,3.1.85,"05/30/2023, 09:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/30/2023, 09:00:00"
10,4,,3.1.85,"05/30/2023, 10:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"05/30/2023, 09:30:00"
11,3,,3.1.85,"05/31/2023, 12:00:00","{""0"":1}",lumi.54ef4410003fdef6,4,"05/31/2023, 11:30:00"
12,2,,3.1.85,"05/31/2023, 12:30:00","{""0"":2,""1"":3}",lumi.54ef4410003fdef6,4,"05/31/2023, 12:00:00"
13,1,,3.1.85,"05/31/2023, 14:30:00","{""0"":5,""1"":4}",lumi.54ef4410003fdef6,4,"05/31/2023, 14:00:00"
14,0,,3.1.85,"05/31/2023, 15:00:00","{""0"":2,""1"":3}",lumi.54ef4410003fdef6,4,"05/31/2023, 14:30:00"
15,6,,3.1.85,"06/02/2023, 11:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/02/2023, 10:30:00"
16,5,,3.1.85,"06/02/2023, 23:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/02/2023, 22:30:00"
17,4,,3.1.85,"06/03/2023, 09:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/03/2023, 09:00:00"
18,3,,3.1.85,"06/03/2023, 15:30:00","{""0"":7,""1"":7}",lumi.54ef4410003fdef6,4,"06/03/2023, 15:00:00"
19,2,,3.1.85,"06/03/2023, 20:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"06/03/2023, 19:30:00"
20,1,,3.1.85,"06/04/2023, 11:30:00","{""0"":4,""1"":4}",lumi.54ef4410003fdef6,4,"06/04/2023, 11:00:00"
21,0,,3.1.85,"06/04/2023, 19:00:00","{""0"":4,""1"":3}",lumi.54ef4410003fdef6,4,"06/04/2023, 18:30:00"
22,7,,3.1.85,"06/05/2023, 01:30:00","{""0"":2,""1"":3}",lumi.54ef4410003fdef6,4,"06/05/2023, 01:00:00"
23,6,,3.1.85,"06/05/2023, 11:00:00","{""0"":3,""1"":3}",lumi.54ef4410003fdef6,4,"06/05/2023, 10:30:00"
24,5,,3.1.85,"06/05/2023, 14:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"06/05/2023, 13:30:00"
25,4,,3.1.85,"06/05/2023, 15:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fdef6,4,"06/05/2023, 15:00:00"
26,3,,3.1.85,"06/06/2023, 05:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"06/06/2023, 05:00:00"
27,2,,3.1.85,"06/06/2023, 09:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fdef6,4,"06/06/2023, 09:00:00"
28,1,,3.1.85,"06/07/2023, 20:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fdef6,4,"06/07/2023, 20:00:00"
29,0,,3.1.85,"06/07/2023, 22:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/07/2023, 22:00:00"
30,2,,3.1.85,"06/09/2023, 12:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/09/2023, 11:30:00"
31,1,,3.1.85,"06/09/2023, 18:00:00","{""0"":3,""1"":3}",lumi.54ef4410003fdef6,4,"06/09/2023, 17:30:00"
32,0,,3.1.85,"06/10/2023, 13:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/10/2023, 13:00:00"
33,0,,3.1.85,"06/12/2023, 18:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fdef6,4,"06/12/2023, 18:00:00"
