,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,31,,13.1.85,"05/12/2023, 00:30:00","{""1"":3,""2"":10}",lumi.158d0008f34d26,4,"05/12/2023, 00:00:00"
1,30,,13.1.85,"05/12/2023, 01:00:00","{""1"":4,""2"":7}",lumi.158d0008f34d26,4,"05/12/2023, 00:30:00"
2,29,,13.1.85,"05/12/2023, 01:30:00","{""1"":2,""2"":9}",lumi.158d0008f34d26,4,"05/12/2023, 01:00:00"
3,28,,13.1.85,"05/12/2023, 02:00:00","{""1"":1,""2"":1}",lumi.158d0008f34d26,4,"05/12/2023, 01:30:00"
4,27,,13.1.85,"05/12/2023, 02:30:00","{""1"":2}",lumi.158d0008f34d26,4,"05/12/2023, 02:00:00"
5,26,,13.1.85,"05/12/2023, 12:00:00","{""1"":1}",lumi.158d0008f34d26,4,"05/12/2023, 11:30:00"
6,25,,13.1.85,"05/12/2023, 19:00:00","{""1"":1}",lumi.158d0008f34d26,4,"05/12/2023, 18:30:00"
7,24,,13.1.85,"05/12/2023, 19:30:00","{""1"":3,""2"":5}",lumi.158d0008f34d26,4,"05/12/2023, 19:00:00"
8,23,,13.1.85,"05/12/2023, 20:30:00","{""1"":2}",lumi.158d0008f34d26,4,"05/12/2023, 20:00:00"
9,22,,13.1.85,"05/12/2023, 21:00:00","{""1"":3,""2"":9}",lumi.158d0008f34d26,4,"05/12/2023, 20:30:00"
10,21,,13.1.85,"05/12/2023, 21:30:00","{""1"":2,""2"":3}",lumi.158d0008f34d26,4,"05/12/2023, 21:00:00"
11,20,,13.1.85,"05/12/2023, 22:30:00","{""1"":4,""2"":3}",lumi.158d0008f34d26,4,"05/12/2023, 22:00:00"
12,19,,13.1.85,"05/12/2023, 23:00:00","{""1"":2,""2"":12}",lumi.158d0008f34d26,4,"05/12/2023, 22:30:00"
13,18,,13.1.85,"05/12/2023, 23:30:00","{""1"":2,""2"":1}",lumi.158d0008f34d26,4,"05/12/2023, 23:00:00"
14,17,,13.1.85,"05/13/2023, 00:00:00","{""1"":1,""2"":4}",lumi.158d0008f34d26,4,"05/12/2023, 23:30:00"
15,16,,13.1.85,"05/13/2023, 00:30:00","{""1"":1,""2"":1}",lumi.158d0008f34d26,4,"05/13/2023, 00:00:00"
16,15,,13.1.85,"05/13/2023, 01:00:00","{""1"":2,""2"":1}",lumi.158d0008f34d26,4,"05/13/2023, 00:30:00"
17,14,,13.1.85,"05/13/2023, 01:30:00","{""1"":2}",lumi.158d0008f34d26,4,"05/13/2023, 01:00:00"
18,13,,13.1.85,"05/13/2023, 02:00:00","{""1"":1}",lumi.158d0008f34d26,4,"05/13/2023, 01:30:00"
19,12,,13.1.85,"05/13/2023, 02:30:00","{""1"":4,""2"":4}",lumi.158d0008f34d26,4,"05/13/2023, 02:00:00"
20,11,,13.1.85,"05/13/2023, 03:00:00","{""1"":1,""2"":3}",lumi.158d0008f34d26,4,"05/13/2023, 02:30:00"
21,10,,13.1.85,"05/13/2023, 03:30:00","{""1"":1,""2"":7}",lumi.158d0008f34d26,4,"05/13/2023, 03:00:00"
22,9,,13.1.85,"05/13/2023, 04:00:00","{""1"":2,""2"":3}",lumi.158d0008f34d26,4,"05/13/2023, 03:30:00"
23,8,,13.1.85,"05/13/2023, 04:30:00","{""1"":4,""2"":3}",lumi.158d0008f34d26,4,"05/13/2023, 04:00:00"
24,7,,13.1.85,"05/13/2023, 09:00:00","{""1"":2}",lumi.158d0008f34d26,4,"05/13/2023, 08:30:00"
25,6,,13.1.85,"05/14/2023, 21:00:00","{""1"":4,""2"":1}",lumi.158d0008f34d26,4,"05/14/2023, 20:30:00"
26,5,,13.1.85,"05/14/2023, 21:30:00","{""1"":1,""2"":2}",lumi.158d0008f34d26,4,"05/14/2023, 21:00:00"
27,4,,13.1.85,"05/14/2023, 22:00:00","{""1"":7,""2"":3}",lumi.158d0008f34d26,4,"05/14/2023, 21:30:00"
28,3,,13.1.85,"05/14/2023, 22:30:00","{""1"":2,""2"":4}",lumi.158d0008f34d26,4,"05/14/2023, 22:00:00"
29,2,,13.1.85,"05/14/2023, 23:00:00","{""2"":6}",lumi.158d0008f34d26,4,"05/14/2023, 22:30:00"
30,1,,13.1.85,"05/14/2023, 23:30:00","{""2"":7}",lumi.158d0008f34d26,4,"05/14/2023, 23:00:00"
31,0,,13.1.85,"05/15/2023, 00:00:00","{""1"":2,""2"":1}",lumi.158d0008f34d26,4,"05/14/2023, 23:30:00"
32,35,,13.1.85,"05/15/2023, 00:30:00","{""1"":1,""2"":2}",lumi.158d0008f34d26,4,"05/15/2023, 00:00:00"
33,34,,13.1.85,"05/15/2023, 01:00:00","{""1"":1}",lumi.158d0008f34d26,4,"05/15/2023, 00:30:00"
