,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,9,,3.1.85,1685070000000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1685026800000
1,8,,3.1.85,1685156400000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1685113200000
2,7,,3.1.85,1685199600000,"{""0"":3,""1"":3}",lumi.54ef4410003fd550,4,1685156400000
3,6,,3.1.85,1685286000000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1685242800000
4,5,,3.1.85,1685372400000,"{""0"":4,""1"":4}",lumi.54ef4410003fd550,4,1685329200000
5,4,,3.1.85,1685458800000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1685415600000
6,3,,3.1.85,1685502000000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1685458800000
7,2,,3.1.85,1685545200000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1685502000000
8,1,,3.1.85,1685631600000,"{""0"":3,""1"":3}",lumi.54ef4410003fd550,4,1685588400000
9,0,,3.1.85,1685674800000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1685631600000
0,5,,3.1.85,1685674800000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1685631600000
1,4,,3.1.85,1686063600000,"{""0"":3,""1"":3}",lumi.54ef4410003fd550,4,1686020400000
2,3,,3.1.85,1686106800000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1686063600000
3,2,,3.1.85,1686150000000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1686106800000
4,1,,3.1.85,1686193200000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1686150000000
5,0,,3.1.85,1686236400000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1686193200000
0,8,,3.1.85,1684508400000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684465200000
1,7,,3.1.85,1684594800000,"{""0"":6,""1"":6}",lumi.54ef4410003fd550,4,1684551600000
2,6,,3.1.85,1684767600000,"{""0"":4,""1"":4}",lumi.54ef4410003fd550,4,1684724400000
3,5,,3.1.85,1684810800000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684767600000
4,4,,3.1.85,1684854000000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684810800000
5,3,,3.1.85,1684897200000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684854000000
6,2,,3.1.85,1684940400000,"{""0"":4,""1"":4}",lumi.54ef4410003fd550,4,1684897200000
7,1,,3.1.85,1685026800000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1684983600000
8,0,,3.1.85,1685070000000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1685026800000
0,10,,3.1.85,1683860400000,"{""0"":3,""1"":3}",lumi.54ef4410003fd550,4,1683817200000
1,9,,3.1.85,1683903600000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1683860400000
2,8,,3.1.85,1683946800000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1683903600000
3,7,,3.1.85,1684076400000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684033200000
4,6,,3.1.85,1684119600000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684076400000
5,5,,3.1.85,1684162800000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684119600000
6,4,,3.1.85,1684206000000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684162800000
7,3,,3.1.85,1684249200000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684206000000
8,2,,3.1.85,1684292400000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684249200000
9,1,,3.1.85,1684378800000,"{""0"":1,""1"":1}",lumi.54ef4410003fd550,4,1684335600000
10,0,,3.1.85,1684422000000,"{""0"":2,""1"":2}",lumi.54ef4410003fd550,4,1684378800000
