,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,11,,13.1.85,"05/12/2023, 08:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/12/2023, 07:30:00"
1,10,,13.1.85,"05/13/2023, 00:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/12/2023, 23:30:00"
2,9,,13.1.85,"05/13/2023, 00:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/13/2023, 00:00:00"
3,8,,13.1.85,"05/13/2023, 01:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/13/2023, 00:30:00"
4,7,,13.1.85,"05/13/2023, 02:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/13/2023, 02:00:00"
5,6,,13.1.85,"05/13/2023, 20:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/13/2023, 19:30:00"
6,5,,13.1.85,"05/13/2023, 20:30:00","{""1"":2,""2"":1}",lumi.158d0008f34cd6,4,"05/13/2023, 20:00:00"
7,4,,13.1.85,"05/14/2023, 00:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/14/2023, 00:00:00"
8,3,,13.1.85,"05/14/2023, 02:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/14/2023, 01:30:00"
9,2,,13.1.85,"05/14/2023, 13:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/14/2023, 12:30:00"
10,1,,13.1.85,"05/14/2023, 13:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/14/2023, 13:00:00"
11,0,,13.1.85,"05/14/2023, 18:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/14/2023, 17:30:00"
12,8,,13.1.85,"05/15/2023, 02:00:00","{""1"":2,""2"":1}",lumi.158d0008f34cd6,4,"05/15/2023, 01:30:00"
13,7,,13.1.85,"05/15/2023, 20:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/15/2023, 20:00:00"
14,6,,13.1.85,"05/15/2023, 22:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/15/2023, 22:00:00"
15,5,,13.1.85,"05/16/2023, 00:00:00","{""1"":2,""2"":1}",lumi.158d0008f34cd6,4,"05/15/2023, 23:30:00"
16,4,,13.1.85,"05/16/2023, 22:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/16/2023, 22:00:00"
17,3,,13.1.85,"05/17/2023, 01:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/17/2023, 01:00:00"
18,2,,13.1.85,"05/17/2023, 19:30:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/17/2023, 19:00:00"
19,1,,13.1.85,"05/17/2023, 22:30:00","{""1"":2,""2"":1}",lumi.158d0008f34cd6,4,"05/17/2023, 22:00:00"
20,0,,13.1.85,"05/17/2023, 23:30:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"05/17/2023, 23:00:00"
21,4,,13.1.85,"05/18/2023, 23:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/18/2023, 22:30:00"
22,3,,13.1.85,"05/19/2023, 00:30:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"05/19/2023, 00:00:00"
23,2,,13.1.85,"05/20/2023, 01:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/20/2023, 01:00:00"
24,1,,13.1.85,"05/20/2023, 20:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/20/2023, 20:00:00"
25,0,,13.1.85,"05/20/2023, 21:00:00","{""1"":2,""2"":1}",lumi.158d0008f34cd6,4,"05/20/2023, 20:30:00"
26,4,,13.1.85,"05/21/2023, 01:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/21/2023, 01:00:00"
27,3,,13.1.85,"05/22/2023, 03:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/22/2023, 02:30:00"
28,2,,13.1.85,"05/23/2023, 01:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/23/2023, 01:00:00"
29,1,,13.1.85,"05/23/2023, 19:30:00","{""1"":3}",lumi.158d0008f34cd6,4,"05/23/2023, 19:00:00"
30,0,,13.1.85,"05/23/2023, 22:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/23/2023, 22:00:00"
31,4,,13.1.85,"05/25/2023, 19:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/25/2023, 18:30:00"
32,3,,13.1.85,"05/25/2023, 19:30:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/25/2023, 19:00:00"
33,2,,13.1.85,"05/26/2023, 01:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/26/2023, 01:00:00"
34,1,,13.1.85,"05/26/2023, 23:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/26/2023, 22:30:00"
35,0,,13.1.85,"05/26/2023, 23:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/26/2023, 23:00:00"
36,20,,13.1.85,"05/27/2023, 09:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/27/2023, 08:30:00"
