,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,72,,3.1.85,"05/12/2023, 19:00:00","{""1"":33}",lumi.54ef44100051ad7c,4,"05/12/2023, 18:30:00"
1,71,,3.1.85,"05/12/2023, 19:30:00","{""1"":10}",lumi.54ef44100051ad7c,4,"05/12/2023, 19:00:00"
2,70,,3.1.85,"05/12/2023, 20:00:00","{""1"":5}",lumi.54ef44100051ad7c,4,"05/12/2023, 19:30:00"
3,69,,3.1.85,"05/12/2023, 20:30:00","{""1"":7}",lumi.54ef44100051ad7c,4,"05/12/2023, 20:00:00"
4,68,,3.1.85,"05/12/2023, 21:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/12/2023, 20:30:00"
5,67,,3.1.85,"05/12/2023, 21:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/12/2023, 21:00:00"
6,66,,3.1.85,"05/12/2023, 22:00:00","{""1"":9}",lumi.54ef44100051ad7c,4,"05/12/2023, 21:30:00"
7,65,,3.1.85,"05/12/2023, 22:30:00","{""1"":9}",lumi.54ef44100051ad7c,4,"05/12/2023, 22:00:00"
8,64,,3.1.85,"05/12/2023, 23:00:00","{""1"":10}",lumi.54ef44100051ad7c,4,"05/12/2023, 22:30:00"
9,63,,3.1.85,"05/12/2023, 23:30:00","{""1"":11}",lumi.54ef44100051ad7c,4,"05/12/2023, 23:00:00"
10,62,,3.1.85,"05/13/2023, 00:00:00","{""1"":7}",lumi.54ef44100051ad7c,4,"05/12/2023, 23:30:00"
11,61,,3.1.85,"05/13/2023, 01:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/13/2023, 00:30:00"
12,60,,3.1.85,"05/13/2023, 02:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 01:30:00"
13,59,,3.1.85,"05/13/2023, 02:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 02:00:00"
14,58,,3.1.85,"05/13/2023, 03:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 02:30:00"
15,57,,3.1.85,"05/13/2023, 03:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 03:00:00"
16,56,,3.1.85,"05/13/2023, 04:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 04:00:00"
17,55,,3.1.85,"05/13/2023, 05:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 04:30:00"
18,54,,3.1.85,"05/13/2023, 05:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 05:00:00"
19,53,,3.1.85,"05/13/2023, 06:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 05:30:00"
20,52,,3.1.85,"05/13/2023, 06:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 06:00:00"
21,51,,3.1.85,"05/13/2023, 07:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 07:00:00"
22,50,,3.1.85,"05/13/2023, 08:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 07:30:00"
23,49,,3.1.85,"05/13/2023, 08:30:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 08:00:00"
24,48,,3.1.85,"05/13/2023, 09:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 08:30:00"
25,47,,3.1.85,"05/13/2023, 09:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 09:00:00"
26,46,,3.1.85,"05/13/2023, 10:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 09:30:00"
27,45,,3.1.85,"05/13/2023, 10:30:00","{""1"":5}",lumi.54ef44100051ad7c,4,"05/13/2023, 10:00:00"
28,44,,3.1.85,"05/13/2023, 11:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 10:30:00"
29,43,,3.1.85,"05/13/2023, 11:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 11:00:00"
30,42,,3.1.85,"05/13/2023, 12:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/13/2023, 11:30:00"
31,41,,3.1.85,"05/13/2023, 12:30:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/13/2023, 12:00:00"
32,40,,3.1.85,"05/13/2023, 13:00:00","{""1"":11}",lumi.54ef44100051ad7c,4,"05/13/2023, 12:30:00"
33,39,,3.1.85,"05/13/2023, 13:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 13:00:00"
34,38,,3.1.85,"05/13/2023, 14:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 13:30:00"
35,37,,3.1.85,"05/13/2023, 14:30:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 14:00:00"
36,36,,3.1.85,"05/13/2023, 15:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 14:30:00"
37,35,,3.1.85,"05/13/2023, 15:30:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 15:00:00"
38,34,,3.1.85,"05/13/2023, 16:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/13/2023, 15:30:00"
39,33,,3.1.85,"05/13/2023, 17:30:00","{""1"":5}",lumi.54ef44100051ad7c,4,"05/13/2023, 17:00:00"
40,32,,3.1.85,"05/13/2023, 18:00:00","{""1"":6}",lumi.54ef44100051ad7c,4,"05/13/2023, 17:30:00"
41,31,,3.1.85,"05/13/2023, 18:30:00","{""1"":9}",lumi.54ef44100051ad7c,4,"05/13/2023, 18:00:00"
42,30,,3.1.85,"05/13/2023, 19:00:00","{""1"":16}",lumi.54ef44100051ad7c,4,"05/13/2023, 18:30:00"
43,29,,3.1.85,"05/13/2023, 19:30:00","{""1"":7}",lumi.54ef44100051ad7c,4,"05/13/2023, 19:00:00"
44,28,,3.1.85,"05/13/2023, 20:00:00","{""1"":10}",lumi.54ef44100051ad7c,4,"05/13/2023, 19:30:00"
45,27,,3.1.85,"05/13/2023, 20:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 20:00:00"
46,26,,3.1.85,"05/13/2023, 21:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/13/2023, 20:30:00"
47,25,,3.1.85,"05/13/2023, 21:30:00","{""1"":10}",lumi.54ef44100051ad7c,4,"05/13/2023, 21:00:00"
48,24,,3.1.85,"05/13/2023, 22:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 21:30:00"
49,23,,3.1.85,"05/13/2023, 22:30:00","{""1"":8}",lumi.54ef44100051ad7c,4,"05/13/2023, 22:00:00"
50,22,,3.1.85,"05/13/2023, 23:00:00","{""1"":6}",lumi.54ef44100051ad7c,4,"05/13/2023, 22:30:00"
51,21,,3.1.85,"05/13/2023, 23:30:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 23:00:00"
52,20,,3.1.85,"05/14/2023, 00:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/13/2023, 23:30:00"
53,19,,3.1.85,"05/14/2023, 00:30:00","{""1"":5}",lumi.54ef44100051ad7c,4,"05/14/2023, 00:00:00"
54,18,,3.1.85,"05/14/2023, 01:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/14/2023, 00:30:00"
55,17,,3.1.85,"05/14/2023, 12:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/14/2023, 11:30:00"
56,16,,3.1.85,"05/14/2023, 12:30:00","{""1"":9}",lumi.54ef44100051ad7c,4,"05/14/2023, 12:00:00"
57,15,,3.1.85,"05/14/2023, 13:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/14/2023, 12:30:00"
58,14,,3.1.85,"05/14/2023, 13:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/14/2023, 13:00:00"
59,13,,3.1.85,"05/14/2023, 14:00:00","{""1"":1}",lumi.54ef44100051ad7c,4,"05/14/2023, 13:30:00"
60,12,,3.1.85,"05/14/2023, 15:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/14/2023, 14:30:00"
61,11,,3.1.85,"05/14/2023, 16:00:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/14/2023, 15:30:00"
62,10,,3.1.85,"05/14/2023, 16:30:00","{""1"":5}",lumi.54ef44100051ad7c,4,"05/14/2023, 16:00:00"
63,9,,3.1.85,"05/14/2023, 17:00:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/14/2023, 16:30:00"
64,8,,3.1.85,"05/14/2023, 17:30:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/14/2023, 17:00:00"
65,7,,3.1.85,"05/14/2023, 18:30:00","{""1"":3}",lumi.54ef44100051ad7c,4,"05/14/2023, 18:00:00"
66,6,,3.1.85,"05/14/2023, 19:00:00","{""1"":4}",lumi.54ef44100051ad7c,4,"05/14/2023, 18:30:00"
67,5,,3.1.85,"05/14/2023, 19:30:00","{""1"":2}",lumi.54ef44100051ad7c,4,"05/14/2023, 19:00:00"
68,4,,3.1.85,"05/14/2023, 21:30:00","{""1"":9}",lumi.54ef44100051ad7c,4,"05/14/2023, 21:00:00"
69,3,,3.1.85,"05/14/2023, 22:00:00","{""1"":27}",lumi.54ef44100051ad7c,4,"05/14/2023, 21:30:00"
70,2,,3.1.85,"05/14/2023, 22:30:00","{""1"":16}",lumi.54ef44100051ad7c,4,"05/14/2023, 22:00:00"
71,1,,3.1.85,"05/14/2023, 23:00:00","{""1"":10}",lumi.54ef44100051ad7c,4,"05/14/2023, 22:30:00"
