,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
0,3,,13.1.85,"05/12/2023, 21:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/12/2023, 21:00:00"
1,2,,13.1.85,"05/13/2023, 23:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/13/2023, 23:00:00"
2,1,,13.1.85,"05/14/2023, 10:00:00","{""1"":1}",lumi.158d0008f341bd,4,"05/14/2023, 09:30:00"
3,0,,13.1.85,"05/14/2023, 11:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/14/2023, 11:00:00"
4,12,,13.1.85,"05/18/2023, 12:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/18/2023, 12:00:00"
5,11,,13.1.85,"05/19/2023, 02:00:00","{""1"":1}",lumi.158d0008f341bd,4,"05/19/2023, 01:30:00"
6,10,,13.1.85,"05/19/2023, 19:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/19/2023, 19:00:00"
7,9,,13.1.85,"05/19/2023, 20:00:00","{""1"":1}",lumi.158d0008f341bd,4,"05/19/2023, 19:30:00"
8,8,,13.1.85,"05/20/2023, 00:00:00","{""1"":1,""2"":2}",lumi.158d0008f341bd,4,"05/19/2023, 23:30:00"
9,7,,13.1.85,"05/20/2023, 10:00:00","{""1"":4,""2"":1}",lumi.158d0008f341bd,4,"05/20/2023, 09:30:00"
10,6,,13.1.85,"05/20/2023, 10:30:00","{""1"":2}",lumi.158d0008f341bd,4,"05/20/2023, 10:00:00"
11,5,,13.1.85,"05/20/2023, 16:30:00","{""1"":2,""2"":1}",lumi.158d0008f341bd,4,"05/20/2023, 16:00:00"
12,4,,13.1.85,"05/20/2023, 17:00:00","{""1"":3}",lumi.158d0008f341bd,4,"05/20/2023, 16:30:00"
13,3,,13.1.85,"05/20/2023, 17:30:00","{""1"":3,""2"":1}",lumi.158d0008f341bd,4,"05/20/2023, 17:00:00"
14,2,,13.1.85,"05/20/2023, 18:00:00","{""1"":4,""2"":2}",lumi.158d0008f341bd,4,"05/20/2023, 17:30:00"
15,1,,13.1.85,"05/20/2023, 20:00:00","{""1"":1}",lumi.158d0008f341bd,4,"05/20/2023, 19:30:00"
16,0,,13.1.85,"05/20/2023, 21:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/20/2023, 21:00:00"
17,2,,13.1.85,"05/21/2023, 10:30:00","{""1"":1}",lumi.158d0008f341bd,4,"05/21/2023, 10:00:00"
18,1,,13.1.85,"05/21/2023, 17:00:00","{""1"":1}",lumi.158d0008f341bd,4,"05/21/2023, 16:30:00"
19,0,,13.1.85,"05/21/2023, 21:30:00","{""1"":2}",lumi.158d0008f341bd,4,"05/21/2023, 21:00:00"
20,0,,13.1.85,"05/24/2023, 02:00:00","{""1"":1}",lumi.158d0008f341bd,4,"05/24/2023, 01:30:00"
21,1,,13.1.85,"05/29/2023, 00:00:00","{""1"":1,""2"":2}",lumi.158d0008f341bd,4,"05/28/2023, 23:30:00"
22,0,,13.1.85,"05/29/2023, 13:30:00","{""1"":2,""3"":1}",lumi.158d0008f341bd,4,"05/29/2023, 13:00:00"
23,3,,13.1.85,"05/30/2023, 12:00:00","{""1"":2}",lumi.158d0008f341bd,4,"05/30/2023, 11:30:00"
24,2,,13.1.85,"05/31/2023, 12:00:00","{""1"":1,""2"":1}",lumi.158d0008f341bd,4,"05/31/2023, 11:30:00"
25,1,,13.1.85,"06/01/2023, 17:00:00","{""2"":1}",lumi.158d0008f341bd,4,"06/01/2023, 16:30:00"
26,0,,13.1.85,"06/02/2023, 00:00:00","{""1"":1,""2"":2}",lumi.158d0008f341bd,4,"06/01/2023, 23:30:00"
27,5,,13.1.85,"06/02/2023, 13:30:00","{""1"":1}",lumi.158d0008f341bd,4,"06/02/2023, 13:00:00"
28,4,,13.1.85,"06/02/2023, 14:00:00","{""1"":1,""2"":1}",lumi.158d0008f341bd,4,"06/02/2023, 13:30:00"
29,3,,13.1.85,"06/02/2023, 14:30:00","{""1"":1,""2"":1}",lumi.158d0008f341bd,4,"06/02/2023, 14:00:00"
30,2,,13.1.85,"06/02/2023, 20:30:00","{""1"":2,""2"":1}",lumi.158d0008f341bd,4,"06/02/2023, 20:00:00"
31,1,,13.1.85,"06/02/2023, 21:30:00","{""1"":2}",lumi.158d0008f341bd,4,"06/02/2023, 21:00:00"
32,0,,13.1.85,"06/02/2023, 23:00:00","{""1"":1}",lumi.158d0008f341bd,4,"06/02/2023, 22:30:00"
33,6,,13.1.85,"06/05/2023, 01:30:00","{""1"":1}",lumi.158d0008f341bd,4,"06/05/2023, 01:00:00"
34,5,,13.1.85,"06/05/2023, 02:00:00","{""1"":1}",lumi.158d0008f341bd,4,"06/05/2023, 01:30:00"
35,4,,13.1.85,"06/05/2023, 20:00:00","{""1"":4}",lumi.158d0008f341bd,4,"06/05/2023, 19:30:00"
36,3,,13.1.85,"06/05/2023, 20:30:00","{""1"":1,""2"":1}",lumi.158d0008f341bd,4,"06/05/2023, 20:00:00"
37,2,,13.1.85,"06/05/2023, 21:00:00","{""1"":2}",lumi.158d0008f341bd,4,"06/05/2023, 20:30:00"
38,1,,13.1.85,"06/05/2023, 21:30:00","{""1"":1}",lumi.158d0008f341bd,4,"06/05/2023, 21:00:00"
39,0,,13.1.85,"06/07/2023, 22:00:00","{""1"":1}",lumi.158d0008f341bd,4,"06/07/2023, 21:30:00"
