,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1105536655133995008,2023-07-23 22:17:02.351,GMT+09:00,lumi.gateway.aqcn03,2023-07-23 22:17:02.351,1,1,3.3.0_0020.0004,Smart Hub E1,lumi1.54ef4437dc19
1,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:18:10.575,GMT+09:00,lumi.magnet.agl02,2023-07-23 22:18:10.575,3,1,0.0.0_0029,Door,lumi.54ef4410003fe821
2,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:19:06.033,GMT+09:00,lumi.motion.agl02,2023-07-23 22:19:06.033,3,1,0.0.0_0035,Motion Sensor,lumi.54ef44100051b148
3,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:19:48.770,GMT+09:00,lumi.sen_ill.agl01,2023-07-23 22:19:48.770,3,1,0.0.0_0027,Brightness Sensor,lumi.54ef44100065d2f0
4,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:20:22.842,GMT+09:00,lumi.sensor_ht.agl02,2023-07-23 22:20:22.842,3,1,0.0.0_0028,Temperature and Humidity Sensor,lumi.54ef4410004b13a4
5,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:22:05.537,GMT+09:00,lumi.vibration.aq1,2023-07-23 22:22:05.537,3,1,0.0.0_0008,Washer,lumi.158d0008f34dce
6,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:22:29.356,GMT+09:00,lumi.vibration.aq1,2023-07-23 22:22:29.356,3,1,0.0.0_0008,Chair,lumi.158d0008f3a4c6
7,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:22:47.811,GMT+09:00,lumi.vibration.aq1,2023-07-23 22:22:47.811,3,1,0.0.0_0008,Cleaner,lumi.158d0008d0ce9d
8,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:24:19.427,GMT+09:00,lumi.magnet.agl02,2023-07-23 22:24:19.427,3,1,0.0.0_0029,Microwave,lumi.54ef4410003fe04b
9,lumi1.54ef4437dc19,real2.1105536655133995008,2023-07-23 22:25:15.489,GMT+09:00,lumi.vibration.aq1,2023-07-23 22:25:15.489,3,1,0.0.0_0008,Fridge,lumi.158d0008f34c4c
