,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
296,,0.3.85,"05/15/2023, 00:30:00",100400.0,lumi.54ef44100053a193,3,"05/15/2023, 00:00:00"
295,,0.1.85,"05/15/2023, 00:30:00",2374.0,lumi.54ef44100053a193,3,"05/15/2023, 00:00:00"
294,,0.2.85,"05/15/2023, 00:30:00",4575.5,lumi.54ef44100053a193,3,"05/15/2023, 00:00:00"
293,"05/15/2023, 00:26:02",0.2.85,"05/15/2023, 00:30:00",4585.000000,lumi.54ef44100053a193,2,"05/15/2023, 00:00:00"
292,"05/15/2023, 00:26:02",0.1.85,"05/15/2023, 00:30:00",2374.000000,lumi.54ef44100053a193,2,"05/15/2023, 00:00:00"
291,"05/15/2023, 00:26:02",0.3.85,"05/15/2023, 00:30:00",100400.000000,lumi.54ef44100053a193,2,"05/15/2023, 00:00:00"
290,"05/15/2023, 00:26:02",0.3.85,"05/15/2023, 00:30:00",100400.000000,lumi.54ef44100053a193,1,"05/15/2023, 00:00:00"
289,"05/15/2023, 00:28:59",0.2.85,"05/15/2023, 00:30:00",4566.000000,lumi.54ef44100053a193,1,"05/15/2023, 00:00:00"
288,"05/15/2023, 00:26:02",0.1.85,"05/15/2023, 00:30:00",2374.000000,lumi.54ef44100053a193,1,"05/15/2023, 00:00:00"
287,,0.3.85,"05/15/2023, 01:00:00",100480.0,lumi.54ef44100053a193,3,"05/15/2023, 00:30:00"
286,"05/15/2023, 00:50:20",0.3.85,"05/15/2023, 01:00:00",100480.000000,lumi.54ef44100053a193,2,"05/15/2023, 00:30:00"
285,"05/15/2023, 00:50:20",0.3.85,"05/15/2023, 01:00:00",100480.000000,lumi.54ef44100053a193,1,"05/15/2023, 00:30:00"
284,,0.3.85,"05/15/2023, 01:30:00",100400.0,lumi.54ef44100053a193,3,"05/15/2023, 01:00:00"
283,,0.1.85,"05/15/2023, 01:30:00",2357.0,lumi.54ef44100053a193,3,"05/15/2023, 01:00:00"
282,,0.2.85,"05/15/2023, 01:30:00",4402.0,lumi.54ef44100053a193,3,"05/15/2023, 01:00:00"
281,"05/15/2023, 01:20:49",0.2.85,"05/15/2023, 01:30:00",4402.000000,lumi.54ef44100053a193,2,"05/15/2023, 01:00:00"
280,"05/15/2023, 01:20:49",0.1.85,"05/15/2023, 01:30:00",2357.000000,lumi.54ef44100053a193,2,"05/15/2023, 01:00:00"
279,"05/15/2023, 01:20:49",0.3.85,"05/15/2023, 01:30:00",100400.000000,lumi.54ef44100053a193,2,"05/15/2023, 01:00:00"
278,"05/15/2023, 01:20:49",0.3.85,"05/15/2023, 01:30:00",100400.000000,lumi.54ef44100053a193,1,"05/15/2023, 01:00:00"
277,"05/15/2023, 01:20:49",0.2.85,"05/15/2023, 01:30:00",4402.000000,lumi.54ef44100053a193,1,"05/15/2023, 01:00:00"
276,"05/15/2023, 01:20:49",0.1.85,"05/15/2023, 01:30:00",2357.000000,lumi.54ef44100053a193,1,"05/15/2023, 01:00:00"
275,,0.3.85,"05/15/2023, 02:00:00",100450.0,lumi.54ef44100053a193,3,"05/15/2023, 01:30:00"
274,,0.1.85,"05/15/2023, 02:00:00",2339.0,lumi.54ef44100053a193,3,"05/15/2023, 01:30:00"
273,"05/15/2023, 01:49:41",0.1.85,"05/15/2023, 02:00:00",2339.000000,lumi.54ef44100053a193,2,"05/15/2023, 01:30:00"
272,"05/15/2023, 01:52:25",0.3.85,"05/15/2023, 02:00:00",100450.000000,lumi.54ef44100053a193,2,"05/15/2023, 01:30:00"
271,"05/15/2023, 01:52:25",0.3.85,"05/15/2023, 02:00:00",100450.000000,lumi.54ef44100053a193,1,"05/15/2023, 01:30:00"
270,"05/15/2023, 01:49:41",0.1.85,"05/15/2023, 02:00:00",2339.000000,lumi.54ef44100053a193,1,"05/15/2023, 01:30:00"
269,,0.3.85,"05/15/2023, 02:30:00",100410.0,lumi.54ef44100053a193,3,"05/15/2023, 02:00:00"
268,,0.1.85,"05/15/2023, 02:30:00",2322.0,lumi.54ef44100053a193,3,"05/15/2023, 02:00:00"
267,,0.2.85,"05/15/2023, 02:30:00",4319.0,lumi.54ef44100053a193,3,"05/15/2023, 02:00:00"
266,"05/15/2023, 02:15:36",0.2.85,"05/15/2023, 02:30:00",4319.000000,lumi.54ef44100053a193,2,"05/15/2023, 02:00:00"
265,"05/15/2023, 02:15:36",0.1.85,"05/15/2023, 02:30:00",2322.000000,lumi.54ef44100053a193,2,"05/15/2023, 02:00:00"
264,"05/15/2023, 02:19:50",0.3.85,"05/15/2023, 02:30:00",100420.000000,lumi.54ef44100053a193,2,"05/15/2023, 02:00:00"
263,"05/15/2023, 02:15:36",0.3.85,"05/15/2023, 02:30:00",100400.000000,lumi.54ef44100053a193,1,"05/15/2023, 02:00:00"
