,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
113,,0.3.85,"05/27/2023, 01:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 01:00:00"
112,"05/27/2023, 01:15:51",0.3.85,"05/27/2023, 01:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 01:00:00"
111,"05/27/2023, 01:15:51",0.3.85,"05/27/2023, 01:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 01:00:00"
110,,0.3.85,"05/27/2023, 04:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 04:00:00"
109,"05/27/2023, 04:00:18",0.3.85,"05/27/2023, 04:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 04:00:00"
108,"05/27/2023, 04:00:18",0.3.85,"05/27/2023, 04:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 04:00:00"
107,,0.3.85,"05/27/2023, 07:00:00",2.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 06:30:00"
106,"05/27/2023, 06:44:45",0.3.85,"05/27/2023, 07:00:00",2.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 06:30:00"
105,"05/27/2023, 06:44:45",0.3.85,"05/27/2023, 07:00:00",2.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 06:30:00"
104,,0.3.85,"05/27/2023, 09:00:00",5.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 08:30:00"
103,"05/27/2023, 08:34:23",0.3.85,"05/27/2023, 09:00:00",10.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 08:30:00"
102,"05/27/2023, 08:43:23",0.3.85,"05/27/2023, 09:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 08:30:00"
101,,0.3.85,"05/27/2023, 09:30:00",13.333333,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 09:00:00"
100,"05/27/2023, 09:03:09",0.3.85,"05/27/2023, 09:30:00",16.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 09:00:00"
99,"05/27/2023, 09:02:14",0.3.85,"05/27/2023, 09:30:00",10.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 09:00:00"
98,,0.3.85,"05/27/2023, 10:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 09:30:00"
97,"05/27/2023, 09:35:33",0.3.85,"05/27/2023, 10:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 09:30:00"
96,"05/27/2023, 09:35:33",0.3.85,"05/27/2023, 10:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 09:30:00"
95,,0.3.85,"05/27/2023, 12:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 12:00:00"
94,"05/27/2023, 12:13:40",0.3.85,"05/27/2023, 12:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 12:00:00"
93,"05/27/2023, 12:13:40",0.3.85,"05/27/2023, 12:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 12:00:00"
92,,0.3.85,"05/27/2023, 13:30:00",8.666667,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 13:00:00"
91,"05/27/2023, 13:08:29",0.3.85,"05/27/2023, 13:30:00",14.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 13:00:00"
90,"05/27/2023, 13:19:23",0.3.85,"05/27/2023, 13:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 13:00:00"
89,,0.3.85,"05/27/2023, 16:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 15:30:00"
88,"05/27/2023, 15:52:56",0.3.85,"05/27/2023, 16:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 15:30:00"
87,"05/27/2023, 15:52:56",0.3.85,"05/27/2023, 16:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 15:30:00"
86,,0.3.85,"05/27/2023, 17:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 16:30:00"
85,"05/27/2023, 16:47:45",0.3.85,"05/27/2023, 17:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 16:30:00"
84,"05/27/2023, 16:47:45",0.3.85,"05/27/2023, 17:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 16:30:00"
83,,0.3.85,"05/27/2023, 17:30:00",10.333333,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 17:00:00"
82,"05/27/2023, 17:07:23",0.3.85,"05/27/2023, 17:30:00",16.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 17:00:00"
81,"05/27/2023, 17:12:17",0.3.85,"05/27/2023, 17:30:00",5.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 17:00:00"
80,,0.3.85,"05/27/2023, 20:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 19:30:00"
79,"05/27/2023, 19:32:13",0.3.85,"05/27/2023, 20:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 19:30:00"
78,"05/27/2023, 19:32:13",0.3.85,"05/27/2023, 20:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 19:30:00"
77,,0.3.85,"05/27/2023, 22:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/27/2023, 22:00:00"
76,"05/27/2023, 22:16:41",0.3.85,"05/27/2023, 22:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/27/2023, 22:00:00"
75,"05/27/2023, 22:16:41",0.3.85,"05/27/2023, 22:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/27/2023, 22:00:00"
74,,0.3.85,"05/28/2023, 01:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 01:00:00"
73,"05/28/2023, 01:01:08",0.3.85,"05/28/2023, 01:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 01:00:00"
72,"05/28/2023, 01:01:08",0.3.85,"05/28/2023, 01:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 01:00:00"
71,,0.3.85,"05/28/2023, 04:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 03:30:00"
70,"05/28/2023, 03:45:36",0.3.85,"05/28/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 03:30:00"
69,"05/28/2023, 03:45:36",0.3.85,"05/28/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 03:30:00"
68,,0.3.85,"05/28/2023, 07:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 06:30:00"
67,"05/28/2023, 06:30:03",0.3.85,"05/28/2023, 07:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 06:30:00"
66,"05/28/2023, 06:30:03",0.3.85,"05/28/2023, 07:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 06:30:00"
65,,0.3.85,"05/28/2023, 08:30:00",7.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 08:00:00"
64,"05/28/2023, 08:26:17",0.3.85,"05/28/2023, 08:30:00",12.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 08:00:00"
63,"05/28/2023, 08:19:41",0.3.85,"05/28/2023, 08:30:00",2.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 08:00:00"
62,,0.3.85,"05/28/2023, 09:00:00",11.5,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 08:30:00"
61,"05/28/2023, 08:32:50",0.3.85,"05/28/2023, 09:00:00",19.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 08:30:00"
60,"05/28/2023, 08:48:02",0.3.85,"05/28/2023, 09:00:00",4.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 08:30:00"
59,,0.3.85,"05/28/2023, 11:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 11:00:00"
58,"05/28/2023, 11:04:09",0.3.85,"05/28/2023, 11:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 11:00:00"
57,"05/28/2023, 11:04:09",0.3.85,"05/28/2023, 11:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 11:00:00"
56,,0.3.85,"05/28/2023, 14:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 13:30:00"
55,"05/28/2023, 13:48:37",0.3.85,"05/28/2023, 14:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 13:30:00"
54,"05/28/2023, 13:48:37",0.3.85,"05/28/2023, 14:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 13:30:00"
53,,0.3.85,"05/28/2023, 17:00:00",2.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 16:30:00"
52,"05/28/2023, 16:33:06",0.3.85,"05/28/2023, 17:00:00",2.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 16:30:00"
51,"05/28/2023, 16:33:06",0.3.85,"05/28/2023, 17:00:00",2.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 16:30:00"
50,,0.3.85,"05/28/2023, 19:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 19:00:00"
49,"05/28/2023, 19:17:35",0.3.85,"05/28/2023, 19:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 19:00:00"
48,"05/28/2023, 19:17:35",0.3.85,"05/28/2023, 19:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 19:00:00"
47,,0.3.85,"05/28/2023, 22:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 22:00:00"
46,"05/28/2023, 22:02:03",0.3.85,"05/28/2023, 22:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 22:00:00"
45,"05/28/2023, 22:02:03",0.3.85,"05/28/2023, 22:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 22:00:00"
44,,0.3.85,"05/29/2023, 00:00:00",5.5,lumi.4cf8cdf3c8dcfa2,3,"05/28/2023, 23:30:00"
43,"05/28/2023, 23:43:14",0.3.85,"05/29/2023, 00:00:00",11.000000,lumi.4cf8cdf3c8dcfa2,2,"05/28/2023, 23:30:00"
42,"05/28/2023, 23:47:58",0.3.85,"05/29/2023, 00:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/28/2023, 23:30:00"
41,,0.3.85,"05/29/2023, 00:30:00",13.0,lumi.4cf8cdf3c8dcfa2,3,"05/29/2023, 00:00:00"
40,"05/29/2023, 00:17:03",0.3.85,"05/29/2023, 00:30:00",16.000000,lumi.4cf8cdf3c8dcfa2,2,"05/29/2023, 00:00:00"
39,"05/29/2023, 00:15:29",0.3.85,"05/29/2023, 00:30:00",10.000000,lumi.4cf8cdf3c8dcfa2,1,"05/29/2023, 00:00:00"
38,,0.3.85,"05/29/2023, 01:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/29/2023, 00:30:00"
37,"05/29/2023, 00:38:43",0.3.85,"05/29/2023, 01:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/29/2023, 00:30:00"
36,"05/29/2023, 00:38:43",0.3.85,"05/29/2023, 01:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/29/2023, 00:30:00"
35,,0.3.85,"05/29/2023, 04:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/29/2023, 03:30:00"
34,"05/29/2023, 03:30:58",0.3.85,"05/29/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/29/2023, 03:30:00"
33,"05/29/2023, 03:30:58",0.3.85,"05/29/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/29/2023, 03:30:00"
32,,0.3.85,"05/29/2023, 06:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/29/2023, 06:00:00"
31,"05/29/2023, 06:15:26",0.3.85,"05/29/2023, 06:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"05/29/2023, 06:00:00"
30,"05/29/2023, 06:15:26",0.3.85,"05/29/2023, 06:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"05/29/2023, 06:00:00"
29,,0.3.85,"05/29/2023, 09:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"05/29/2023, 08:30:00"
