,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
278,,0.3.85,"08/03/2023, 01:00:00",100200.0,lumi.54ef44100053a193,3,"08/03/2023, 00:30:00"
277,,0.1.85,"08/03/2023, 01:00:00",3065.0,lumi.54ef44100053a193,3,"08/03/2023, 00:30:00"
276,,0.2.85,"08/03/2023, 01:00:00",6165.0,lumi.54ef44100053a193,3,"08/03/2023, 00:30:00"
275,"08/03/2023, 00:45:54",0.2.85,"08/03/2023, 01:00:00",6165.000000,lumi.54ef44100053a193,2,"08/03/2023, 00:30:00"
274,"08/03/2023, 00:45:54",0.1.85,"08/03/2023, 01:00:00",3065.000000,lumi.54ef44100053a193,2,"08/03/2023, 00:30:00"
273,"08/03/2023, 00:45:54",0.3.85,"08/03/2023, 01:00:00",100200.000000,lumi.54ef44100053a193,2,"08/03/2023, 00:30:00"
272,"08/03/2023, 00:45:54",0.3.85,"08/03/2023, 01:00:00",100200.000000,lumi.54ef44100053a193,1,"08/03/2023, 00:30:00"
271,"08/03/2023, 00:45:54",0.2.85,"08/03/2023, 01:00:00",6165.000000,lumi.54ef44100053a193,1,"08/03/2023, 00:30:00"
270,"08/03/2023, 00:45:54",0.1.85,"08/03/2023, 01:00:00",3065.000000,lumi.54ef44100053a193,1,"08/03/2023, 00:30:00"
269,,0.3.85,"08/03/2023, 01:30:00",100240.0,lumi.54ef44100053a193,3,"08/03/2023, 01:00:00"
268,"08/03/2023, 01:19:54",0.3.85,"08/03/2023, 01:30:00",100240.000000,lumi.54ef44100053a193,2,"08/03/2023, 01:00:00"
267,"08/03/2023, 01:19:54",0.3.85,"08/03/2023, 01:30:00",100240.000000,lumi.54ef44100053a193,1,"08/03/2023, 01:00:00"
266,,0.3.85,"08/03/2023, 02:00:00",100235.0,lumi.54ef44100053a193,3,"08/03/2023, 01:30:00"
265,,0.1.85,"08/03/2023, 02:00:00",3058.0,lumi.54ef44100053a193,3,"08/03/2023, 01:30:00"
264,,0.2.85,"08/03/2023, 02:00:00",6296.0,lumi.54ef44100053a193,3,"08/03/2023, 01:30:00"
263,"08/03/2023, 01:40:42",0.2.85,"08/03/2023, 02:00:00",6296.000000,lumi.54ef44100053a193,2,"08/03/2023, 01:30:00"
262,"08/03/2023, 01:40:42",0.1.85,"08/03/2023, 02:00:00",3058.000000,lumi.54ef44100053a193,2,"08/03/2023, 01:30:00"
261,"08/03/2023, 01:47:51",0.3.85,"08/03/2023, 02:00:00",100270.000000,lumi.54ef44100053a193,2,"08/03/2023, 01:30:00"
260,"08/03/2023, 01:40:42",0.3.85,"08/03/2023, 02:00:00",100200.000000,lumi.54ef44100053a193,1,"08/03/2023, 01:30:00"
259,"08/03/2023, 01:40:42",0.2.85,"08/03/2023, 02:00:00",6296.000000,lumi.54ef44100053a193,1,"08/03/2023, 01:30:00"
258,"08/03/2023, 01:40:42",0.1.85,"08/03/2023, 02:00:00",3058.000000,lumi.54ef44100053a193,1,"08/03/2023, 01:30:00"
257,,0.3.85,"08/03/2023, 02:30:00",100285.0,lumi.54ef44100053a193,3,"08/03/2023, 02:00:00"
256,"08/03/2023, 02:05:12",0.3.85,"08/03/2023, 02:30:00",100300.000000,lumi.54ef44100053a193,2,"08/03/2023, 02:00:00"
