,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
155,,0.3.85,"08/07/2023, 02:30:00",34.25,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 02:00:00"
154,"08/07/2023, 02:19:55",0.3.85,"08/07/2023, 02:30:00",72.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 02:00:00"
153,"08/07/2023, 02:20:35",0.3.85,"08/07/2023, 02:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 02:00:00"
152,,0.3.85,"08/07/2023, 04:30:00",30.4,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 04:00:00"
151,"08/07/2023, 04:25:08",0.3.85,"08/07/2023, 04:30:00",78.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 04:00:00"
150,"08/07/2023, 04:03:11",0.3.85,"08/07/2023, 04:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 04:00:00"
149,,0.3.85,"08/07/2023, 05:00:00",44.333333,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 04:30:00"
148,"08/07/2023, 04:58:01",0.3.85,"08/07/2023, 05:00:00",83.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 04:30:00"
147,"08/07/2023, 04:35:31",0.3.85,"08/07/2023, 05:00:00",3.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 04:30:00"
146,,0.3.85,"08/07/2023, 05:30:00",62.5,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 05:00:00"
145,"08/07/2023, 05:16:19",0.3.85,"08/07/2023, 05:30:00",79.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 05:00:00"
144,"08/07/2023, 05:16:14",0.3.85,"08/07/2023, 05:30:00",46.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 05:00:00"
143,,0.3.85,"08/07/2023, 06:30:00",58.3125,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 06:00:00"
142,"08/07/2023, 06:09:05",0.3.85,"08/07/2023, 06:30:00",83.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 06:00:00"
141,"08/07/2023, 06:12:40",0.3.85,"08/07/2023, 06:30:00",17.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 06:00:00"
140,,0.3.85,"08/07/2023, 07:00:00",72.666667,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 06:30:00"
139,"08/07/2023, 06:55:53",0.3.85,"08/07/2023, 07:00:00",80.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 06:30:00"
138,"08/07/2023, 06:37:30",0.3.85,"08/07/2023, 07:00:00",66.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 06:30:00"
137,,0.3.85,"08/07/2023, 07:30:00",95.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 07:00:00"
136,"08/07/2023, 07:15:34",0.3.85,"08/07/2023, 07:30:00",95.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 07:00:00"
135,"08/07/2023, 07:15:34",0.3.85,"08/07/2023, 07:30:00",95.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 07:00:00"
134,,0.3.85,"08/07/2023, 08:00:00",96.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 07:30:00"
133,"08/07/2023, 07:42:33",0.3.85,"08/07/2023, 08:00:00",96.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 07:30:00"
132,"08/07/2023, 07:42:33",0.3.85,"08/07/2023, 08:00:00",96.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 07:30:00"
131,,0.3.85,"08/07/2023, 08:30:00",90.25,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 08:00:00"
130,"08/07/2023, 08:01:26",0.3.85,"08/07/2023, 08:30:00",112.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 08:00:00"
129,"08/07/2023, 08:23:42",0.3.85,"08/07/2023, 08:30:00",46.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 08:00:00"
128,,0.3.85,"08/07/2023, 09:00:00",116.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 08:30:00"
127,"08/07/2023, 08:55:27",0.3.85,"08/07/2023, 09:00:00",130.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 08:30:00"
126,"08/07/2023, 08:37:24",0.3.85,"08/07/2023, 09:00:00",102.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 08:30:00"
125,,0.3.85,"08/07/2023, 09:30:00",34.5,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 09:00:00"
124,"08/07/2023, 09:28:46",0.3.85,"08/07/2023, 09:30:00",61.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 09:00:00"
123,"08/07/2023, 09:28:55",0.3.85,"08/07/2023, 09:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 09:00:00"
122,,0.3.85,"08/07/2023, 12:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 12:00:00"
121,"08/07/2023, 12:16:44",0.3.85,"08/07/2023, 12:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 12:00:00"
120,"08/07/2023, 12:16:44",0.3.85,"08/07/2023, 12:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 12:00:00"
119,,0.3.85,"08/07/2023, 15:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 15:00:00"
118,"08/07/2023, 15:01:16",0.3.85,"08/07/2023, 15:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 15:00:00"
117,"08/07/2023, 15:01:16",0.3.85,"08/07/2023, 15:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 15:00:00"
116,,0.3.85,"08/07/2023, 16:00:00",70.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 15:30:00"
115,"08/07/2023, 15:55:02",0.3.85,"08/07/2023, 16:00:00",83.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 15:30:00"
114,"08/07/2023, 15:54:12",0.3.85,"08/07/2023, 16:00:00",57.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 15:30:00"
113,,0.3.85,"08/07/2023, 16:30:00",40.5,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 16:00:00"
112,"08/07/2023, 16:18:19",0.3.85,"08/07/2023, 16:30:00",72.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 16:00:00"
111,"08/07/2023, 16:27:12",0.3.85,"08/07/2023, 16:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 16:00:00"
110,,0.3.85,"08/07/2023, 17:00:00",20.333333,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 16:30:00"
109,"08/07/2023, 16:56:28",0.3.85,"08/07/2023, 17:00:00",61.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 16:30:00"
108,"08/07/2023, 16:50:57",0.3.85,"08/07/2023, 17:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 16:30:00"
107,,0.3.85,"08/07/2023, 17:30:00",40.714286,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 17:00:00"
106,"08/07/2023, 17:08:55",0.3.85,"08/07/2023, 17:30:00",83.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 17:00:00"
105,"08/07/2023, 17:00:32",0.3.85,"08/07/2023, 17:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 17:00:00"
104,,0.3.85,"08/07/2023, 18:30:00",64.0,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 18:00:00"
103,"08/07/2023, 18:11:33",0.3.85,"08/07/2023, 18:30:00",76.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 18:00:00"
102,"08/07/2023, 18:10:28",0.3.85,"08/07/2023, 18:30:00",52.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 18:00:00"
101,,0.3.85,"08/07/2023, 19:00:00",39.5,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 18:30:00"
100,"08/07/2023, 18:40:36",0.3.85,"08/07/2023, 19:00:00",79.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 18:30:00"
99,"08/07/2023, 18:59:59",0.3.85,"08/07/2023, 19:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 18:30:00"
98,,0.3.85,"08/07/2023, 20:30:00",34.5,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 20:00:00"
97,"08/07/2023, 20:09:05",0.3.85,"08/07/2023, 20:30:00",77.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 20:00:00"
96,"08/07/2023, 20:18:43",0.3.85,"08/07/2023, 20:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 20:00:00"
95,,0.3.85,"08/07/2023, 23:30:00",40.666667,lumi.4cf8cdf3c8dcfa2,3,"08/07/2023, 23:00:00"
94,"08/07/2023, 23:23:22",0.3.85,"08/07/2023, 23:30:00",82.000000,lumi.4cf8cdf3c8dcfa2,2,"08/07/2023, 23:00:00"
93,"08/07/2023, 23:14:47",0.3.85,"08/07/2023, 23:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/07/2023, 23:00:00"
92,,0.3.85,"08/08/2023, 02:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 01:30:00"
91,"08/08/2023, 01:59:15",0.3.85,"08/08/2023, 02:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 01:30:00"
90,"08/08/2023, 01:59:15",0.3.85,"08/08/2023, 02:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 01:30:00"
89,,0.3.85,"08/08/2023, 05:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 04:30:00"
88,"08/08/2023, 04:43:45",0.3.85,"08/08/2023, 05:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 04:30:00"
87,"08/08/2023, 04:43:45",0.3.85,"08/08/2023, 05:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 04:30:00"
86,,0.3.85,"08/08/2023, 07:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 07:00:00"
85,"08/08/2023, 07:28:15",0.3.85,"08/08/2023, 07:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 07:00:00"
84,"08/08/2023, 07:28:15",0.3.85,"08/08/2023, 07:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 07:00:00"
83,,0.3.85,"08/08/2023, 09:00:00",7.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 08:30:00"
82,"08/08/2023, 08:46:02",0.3.85,"08/08/2023, 09:00:00",11.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 08:30:00"
81,"08/08/2023, 08:46:07",0.3.85,"08/08/2023, 09:00:00",3.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 08:30:00"
80,,0.3.85,"08/08/2023, 09:30:00",50.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 09:00:00"
79,"08/08/2023, 09:20:17",0.3.85,"08/08/2023, 09:30:00",78.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 09:00:00"
78,"08/08/2023, 09:17:55",0.3.85,"08/08/2023, 09:30:00",4.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 09:00:00"
77,,0.3.85,"08/08/2023, 10:00:00",4.5,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 09:30:00"
76,"08/08/2023, 09:48:01",0.3.85,"08/08/2023, 10:00:00",8.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 09:30:00"
75,"08/08/2023, 09:48:05",0.3.85,"08/08/2023, 10:00:00",1.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 09:30:00"
74,,0.3.85,"08/08/2023, 12:30:00",1.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 12:00:00"
73,"08/08/2023, 12:02:25",0.3.85,"08/08/2023, 12:30:00",1.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 12:00:00"
72,"08/08/2023, 12:02:25",0.3.85,"08/08/2023, 12:30:00",1.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 12:00:00"
71,,0.3.85,"08/08/2023, 13:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 12:30:00"
70,"08/08/2023, 12:57:15",0.3.85,"08/08/2023, 13:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 12:30:00"
69,"08/08/2023, 12:57:15",0.3.85,"08/08/2023, 13:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 12:30:00"
68,,0.3.85,"08/08/2023, 13:30:00",33.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 13:00:00"
67,"08/08/2023, 13:05:45",0.3.85,"08/08/2023, 13:30:00",75.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 13:00:00"
66,"08/08/2023, 13:19:46",0.3.85,"08/08/2023, 13:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 13:00:00"
65,,0.3.85,"08/08/2023, 15:00:00",49.909091,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 14:30:00"
64,"08/08/2023, 14:46:34",0.3.85,"08/08/2023, 15:00:00",107.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 14:30:00"
63,"08/08/2023, 14:48:06",0.3.85,"08/08/2023, 15:00:00",23.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 14:30:00"
62,,0.3.85,"08/08/2023, 15:30:00",22.636364,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 15:00:00"
61,"08/08/2023, 15:02:58",0.3.85,"08/08/2023, 15:30:00",31.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 15:00:00"
60,"08/08/2023, 15:18:34",0.3.85,"08/08/2023, 15:30:00",16.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 15:00:00"
59,,0.3.85,"08/08/2023, 16:00:00",18.5,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 15:30:00"
58,"08/08/2023, 15:34:01",0.3.85,"08/08/2023, 16:00:00",25.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 15:30:00"
57,"08/08/2023, 15:50:15",0.3.85,"08/08/2023, 16:00:00",10.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 15:30:00"
56,,0.3.85,"08/08/2023, 17:00:00",17.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 16:30:00"
55,"08/08/2023, 16:36:35",0.3.85,"08/08/2023, 17:00:00",19.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 16:30:00"
54,"08/08/2023, 16:41:26",0.3.85,"08/08/2023, 17:00:00",15.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 16:30:00"
53,,0.3.85,"08/08/2023, 18:00:00",13.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 17:30:00"
52,"08/08/2023, 17:31:26",0.3.85,"08/08/2023, 18:00:00",18.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 17:30:00"
51,"08/08/2023, 17:59:27",0.3.85,"08/08/2023, 18:00:00",8.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 17:30:00"
50,,0.3.85,"08/08/2023, 19:00:00",1.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 18:30:00"
49,"08/08/2023, 18:43:05",0.3.85,"08/08/2023, 19:00:00",1.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 18:30:00"
48,"08/08/2023, 18:43:05",0.3.85,"08/08/2023, 19:00:00",1.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 18:30:00"
47,,0.3.85,"08/08/2023, 21:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 21:00:00"
46,"08/08/2023, 21:10:48",0.3.85,"08/08/2023, 21:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/08/2023, 21:00:00"
45,"08/08/2023, 21:10:48",0.3.85,"08/08/2023, 21:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/08/2023, 21:00:00"
44,,0.3.85,"08/09/2023, 00:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/08/2023, 23:30:00"
