,timeStamp,resourceId,value,subjectId
299,"09/28/2023, 11:55:16",0.3.85,65,lumi.4cf8cdf3c8dcfa2
298,"09/28/2023, 11:55:26",0.3.85,78,lumi.4cf8cdf3c8dcfa2
297,"09/28/2023, 11:55:51",0.3.85,93,lumi.4cf8cdf3c8dcfa2
296,"09/28/2023, 12:00:00",0.3.85,78,lumi.4cf8cdf3c8dcfa2
295,"09/28/2023, 12:00:10",0.3.85,46,lumi.4cf8cdf3c8dcfa2
294,"09/28/2023, 12:00:20",0.3.85,39,lumi.4cf8cdf3c8dcfa2
293,"09/28/2023, 12:01:50",0.3.85,46,lumi.4cf8cdf3c8dcfa2
292,"09/28/2023, 12:01:54",0.3.85,65,lumi.4cf8cdf3c8dcfa2
291,"09/28/2023, 12:02:04",0.3.85,49,lumi.4cf8cdf3c8dcfa2
290,"09/28/2023, 12:02:15",0.3.85,41,lumi.4cf8cdf3c8dcfa2
289,"09/28/2023, 12:02:19",0.3.85,53,lumi.4cf8cdf3c8dcfa2
288,"09/28/2023, 12:02:29",0.3.85,80,lumi.4cf8cdf3c8dcfa2
287,"09/28/2023, 12:03:44",0.3.85,59,lumi.4cf8cdf3c8dcfa2
286,"09/28/2023, 12:03:54",0.3.85,42,lumi.4cf8cdf3c8dcfa2
285,"09/28/2023, 12:04:14",0.3.85,35,lumi.4cf8cdf3c8dcfa2
284,"09/28/2023, 12:05:04",0.3.85,28,lumi.4cf8cdf3c8dcfa2
283,"09/28/2023, 12:08:13",0.3.85,35,lumi.4cf8cdf3c8dcfa2
282,"09/28/2023, 12:08:53",0.3.85,44,lumi.4cf8cdf3c8dcfa2
281,"09/28/2023, 12:08:58",0.3.85,63,lumi.4cf8cdf3c8dcfa2
280,"09/28/2023, 12:09:03",0.3.85,81,lumi.4cf8cdf3c8dcfa2
279,"09/28/2023, 12:09:33",0.3.85,88,lumi.4cf8cdf3c8dcfa2
278,"09/28/2023, 12:13:39",0.3.85,41,lumi.4cf8cdf3c8dcfa2
277,"09/28/2023, 12:14:19",0.3.85,56,lumi.4cf8cdf3c8dcfa2
276,"09/28/2023, 12:14:29",0.3.85,46,lumi.4cf8cdf3c8dcfa2
275,"09/28/2023, 12:14:34",0.3.85,38,lumi.4cf8cdf3c8dcfa2
274,"09/28/2023, 12:14:54",0.3.85,63,lumi.4cf8cdf3c8dcfa2
273,"09/28/2023, 12:15:04",0.3.85,45,lumi.4cf8cdf3c8dcfa2
272,"09/28/2023, 12:15:14",0.3.85,63,lumi.4cf8cdf3c8dcfa2
271,"09/28/2023, 12:15:29",0.3.85,53,lumi.4cf8cdf3c8dcfa2
270,"09/28/2023, 12:15:39",0.3.85,71,lumi.4cf8cdf3c8dcfa2
269,"09/28/2023, 12:18:28",0.3.85,84,lumi.4cf8cdf3c8dcfa2
268,"09/28/2023, 12:23:57",0.3.85,53,lumi.4cf8cdf3c8dcfa2
267,"09/28/2023, 12:24:02",0.3.85,38,lumi.4cf8cdf3c8dcfa2
266,"09/28/2023, 12:25:17",0.3.85,68,lumi.4cf8cdf3c8dcfa2
265,"09/28/2023, 12:27:01",0.3.85,51,lumi.4cf8cdf3c8dcfa2
264,"09/28/2023, 12:27:21",0.3.85,40,lumi.4cf8cdf3c8dcfa2
263,"09/28/2023, 12:27:31",0.3.85,69,lumi.4cf8cdf3c8dcfa2
262,"09/28/2023, 12:49:27",0.3.85,54,lumi.4cf8cdf3c8dcfa2
261,"09/28/2023, 12:49:32",0.3.85,43,lumi.4cf8cdf3c8dcfa2
260,"09/28/2023, 12:49:42",0.3.85,36,lumi.4cf8cdf3c8dcfa2
259,"09/28/2023, 12:50:56",0.3.85,29,lumi.4cf8cdf3c8dcfa2
258,"09/28/2023, 12:57:05",0.3.85,41,lumi.4cf8cdf3c8dcfa2
257,"09/28/2023, 12:57:10",0.3.85,50,lumi.4cf8cdf3c8dcfa2
256,"09/28/2023, 12:58:15",0.3.85,59,lumi.4cf8cdf3c8dcfa2
255,"09/28/2023, 12:58:45",0.3.85,50,lumi.4cf8cdf3c8dcfa2
254,"09/28/2023, 12:59:00",0.3.85,33,lumi.4cf8cdf3c8dcfa2
253,"09/28/2023, 13:00:24",0.3.85,26,lumi.4cf8cdf3c8dcfa2
252,"09/28/2023, 13:02:14",0.3.85,41,lumi.4cf8cdf3c8dcfa2
251,"09/28/2023, 13:02:19",0.3.85,49,lumi.4cf8cdf3c8dcfa2
250,"09/28/2023, 13:02:49",0.3.85,58,lumi.4cf8cdf3c8dcfa2
249,"09/28/2023, 13:04:24",0.3.85,59,lumi.4cf8cdf3c8dcfa2
248,"09/28/2023, 13:05:55",0.3.85,49,lumi.4cf8cdf3c8dcfa2
247,"09/28/2023, 13:06:10",0.3.85,33,lumi.4cf8cdf3c8dcfa2
246,"09/28/2023, 13:06:25",0.3.85,26,lumi.4cf8cdf3c8dcfa2
245,"09/28/2023, 13:06:50",0.3.85,35,lumi.4cf8cdf3c8dcfa2
244,"09/28/2023, 13:06:55",0.3.85,48,lumi.4cf8cdf3c8dcfa2
243,"09/28/2023, 13:09:35",0.3.85,59,lumi.4cf8cdf3c8dcfa2
242,"09/28/2023, 13:11:54",0.3.85,49,lumi.4cf8cdf3c8dcfa2
241,"09/28/2023, 13:14:28",0.3.85,40,lumi.4cf8cdf3c8dcfa2
240,"09/28/2023, 13:14:33",0.3.85,32,lumi.4cf8cdf3c8dcfa2
239,"09/28/2023, 13:16:28",0.3.85,45,lumi.4cf8cdf3c8dcfa2
238,"09/28/2023, 13:16:48",0.3.85,34,lumi.4cf8cdf3c8dcfa2
237,"09/28/2023, 13:17:43",0.3.85,46,lumi.4cf8cdf3c8dcfa2
236,"09/28/2023, 13:20:27",0.3.85,38,lumi.4cf8cdf3c8dcfa2
235,"09/28/2023, 13:21:17",0.3.85,46,lumi.4cf8cdf3c8dcfa2
234,"09/28/2023, 13:24:06",0.3.85,32,lumi.4cf8cdf3c8dcfa2
233,"09/28/2023, 13:25:11",0.3.85,25,lumi.4cf8cdf3c8dcfa2
232,"09/28/2023, 13:33:44",0.3.85,32,lumi.4cf8cdf3c8dcfa2
