,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
10,,13.1.85,"09/25/2023, 17:30:00","{""1"":1}",lumi.158d0008d0cf33,4,"09/25/2023, 17:00:00"
9,,13.1.85,"09/25/2023, 18:00:00","{""1"":3}",lumi.158d0008d0cf33,4,"09/25/2023, 17:30:00"
8,,13.1.85,"09/25/2023, 18:30:00","{""1"":1}",lumi.158d0008d0cf33,4,"09/25/2023, 18:00:00"
7,,13.1.85,"09/25/2023, 23:30:00","{""1"":1}",lumi.158d0008d0cf33,4,"09/25/2023, 23:00:00"
6,,13.1.85,"09/26/2023, 02:00:00","{""1"":1,""2"":1}",lumi.158d0008d0cf33,4,"09/26/2023, 01:30:00"
5,,13.1.85,"09/26/2023, 22:30:00","{""1"":2}",lumi.158d0008d0cf33,4,"09/26/2023, 22:00:00"
4,,13.1.85,"09/26/2023, 23:00:00","{""1"":2,""2"":1}",lumi.158d0008d0cf33,4,"09/26/2023, 22:30:00"
3,,13.1.85,"09/27/2023, 00:00:00","{""1"":1,""2"":1}",lumi.158d0008d0cf33,4,"09/26/2023, 23:30:00"
2,,13.1.85,"09/27/2023, 11:30:00","{""1"":1}",lumi.158d0008d0cf33,4,"09/27/2023, 11:00:00"
1,,13.1.85,"09/27/2023, 12:00:00","{""1"":1,""2"":1}",lumi.158d0008d0cf33,4,"09/27/2023, 11:30:00"
0,,13.1.85,"09/27/2023, 16:00:00","{""1"":1}",lumi.158d0008d0cf33,4,"09/27/2023, 15:30:00"
