,timeStamp,resourceId,value,subjectId
299,"09/27/2023, 15:01:08",0.13.85,12734.96,lumi.54ef4410001e9c6b
298,"09/27/2023, 15:06:15",0.13.85,12735.03,lumi.54ef4410001e9c6b
297,"09/27/2023, 15:13:19",0.13.85,12735.10,lumi.54ef4410001e9c6b
296,"09/27/2023, 15:20:08",0.13.85,12735.19,lumi.54ef4410001e9c6b
295,"09/27/2023, 15:27:11",0.13.85,12735.26,lumi.54ef4410001e9c6b
294,"09/27/2023, 15:33:50",0.13.85,12735.32,lumi.54ef4410001e9c6b
293,"09/27/2023, 15:39:54",0.13.85,12735.40,lumi.54ef4410001e9c6b
292,"09/27/2023, 15:45:52",0.13.85,12735.47,lumi.54ef4410001e9c6b
291,"09/27/2023, 15:51:21",0.13.85,12735.54,lumi.54ef4410001e9c6b
290,"09/27/2023, 15:58:20",0.13.85,12735.62,lumi.54ef4410001e9c6b
289,"09/27/2023, 16:05:59",0.13.85,12735.70,lumi.54ef4410001e9c6b
288,"09/27/2023, 16:13:41",0.13.85,12735.79,lumi.54ef4410001e9c6b
287,"09/27/2023, 16:19:31",0.13.85,12735.85,lumi.54ef4410001e9c6b
286,"09/27/2023, 16:25:20",0.13.85,12735.90,lumi.54ef4410001e9c6b
285,"09/27/2023, 16:33:05",0.13.85,12736.01,lumi.54ef4410001e9c6b
284,"09/27/2023, 16:40:15",0.13.85,12736.07,lumi.54ef4410001e9c6b
283,"09/27/2023, 16:47:43",0.13.85,12736.16,lumi.54ef4410001e9c6b
282,"09/27/2023, 16:55:26",0.13.85,12736.25,lumi.54ef4410001e9c6b
281,"09/27/2023, 17:01:01",0.13.85,12736.33,lumi.54ef4410001e9c6b
280,"09/27/2023, 17:08:07",0.13.85,12736.43,lumi.54ef4410001e9c6b
279,"09/27/2023, 17:15:00",0.13.85,12736.50,lumi.54ef4410001e9c6b
278,"09/27/2023, 17:20:32",0.13.85,12736.55,lumi.54ef4410001e9c6b
277,"09/27/2023, 17:28:12",0.13.85,12736.65,lumi.54ef4410001e9c6b
276,"09/27/2023, 17:36:00",0.13.85,12736.73,lumi.54ef4410001e9c6b
275,"09/27/2023, 17:41:41",0.13.85,12736.79,lumi.54ef4410001e9c6b
274,"09/27/2023, 17:49:07",0.13.85,12736.89,lumi.54ef4410001e9c6b
273,"09/27/2023, 17:55:26",0.13.85,12736.97,lumi.54ef4410001e9c6b
272,"09/27/2023, 18:01:28",0.13.85,12737.04,lumi.54ef4410001e9c6b
271,"09/27/2023, 18:07:16",0.13.85,12737.08,lumi.54ef4410001e9c6b
270,"09/27/2023, 18:12:29",0.13.85,12737.15,lumi.54ef4410001e9c6b
269,"09/27/2023, 18:18:28",0.13.85,12737.22,lumi.54ef4410001e9c6b
268,"09/27/2023, 18:23:51",0.13.85,12737.29,lumi.54ef4410001e9c6b
267,"09/27/2023, 18:31:01",0.13.85,12737.36,lumi.54ef4410001e9c6b
266,"09/27/2023, 18:37:46",0.13.85,12737.43,lumi.54ef4410001e9c6b
265,"09/27/2023, 18:43:07",0.13.85,12737.49,lumi.54ef4410001e9c6b
264,"09/27/2023, 18:48:19",0.13.85,12737.54,lumi.54ef4410001e9c6b
263,"09/27/2023, 18:53:33",0.13.85,12737.58,lumi.54ef4410001e9c6b
262,"09/27/2023, 19:00:56",0.13.85,12737.66,lumi.54ef4410001e9c6b
261,"09/27/2023, 19:08:31",0.13.85,12737.73,lumi.54ef4410001e9c6b
260,"09/27/2023, 19:14:49",0.13.85,12737.80,lumi.54ef4410001e9c6b
259,"09/27/2023, 19:20:05",0.13.85,12737.85,lumi.54ef4410001e9c6b
258,"09/27/2023, 19:28:12",0.13.85,12737.95,lumi.54ef4410001e9c6b
257,"09/27/2023, 19:36:16",0.13.85,12738.06,lumi.54ef4410001e9c6b
256,"09/27/2023, 19:43:00",0.13.85,12738.14,lumi.54ef4410001e9c6b
255,"09/27/2023, 19:50:27",0.13.85,12738.23,lumi.54ef4410001e9c6b
254,"09/27/2023, 19:57:40",0.13.85,12738.32,lumi.54ef4410001e9c6b
253,"09/27/2023, 20:05:24",0.13.85,12738.43,lumi.54ef4410001e9c6b
252,"09/27/2023, 20:12:56",0.13.85,12738.51,lumi.54ef4410001e9c6b
251,"09/27/2023, 20:20:18",0.13.85,12738.60,lumi.54ef4410001e9c6b
250,"09/27/2023, 20:26:37",0.13.85,12738.65,lumi.54ef4410001e9c6b
249,"09/27/2023, 20:32:49",0.13.85,12738.71,lumi.54ef4410001e9c6b
248,"09/27/2023, 20:40:13",0.13.85,12738.78,lumi.54ef4410001e9c6b
247,"09/27/2023, 20:47:24",0.13.85,12738.86,lumi.54ef4410001e9c6b
246,"09/27/2023, 20:54:39",0.13.85,12738.96,lumi.54ef4410001e9c6b
245,"09/27/2023, 20:59:56",0.13.85,12739.01,lumi.54ef4410001e9c6b
244,"09/27/2023, 21:07:28",0.13.85,12739.10,lumi.54ef4410001e9c6b
243,"09/27/2023, 21:13:26",0.13.85,12739.13,lumi.54ef4410001e9c6b
242,"09/27/2023, 21:18:32",0.13.85,12739.20,lumi.54ef4410001e9c6b
241,"09/27/2023, 21:24:05",0.13.85,12739.26,lumi.54ef4410001e9c6b
240,"09/27/2023, 21:29:24",0.13.85,12739.30,lumi.54ef4410001e9c6b
239,"09/27/2023, 21:35:34",0.13.85,12739.36,lumi.54ef4410001e9c6b
238,"09/27/2023, 21:41:24",0.13.85,12739.42,lumi.54ef4410001e9c6b
237,"09/27/2023, 21:49:24",0.13.85,12739.50,lumi.54ef4410001e9c6b
236,"09/27/2023, 21:56:01",0.13.85,12739.57,lumi.54ef4410001e9c6b
235,"09/27/2023, 22:01:48",0.13.85,12739.65,lumi.54ef4410001e9c6b
234,"09/27/2023, 22:08:49",0.13.85,12739.73,lumi.54ef4410001e9c6b
233,"09/27/2023, 22:16:01",0.13.85,12739.80,lumi.54ef4410001e9c6b
232,"09/27/2023, 22:23:22",0.13.85,12739.87,lumi.54ef4410001e9c6b
231,"09/27/2023, 22:28:50",0.13.85,12739.93,lumi.54ef4410001e9c6b
230,"09/27/2023, 22:34:49",0.13.85,12739.98,lumi.54ef4410001e9c6b
229,"09/27/2023, 22:41:48",0.13.85,12740.06,lumi.54ef4410001e9c6b
228,"09/27/2023, 22:48:12",0.13.85,12740.12,lumi.54ef4410001e9c6b
227,"09/27/2023, 22:53:24",0.13.85,12740.17,lumi.54ef4410001e9c6b
226,"09/27/2023, 22:58:45",0.13.85,12740.22,lumi.54ef4410001e9c6b
225,"09/27/2023, 23:05:43",0.13.85,12740.30,lumi.54ef4410001e9c6b
224,"09/27/2023, 23:11:09",0.13.85,12740.37,lumi.54ef4410001e9c6b
223,"09/27/2023, 23:18:50",0.13.85,12740.44,lumi.54ef4410001e9c6b
222,"09/27/2023, 23:25:48",0.13.85,12741.53,lumi.54ef4410001e9c6b
221,"09/27/2023, 23:32:50",0.13.85,12746.06,lumi.54ef4410001e9c6b
220,"09/27/2023, 23:38:00",0.13.85,12749.42,lumi.54ef4410001e9c6b
219,"09/27/2023, 23:43:10",0.13.85,12752.38,lumi.54ef4410001e9c6b
218,"09/27/2023, 23:50:48",0.13.85,12756.93,lumi.54ef4410001e9c6b
217,"09/27/2023, 23:55:55",0.13.85,12759.93,lumi.54ef4410001e9c6b
216,"09/28/2023, 00:01:25",0.13.85,12763.23,lumi.54ef4410001e9c6b
215,"09/28/2023, 00:08:17",0.13.85,12767.24,lumi.54ef4410001e9c6b
214,"09/28/2023, 00:14:40",0.13.85,12771.35,lumi.54ef4410001e9c6b
213,"09/28/2023, 00:21:35",0.13.85,12775.69,lumi.54ef4410001e9c6b
212,"09/28/2023, 00:27:04",0.13.85,12778.86,lumi.54ef4410001e9c6b
211,"09/28/2023, 00:33:19",0.13.85,12782.58,lumi.54ef4410001e9c6b
210,"09/28/2023, 00:40:03",0.13.85,12786.45,lumi.54ef4410001e9c6b
209,"09/28/2023, 00:46:43",0.13.85,12790.78,lumi.54ef4410001e9c6b
208,"09/28/2023, 00:54:22",0.13.85,12795.55,lumi.54ef4410001e9c6b
207,"09/28/2023, 01:02:03",0.13.85,12799.80,lumi.54ef4410001e9c6b
206,"09/28/2023, 01:08:02",0.13.85,12803.16,lumi.54ef4410001e9c6b
205,"09/28/2023, 01:15:42",0.13.85,12807.44,lumi.54ef4410001e9c6b
204,"09/28/2023, 01:20:51",0.13.85,12810.58,lumi.54ef4410001e9c6b
203,"09/28/2023, 01:26:12",0.13.85,12813.52,lumi.54ef4410001e9c6b
202,"09/28/2023, 01:32:25",0.13.85,12817.22,lumi.54ef4410001e9c6b
201,"09/28/2023, 01:40:07",0.13.85,12821.96,lumi.54ef4410001e9c6b
200,"09/28/2023, 01:45:35",0.13.85,12825.19,lumi.54ef4410001e9c6b
199,"09/28/2023, 01:51:27",0.13.85,12828.21,lumi.54ef4410001e9c6b
198,"09/28/2023, 01:57:27",0.13.85,12828.29,lumi.54ef4410001e9c6b
197,"09/28/2023, 02:04:55",0.13.85,12828.38,lumi.54ef4410001e9c6b
196,"09/28/2023, 02:13:02",0.13.85,12828.43,lumi.54ef4410001e9c6b
195,"09/28/2023, 02:18:57",0.13.85,12828.49,lumi.54ef4410001e9c6b
194,"09/28/2023, 02:26:21",0.13.85,12828.57,lumi.54ef4410001e9c6b
193,"09/28/2023, 02:33:34",0.13.85,12828.64,lumi.54ef4410001e9c6b
192,"09/28/2023, 02:40:52",0.13.85,12828.73,lumi.54ef4410001e9c6b
191,"09/28/2023, 02:47:11",0.13.85,12828.76,lumi.54ef4410001e9c6b
190,"09/28/2023, 02:54:44",0.13.85,12828.85,lumi.54ef4410001e9c6b
189,"09/28/2023, 03:01:31",0.13.85,12828.91,lumi.54ef4410001e9c6b
188,"09/28/2023, 03:09:05",0.13.85,12829.00,lumi.54ef4410001e9c6b
187,"09/28/2023, 03:14:27",0.13.85,12829.07,lumi.54ef4410001e9c6b
186,"09/28/2023, 03:21:15",0.13.85,12829.15,lumi.54ef4410001e9c6b
185,"09/28/2023, 03:26:31",0.13.85,12829.20,lumi.54ef4410001e9c6b
184,"09/28/2023, 03:32:26",0.13.85,12829.28,lumi.54ef4410001e9c6b
183,"09/28/2023, 03:38:09",0.13.85,12829.34,lumi.54ef4410001e9c6b
182,"09/28/2023, 03:43:15",0.13.85,12829.40,lumi.54ef4410001e9c6b
181,"09/28/2023, 03:49:40",0.13.85,12829.49,lumi.54ef4410001e9c6b
180,"09/28/2023, 03:55:20",0.13.85,12829.55,lumi.54ef4410001e9c6b
179,"09/28/2023, 04:02:19",0.13.85,12829.62,lumi.54ef4410001e9c6b
178,"09/28/2023, 04:07:53",0.13.85,12829.69,lumi.54ef4410001e9c6b
177,"09/28/2023, 04:15:24",0.13.85,12829.78,lumi.54ef4410001e9c6b
176,"09/28/2023, 04:20:52",0.13.85,12829.83,lumi.54ef4410001e9c6b
175,"09/28/2023, 04:26:15",0.13.85,12829.88,lumi.54ef4410001e9c6b
174,"09/28/2023, 04:31:22",0.13.85,12829.95,lumi.54ef4410001e9c6b
173,"09/28/2023, 04:36:38",0.13.85,12830.00,lumi.54ef4410001e9c6b
172,"09/28/2023, 04:43:29",0.13.85,12830.09,lumi.54ef4410001e9c6b
171,"09/28/2023, 04:51:34",0.13.85,12830.15,lumi.54ef4410001e9c6b
170,"09/28/2023, 04:59:29",0.13.85,12830.24,lumi.54ef4410001e9c6b
169,"09/28/2023, 05:06:23",0.13.85,12830.33,lumi.54ef4410001e9c6b
168,"09/28/2023, 05:11:41",0.13.85,12830.39,lumi.54ef4410001e9c6b
167,"09/28/2023, 05:17:25",0.13.85,12830.47,lumi.54ef4410001e9c6b
166,"09/28/2023, 05:25:18",0.13.85,12830.56,lumi.54ef4410001e9c6b
165,"09/28/2023, 05:32:47",0.13.85,12830.64,lumi.54ef4410001e9c6b
164,"09/28/2023, 05:39:50",0.13.85,12830.71,lumi.54ef4410001e9c6b
163,"09/28/2023, 05:47:00",0.13.85,12830.76,lumi.54ef4410001e9c6b
162,"09/28/2023, 05:52:18",0.13.85,12830.82,lumi.54ef4410001e9c6b
161,"09/28/2023, 05:58:57",0.13.85,12830.89,lumi.54ef4410001e9c6b
160,"09/28/2023, 06:04:50",0.13.85,12830.95,lumi.54ef4410001e9c6b
159,"09/28/2023, 06:11:36",0.13.85,12831.02,lumi.54ef4410001e9c6b
158,"09/28/2023, 06:19:42",0.13.85,12831.11,lumi.54ef4410001e9c6b
157,"09/28/2023, 06:25:44",0.13.85,12831.18,lumi.54ef4410001e9c6b
156,"09/28/2023, 06:31:02",0.13.85,12831.22,lumi.54ef4410001e9c6b
155,"09/28/2023, 06:36:49",0.13.85,12831.29,lumi.54ef4410001e9c6b
154,"09/28/2023, 06:44:18",0.13.85,12831.36,lumi.54ef4410001e9c6b
153,"09/28/2023, 06:52:21",0.13.85,12831.43,lumi.54ef4410001e9c6b
152,"09/28/2023, 06:59:33",0.13.85,12831.51,lumi.54ef4410001e9c6b
151,"09/28/2023, 07:05:01",0.13.85,12831.58,lumi.54ef4410001e9c6b
150,"09/28/2023, 07:12:26",0.13.85,12831.66,lumi.54ef4410001e9c6b
149,"09/28/2023, 07:20:01",0.13.85,12831.73,lumi.54ef4410001e9c6b
148,"09/28/2023, 07:26:55",0.13.85,12831.80,lumi.54ef4410001e9c6b
147,"09/28/2023, 07:34:56",0.13.85,12831.89,lumi.54ef4410001e9c6b
146,"09/28/2023, 07:42:25",0.13.85,12831.98,lumi.54ef4410001e9c6b
145,"09/28/2023, 07:48:00",0.13.85,12832.03,lumi.54ef4410001e9c6b
144,"09/28/2023, 07:54:23",0.13.85,12832.08,lumi.54ef4410001e9c6b
143,"09/28/2023, 08:01:35",0.13.85,12832.13,lumi.54ef4410001e9c6b
142,"09/28/2023, 08:08:10",0.13.85,12832.19,lumi.54ef4410001e9c6b
141,"09/28/2023, 08:13:22",0.13.85,12832.25,lumi.54ef4410001e9c6b
140,"09/28/2023, 08:20:37",0.13.85,12832.33,lumi.54ef4410001e9c6b
139,"09/28/2023, 08:26:25",0.13.85,12832.39,lumi.54ef4410001e9c6b
