,timeStamp,resourceId,value,subjectId
38,"10/09/2023, 01:12:44",13.1.85,1,lumi.158d0008d0cf33
37,"10/09/2023, 01:13:45",13.1.85,1,lumi.158d0008d0cf33
36,"10/09/2023, 01:13:46",13.1.85,2,lumi.158d0008d0cf33
35,"10/09/2023, 12:10:52",13.1.85,1,lumi.158d0008d0cf33
34,"10/09/2023, 12:11:54",13.1.85,1,lumi.158d0008d0cf33
33,"10/09/2023, 13:57:20",13.1.85,1,lumi.158d0008d0cf33
32,"10/09/2023, 16:23:34",13.1.85,1,lumi.158d0008d0cf33
31,"10/09/2023, 16:31:43",13.1.85,1,lumi.158d0008d0cf33
30,"10/09/2023, 16:32:19",13.1.85,2,lumi.158d0008d0cf33
29,"10/09/2023, 23:58:29",13.1.85,1,lumi.158d0008d0cf33
28,"10/10/2023, 00:01:37",13.1.85,1,lumi.158d0008d0cf33
27,"10/10/2023, 00:30:22",13.1.85,1,lumi.158d0008d0cf33
26,"10/10/2023, 00:33:23",13.1.85,1,lumi.158d0008d0cf33
25,"10/10/2023, 03:19:18",13.1.85,1,lumi.158d0008d0cf33
24,"10/10/2023, 03:19:31",13.1.85,2,lumi.158d0008d0cf33
23,"10/10/2023, 16:20:26",13.1.85,1,lumi.158d0008d0cf33
22,"10/10/2023, 16:43:27",13.1.85,1,lumi.158d0008d0cf33
21,"10/10/2023, 16:43:32",13.1.85,2,lumi.158d0008d0cf33
20,"10/10/2023, 16:45:33",13.1.85,2,lumi.158d0008d0cf33
19,"10/10/2023, 16:45:34",13.1.85,1,lumi.158d0008d0cf33
18,"10/10/2023, 17:31:12",13.1.85,1,lumi.158d0008d0cf33
17,"10/10/2023, 17:43:55",13.1.85,1,lumi.158d0008d0cf33
16,"10/10/2023, 17:54:14",13.1.85,1,lumi.158d0008d0cf33
15,"10/10/2023, 17:54:35",13.1.85,2,lumi.158d0008d0cf33
14,"10/10/2023, 18:19:21",13.1.85,1,lumi.158d0008d0cf33
13,"10/10/2023, 18:20:29",13.1.85,1,lumi.158d0008d0cf33
12,"10/10/2023, 18:30:00",13.1.85,1,lumi.158d0008d0cf33
11,"10/10/2023, 18:43:06",13.1.85,1,lumi.158d0008d0cf33
10,"10/10/2023, 18:52:18",13.1.85,1,lumi.158d0008d0cf33
9,"10/10/2023, 19:00:26",13.1.85,1,lumi.158d0008d0cf33
8,"10/10/2023, 19:02:36",13.1.85,1,lumi.158d0008d0cf33
7,"10/10/2023, 19:02:37",13.1.85,2,lumi.158d0008d0cf33
6,"10/10/2023, 19:07:37",13.1.85,1,lumi.158d0008d0cf33
5,"10/10/2023, 19:11:29",13.1.85,1,lumi.158d0008d0cf33
4,"10/10/2023, 19:11:31",13.1.85,2,lumi.158d0008d0cf33
3,"10/10/2023, 19:11:45",13.1.85,2,lumi.158d0008d0cf33
2,"10/10/2023, 19:36:23",13.1.85,1,lumi.158d0008d0cf33
1,"10/10/2023, 20:17:53",13.1.85,1,lumi.158d0008d0cf33
0,"10/10/2023, 23:00:30",13.1.85,1,lumi.158d0008d0cf33
