,timeStamp,resourceId,value,subjectId
156,"10/11/2023, 00:05:18",3.1.85,1,lumi.54ef44100051aa5f
155,"10/11/2023, 00:07:13",3.1.85,1,lumi.54ef44100051aa5f
154,"10/11/2023, 00:10:25",3.1.85,1,lumi.54ef44100051aa5f
153,"10/11/2023, 00:16:35",3.1.85,1,lumi.54ef44100051aa5f
152,"10/11/2023, 00:17:51",3.1.85,1,lumi.54ef44100051aa5f
151,"10/11/2023, 00:26:53",3.1.85,1,lumi.54ef44100051aa5f
150,"10/11/2023, 00:28:06",3.1.85,1,lumi.54ef44100051aa5f
149,"10/11/2023, 00:29:04",3.1.85,1,lumi.54ef44100051aa5f
148,"10/11/2023, 00:53:59",3.1.85,1,lumi.54ef44100051aa5f
147,"10/11/2023, 00:56:58",3.1.85,1,lumi.54ef44100051aa5f
146,"10/11/2023, 01:10:00",3.1.85,1,lumi.54ef44100051aa5f
145,"10/11/2023, 02:21:20",3.1.85,1,lumi.54ef44100051aa5f
144,"10/11/2023, 02:51:19",3.1.85,1,lumi.54ef44100051aa5f
143,"10/11/2023, 03:13:07",3.1.85,1,lumi.54ef44100051aa5f
142,"10/11/2023, 03:57:55",3.1.85,1,lumi.54ef44100051aa5f
141,"10/11/2023, 04:01:05",3.1.85,1,lumi.54ef44100051aa5f
140,"10/11/2023, 04:02:03",3.1.85,1,lumi.54ef44100051aa5f
139,"10/11/2023, 04:16:11",3.1.85,1,lumi.54ef44100051aa5f
138,"10/11/2023, 04:17:12",3.1.85,1,lumi.54ef44100051aa5f
137,"10/11/2023, 04:34:19",3.1.85,1,lumi.54ef44100051aa5f
136,"10/11/2023, 04:40:18",3.1.85,1,lumi.54ef44100051aa5f
135,"10/11/2023, 04:48:38",3.1.85,1,lumi.54ef44100051aa5f
134,"10/11/2023, 04:53:56",3.1.85,1,lumi.54ef44100051aa5f
133,"10/11/2023, 05:34:39",3.1.85,1,lumi.54ef44100051aa5f
132,"10/11/2023, 05:57:34",3.1.85,1,lumi.54ef44100051aa5f
131,"10/11/2023, 06:02:13",3.1.85,1,lumi.54ef44100051aa5f
130,"10/11/2023, 06:28:09",3.1.85,1,lumi.54ef44100051aa5f
129,"10/11/2023, 09:37:41",3.1.85,1,lumi.54ef44100051aa5f
128,"10/11/2023, 09:38:39",3.1.85,1,lumi.54ef44100051aa5f
127,"10/11/2023, 09:41:05",3.1.85,1,lumi.54ef44100051aa5f
126,"10/11/2023, 09:42:04",3.1.85,1,lumi.54ef44100051aa5f
125,"10/11/2023, 09:43:01",3.1.85,1,lumi.54ef44100051aa5f
124,"10/11/2023, 09:44:15",3.1.85,1,lumi.54ef44100051aa5f
123,"10/11/2023, 09:45:37",3.1.85,1,lumi.54ef44100051aa5f
122,"10/11/2023, 12:11:05",3.1.85,1,lumi.54ef44100051aa5f
121,"10/11/2023, 12:17:16",3.1.85,1,lumi.54ef44100051aa5f
120,"10/11/2023, 12:24:45",3.1.85,1,lumi.54ef44100051aa5f
119,"10/11/2023, 12:45:40",3.1.85,1,lumi.54ef44100051aa5f
118,"10/11/2023, 13:10:28",3.1.85,1,lumi.54ef44100051aa5f
117,"10/11/2023, 13:13:53",3.1.85,1,lumi.54ef44100051aa5f
116,"10/11/2023, 13:22:57",3.1.85,1,lumi.54ef44100051aa5f
115,"10/11/2023, 13:24:57",3.1.85,1,lumi.54ef44100051aa5f
114,"10/11/2023, 13:26:11",3.1.85,1,lumi.54ef44100051aa5f
113,"10/11/2023, 13:27:17",3.1.85,1,lumi.54ef44100051aa5f
112,"10/11/2023, 13:32:29",3.1.85,1,lumi.54ef44100051aa5f
111,"10/11/2023, 13:36:00",3.1.85,1,lumi.54ef44100051aa5f
110,"10/11/2023, 13:56:55",3.1.85,1,lumi.54ef44100051aa5f
109,"10/11/2023, 14:16:14",3.1.85,1,lumi.54ef44100051aa5f
108,"10/11/2023, 15:48:33",3.1.85,1,lumi.54ef44100051aa5f
107,"10/11/2023, 17:07:55",3.1.85,1,lumi.54ef44100051aa5f
106,"10/11/2023, 17:34:38",3.1.85,1,lumi.54ef44100051aa5f
105,"10/11/2023, 17:36:25",3.1.85,1,lumi.54ef44100051aa5f
104,"10/11/2023, 17:37:24",3.1.85,1,lumi.54ef44100051aa5f
103,"10/11/2023, 17:39:18",3.1.85,1,lumi.54ef44100051aa5f
102,"10/11/2023, 17:40:21",3.1.85,1,lumi.54ef44100051aa5f
101,"10/11/2023, 17:41:21",3.1.85,1,lumi.54ef44100051aa5f
