,timeStamp,resourceId,value,subjectId
228,"10/23/2023, 00:31:56",0.1.85,2041,lumi.54ef44100053a193
227,"10/23/2023, 00:31:56",0.2.85,5895,lumi.54ef44100053a193
226,"10/23/2023, 00:31:56",0.3.85,101900,lumi.54ef44100053a193
225,"10/23/2023, 01:07:55",0.3.85,101940,lumi.54ef44100053a193
224,"10/23/2023, 01:26:43",0.1.85,2037,lumi.54ef44100053a193
223,"10/23/2023, 01:26:43",0.2.85,6021,lumi.54ef44100053a193
222,"10/23/2023, 01:26:43",0.3.85,101900,lumi.54ef44100053a193
221,"10/23/2023, 02:21:31",0.1.85,2041,lumi.54ef44100053a193
220,"10/23/2023, 02:21:31",0.2.85,5993,lumi.54ef44100053a193
219,"10/23/2023, 02:21:31",0.3.85,101900,lumi.54ef44100053a193
218,"10/23/2023, 02:30:19",0.3.85,101910,lumi.54ef44100053a193
217,"10/23/2023, 03:16:18",0.1.85,2027,lumi.54ef44100053a193
216,"10/23/2023, 03:16:18",0.2.85,5974,lumi.54ef44100053a193
215,"10/23/2023, 03:16:18",0.3.85,101900,lumi.54ef44100053a193
214,"10/23/2023, 04:11:06",0.1.85,2024,lumi.54ef44100053a193
213,"10/23/2023, 04:11:06",0.2.85,5957,lumi.54ef44100053a193
212,"10/23/2023, 04:11:06",0.3.85,101900,lumi.54ef44100053a193
211,"10/23/2023, 04:51:06",0.3.85,101940,lumi.54ef44100053a193
210,"10/23/2023, 05:05:54",0.1.85,2016,lumi.54ef44100053a193
209,"10/23/2023, 05:05:54",0.2.85,5933,lumi.54ef44100053a193
208,"10/23/2023, 05:05:54",0.3.85,101900,lumi.54ef44100053a193
207,"10/23/2023, 06:00:41",0.1.85,2010,lumi.54ef44100053a193
206,"10/23/2023, 06:00:41",0.2.85,5911,lumi.54ef44100053a193
205,"10/23/2023, 06:00:41",0.3.85,101900,lumi.54ef44100053a193
204,"10/23/2023, 06:38:19",0.3.85,101970,lumi.54ef44100053a193
203,"10/23/2023, 06:55:28",0.1.85,1997,lumi.54ef44100053a193
202,"10/23/2023, 06:55:28",0.2.85,5912,lumi.54ef44100053a193
201,"10/23/2023, 06:55:28",0.3.85,101900,lumi.54ef44100053a193
200,"10/23/2023, 07:14:51",0.3.85,102000,lumi.54ef44100053a193
199,"10/23/2023, 07:48:48",0.3.85,102030,lumi.54ef44100053a193
198,"10/23/2023, 07:50:16",0.1.85,1996,lumi.54ef44100053a193
197,"10/23/2023, 07:50:16",0.2.85,5870,lumi.54ef44100053a193
196,"10/23/2023, 07:50:16",0.3.85,102000,lumi.54ef44100053a193
195,"10/23/2023, 08:32:49",0.3.85,102060,lumi.54ef44100053a193
194,"10/23/2023, 08:45:03",0.1.85,1990,lumi.54ef44100053a193
193,"10/23/2023, 08:45:03",0.2.85,5877,lumi.54ef44100053a193
192,"10/23/2023, 08:45:03",0.3.85,102000,lumi.54ef44100053a193
191,"10/23/2023, 08:56:24",0.3.85,102030,lumi.54ef44100053a193
190,"10/23/2023, 09:39:50",0.1.85,1996,lumi.54ef44100053a193
189,"10/23/2023, 09:39:50",0.2.85,5923,lumi.54ef44100053a193
188,"10/23/2023, 09:39:50",0.3.85,102000,lumi.54ef44100053a193
187,"10/23/2023, 10:04:42",0.3.85,102000,lumi.54ef44100053a193
186,"10/23/2023, 10:28:14",0.3.85,101970,lumi.54ef44100053a193
185,"10/23/2023, 10:34:38",0.1.85,1997,lumi.54ef44100053a193
184,"10/23/2023, 10:34:38",0.2.85,5951,lumi.54ef44100053a193
183,"10/23/2023, 10:34:38",0.3.85,101900,lumi.54ef44100053a193
182,"10/23/2023, 11:17:12",0.3.85,101940,lumi.54ef44100053a193
181,"10/23/2023, 11:29:25",0.1.85,2036,lumi.54ef44100053a193
180,"10/23/2023, 11:29:25",0.2.85,6048,lumi.54ef44100053a193
179,"10/23/2023, 11:29:25",0.3.85,101900,lumi.54ef44100053a193
178,"10/23/2023, 11:46:59",0.3.85,101910,lumi.54ef44100053a193
177,"10/23/2023, 12:11:48",0.3.85,101880,lumi.54ef44100053a193
176,"10/23/2023, 12:24:13",0.1.85,2055,lumi.54ef44100053a193
175,"10/23/2023, 12:24:13",0.2.85,5975,lumi.54ef44100053a193
174,"10/23/2023, 12:24:13",0.3.85,101800,lumi.54ef44100053a193
173,"10/23/2023, 12:24:37",0.3.85,101850,lumi.54ef44100053a193
172,"10/23/2023, 12:45:03",0.3.85,101820,lumi.54ef44100053a193
171,"10/23/2023, 13:00:01",0.3.85,101790,lumi.54ef44100053a193
170,"10/23/2023, 13:13:43",0.1.85,2070,lumi.54ef44100053a193
169,"10/23/2023, 13:19:00",0.1.85,2067,lumi.54ef44100053a193
168,"10/23/2023, 13:19:00",0.2.85,6016,lumi.54ef44100053a193
167,"10/23/2023, 13:19:00",0.3.85,101700,lumi.54ef44100053a193
166,"10/23/2023, 13:24:20",0.3.85,101760,lumi.54ef44100053a193
165,"10/23/2023, 13:47:20",0.3.85,101730,lumi.54ef44100053a193
164,"10/23/2023, 14:05:46",0.3.85,101700,lumi.54ef44100053a193
163,"10/23/2023, 14:13:48",0.1.85,2091,lumi.54ef44100053a193
162,"10/23/2023, 14:13:48",0.2.85,5503,lumi.54ef44100053a193
161,"10/23/2023, 14:13:48",0.3.85,101700,lumi.54ef44100053a193
160,"10/23/2023, 15:02:56",0.2.85,5281,lumi.54ef44100053a193
159,"10/23/2023, 15:06:13",0.3.85,101670,lumi.54ef44100053a193
158,"10/23/2023, 15:08:36",0.1.85,2074,lumi.54ef44100053a193
157,"10/23/2023, 15:08:36",0.2.85,5343,lumi.54ef44100053a193
156,"10/23/2023, 15:08:36",0.3.85,101600,lumi.54ef44100053a193
155,"10/23/2023, 15:49:20",0.2.85,5889,lumi.54ef44100053a193
154,"10/23/2023, 16:03:23",0.1.85,2105,lumi.54ef44100053a193
153,"10/23/2023, 16:03:23",0.2.85,6122,lumi.54ef44100053a193
152,"10/23/2023, 16:03:23",0.3.85,101600,lumi.54ef44100053a193
151,"10/23/2023, 16:45:13",0.3.85,101640,lumi.54ef44100053a193
150,"10/23/2023, 16:58:11",0.1.85,2084,lumi.54ef44100053a193
149,"10/23/2023, 16:58:11",0.2.85,5841,lumi.54ef44100053a193
148,"10/23/2023, 16:58:11",0.3.85,101600,lumi.54ef44100053a193
147,"10/23/2023, 17:10:37",0.3.85,101670,lumi.54ef44100053a193
146,"10/23/2023, 17:25:03",0.3.85,101640,lumi.54ef44100053a193
145,"10/23/2023, 17:39:50",0.3.85,101670,lumi.54ef44100053a193
144,"10/23/2023, 17:52:58",0.1.85,2065,lumi.54ef44100053a193
143,"10/23/2023, 17:52:58",0.2.85,5901,lumi.54ef44100053a193
142,"10/23/2023, 17:52:58",0.3.85,101600,lumi.54ef44100053a193
141,"10/23/2023, 18:27:52",0.3.85,101700,lumi.54ef44100053a193
140,"10/23/2023, 18:47:46",0.1.85,2040,lumi.54ef44100053a193
139,"10/23/2023, 18:47:46",0.2.85,5855,lumi.54ef44100053a193
138,"10/23/2023, 18:47:46",0.3.85,101600,lumi.54ef44100053a193
137,"10/23/2023, 19:41:28",0.1.85,2017,lumi.54ef44100053a193
136,"10/23/2023, 19:42:33",0.1.85,2023,lumi.54ef44100053a193
135,"10/23/2023, 19:42:33",0.2.85,5794,lumi.54ef44100053a193
134,"10/23/2023, 19:42:33",0.3.85,101700,lumi.54ef44100053a193
133,"10/23/2023, 20:08:31",0.3.85,101730,lumi.54ef44100053a193
132,"10/23/2023, 20:37:21",0.1.85,2013,lumi.54ef44100053a193
131,"10/23/2023, 20:37:21",0.2.85,5854,lumi.54ef44100053a193
130,"10/23/2023, 20:37:21",0.3.85,101700,lumi.54ef44100053a193
129,"10/23/2023, 20:56:33",0.3.85,101760,lumi.54ef44100053a193
128,"10/23/2023, 21:32:09",0.1.85,1992,lumi.54ef44100053a193
127,"10/23/2023, 21:32:09",0.2.85,5778,lumi.54ef44100053a193
126,"10/23/2023, 21:32:09",0.3.85,101700,lumi.54ef44100053a193
125,"10/23/2023, 22:26:56",0.1.85,1975,lumi.54ef44100053a193
124,"10/23/2023, 22:26:56",0.2.85,5817,lumi.54ef44100053a193
123,"10/23/2023, 22:26:56",0.3.85,101700,lumi.54ef44100053a193
122,"10/23/2023, 22:49:47",0.1.85,1965,lumi.54ef44100053a193
121,"10/23/2023, 23:21:44",0.1.85,1964,lumi.54ef44100053a193
120,"10/23/2023, 23:21:44",0.2.85,5779,lumi.54ef44100053a193
119,"10/23/2023, 23:21:44",0.3.85,101700,lumi.54ef44100053a193
118,"10/24/2023, 00:16:32",0.1.85,1968,lumi.54ef44100053a193
117,"10/24/2023, 00:16:32",0.2.85,5864,lumi.54ef44100053a193
116,"10/24/2023, 00:16:32",0.3.85,101700,lumi.54ef44100053a193
115,"10/24/2023, 01:11:19",0.1.85,1935,lumi.54ef44100053a193
114,"10/24/2023, 01:11:19",0.2.85,5748,lumi.54ef44100053a193
113,"10/24/2023, 01:11:19",0.3.85,101700,lumi.54ef44100053a193
112,"10/24/2023, 01:38:00",0.3.85,101790,lumi.54ef44100053a193
111,"10/24/2023, 01:47:41",0.3.85,101760,lumi.54ef44100053a193
110,"10/24/2023, 01:51:20",0.1.85,1914,lumi.54ef44100053a193
109,"10/24/2023, 02:06:07",0.1.85,1914,lumi.54ef44100053a193
108,"10/24/2023, 02:06:07",0.2.85,5736,lumi.54ef44100053a193
107,"10/24/2023, 02:06:07",0.3.85,101700,lumi.54ef44100053a193
106,"10/24/2023, 03:00:55",0.1.85,1890,lumi.54ef44100053a193
105,"10/24/2023, 03:00:55",0.2.85,5695,lumi.54ef44100053a193
104,"10/24/2023, 03:00:55",0.3.85,101700,lumi.54ef44100053a193
103,"10/24/2023, 03:30:42",0.3.85,101730,lumi.54ef44100053a193
102,"10/24/2023, 03:41:06",0.1.85,1862,lumi.54ef44100053a193
101,"10/24/2023, 03:55:42",0.1.85,1866,lumi.54ef44100053a193
100,"10/24/2023, 03:55:42",0.2.85,5680,lumi.54ef44100053a193
99,"10/24/2023, 03:55:42",0.3.85,101700,lumi.54ef44100053a193
98,"10/24/2023, 04:50:30",0.1.85,1879,lumi.54ef44100053a193
97,"10/24/2023, 04:50:30",0.2.85,5824,lumi.54ef44100053a193
96,"10/24/2023, 04:50:30",0.3.85,101700,lumi.54ef44100053a193
95,"10/24/2023, 05:06:25",0.1.85,1914,lumi.54ef44100053a193
94,"10/24/2023, 05:45:17",0.1.85,1933,lumi.54ef44100053a193
93,"10/24/2023, 05:45:17",0.2.85,5915,lumi.54ef44100053a193
92,"10/24/2023, 05:45:17",0.3.85,101700,lumi.54ef44100053a193
91,"10/24/2023, 06:40:05",0.1.85,1937,lumi.54ef44100053a193
90,"10/24/2023, 06:40:05",0.2.85,5976,lumi.54ef44100053a193
89,"10/24/2023, 06:40:05",0.3.85,101700,lumi.54ef44100053a193
88,"10/24/2023, 07:03:29",0.3.85,101760,lumi.54ef44100053a193
87,"10/24/2023, 07:34:53",0.1.85,1938,lumi.54ef44100053a193
86,"10/24/2023, 07:34:53",0.2.85,6000,lumi.54ef44100053a193
85,"10/24/2023, 07:34:53",0.3.85,101700,lumi.54ef44100053a193
84,"10/24/2023, 07:40:23",0.3.85,101790,lumi.54ef44100053a193
83,"10/24/2023, 08:05:13",0.3.85,101760,lumi.54ef44100053a193
82,"10/24/2023, 08:12:42",0.3.85,101790,lumi.54ef44100053a193
81,"10/24/2023, 08:29:40",0.1.85,1944,lumi.54ef44100053a193
80,"10/24/2023, 08:29:40",0.2.85,6031,lumi.54ef44100053a193
79,"10/24/2023, 08:29:40",0.3.85,101800,lumi.54ef44100053a193
78,"10/24/2023, 09:24:28",0.1.85,1950,lumi.54ef44100053a193
77,"10/24/2023, 09:24:28",0.2.85,6066,lumi.54ef44100053a193
76,"10/24/2023, 09:24:28",0.3.85,101700,lumi.54ef44100053a193
75,"10/24/2023, 09:29:14",0.3.85,101760,lumi.54ef44100053a193
