,timeStamp,resourceId,value,subjectId
32,"10/31/2023, 12:18:49",0.3.85,6,lumi.4cf8cdf3c8dcfa2
31,"10/31/2023, 12:40:01",0.3.85,16,lumi.4cf8cdf3c8dcfa2
30,"10/31/2023, 12:40:16",0.3.85,121,lumi.4cf8cdf3c8dcfa2
29,"10/31/2023, 12:43:01",0.3.85,146,lumi.4cf8cdf3c8dcfa2
28,"10/31/2023, 13:02:36",0.3.85,172,lumi.4cf8cdf3c8dcfa2
27,"10/31/2023, 13:08:50",0.3.85,145,lumi.4cf8cdf3c8dcfa2
26,"10/31/2023, 13:13:39",0.3.85,153,lumi.4cf8cdf3c8dcfa2
25,"10/31/2023, 14:08:29",0.3.85,151,lumi.4cf8cdf3c8dcfa2
24,"10/31/2023, 14:46:12",0.3.85,122,lumi.4cf8cdf3c8dcfa2
23,"10/31/2023, 14:50:11",0.3.85,103,lumi.4cf8cdf3c8dcfa2
22,"10/31/2023, 14:56:15",0.3.85,87,lumi.4cf8cdf3c8dcfa2
21,"10/31/2023, 15:03:18",0.3.85,77,lumi.4cf8cdf3c8dcfa2
20,"10/31/2023, 15:05:35",0.3.85,72,lumi.4cf8cdf3c8dcfa2
19,"10/31/2023, 15:12:53",0.3.85,61,lumi.4cf8cdf3c8dcfa2
18,"10/31/2023, 15:20:56",0.3.85,51,lumi.4cf8cdf3c8dcfa2
17,"10/31/2023, 15:32:29",0.3.85,44,lumi.4cf8cdf3c8dcfa2
16,"10/31/2023, 15:39:32",0.3.85,37,lumi.4cf8cdf3c8dcfa2
15,"10/31/2023, 15:48:00",0.3.85,30,lumi.4cf8cdf3c8dcfa2
14,"10/31/2023, 15:58:08",0.3.85,26,lumi.4cf8cdf3c8dcfa2
13,"10/31/2023, 16:03:24",0.3.85,23,lumi.4cf8cdf3c8dcfa2
12,"10/31/2023, 16:21:45",0.3.85,16,lumi.4cf8cdf3c8dcfa2
11,"10/31/2023, 16:45:59",0.3.85,10,lumi.4cf8cdf3c8dcfa2
10,"10/31/2023, 16:52:58",0.3.85,9,lumi.4cf8cdf3c8dcfa2
9,"10/31/2023, 17:15:59",0.3.85,2,lumi.4cf8cdf3c8dcfa2
8,"10/31/2023, 18:42:36",0.3.85,0,lumi.4cf8cdf3c8dcfa2
7,"10/31/2023, 19:17:20",0.3.85,10,lumi.4cf8cdf3c8dcfa2
6,"10/31/2023, 19:21:09",0.3.85,0,lumi.4cf8cdf3c8dcfa2
5,"10/31/2023, 20:32:15",0.3.85,0,lumi.4cf8cdf3c8dcfa2
4,"10/31/2023, 21:11:28",0.3.85,7,lumi.4cf8cdf3c8dcfa2
3,"10/31/2023, 21:12:57",0.3.85,14,lumi.4cf8cdf3c8dcfa2
2,"10/31/2023, 22:21:54",0.3.85,15,lumi.4cf8cdf3c8dcfa2
1,"10/31/2023, 23:16:43",0.3.85,17,lumi.4cf8cdf3c8dcfa2
0,"10/31/2023, 23:16:55",0.3.85,3,lumi.4cf8cdf3c8dcfa2
