,timeStamp,resourceId,value,subjectId
299,"11/06/2023, 09:12:55",0.12.85,0.000000,lumi.54ef4410001e9c6b
298,"11/06/2023, 09:13:23",0.12.85,0,lumi.54ef4410001e9c6b
297,"11/06/2023, 09:13:25",0.12.85,0.430000,lumi.54ef4410001e9c6b
296,"11/06/2023, 09:14:48",0.12.85,0.000000,lumi.54ef4410001e9c6b
295,"11/06/2023, 09:15:19",0.12.85,0.470000,lumi.54ef4410001e9c6b
294,"11/06/2023, 09:16:20",0.12.85,0.000000,lumi.54ef4410001e9c6b
293,"11/06/2023, 09:16:52",0.12.85,0.400000,lumi.54ef4410001e9c6b
292,"11/06/2023, 09:18:14",0.12.85,0.000000,lumi.54ef4410001e9c6b
291,"11/06/2023, 09:18:50",0.12.85,0.470000,lumi.54ef4410001e9c6b
290,"11/06/2023, 09:19:51",0.12.85,0.000000,lumi.54ef4410001e9c6b
289,"11/06/2023, 09:20:44",0.12.85,0.550000,lumi.54ef4410001e9c6b
288,"11/06/2023, 09:21:03",0.12.85,0.55,lumi.54ef4410001e9c6b
287,"11/06/2023, 09:23:21",0.12.85,0.000000,lumi.54ef4410001e9c6b
286,"11/06/2023, 09:23:52",0.12.85,0.410000,lumi.54ef4410001e9c6b
285,"11/06/2023, 09:26:48",0.12.85,0.48,lumi.54ef4410001e9c6b
284,"11/06/2023, 09:27:18",0.12.85,0.000000,lumi.54ef4410001e9c6b
283,"11/06/2023, 09:27:50",0.12.85,0.380000,lumi.54ef4410001e9c6b
282,"11/06/2023, 09:28:14",0.12.85,0.000000,lumi.54ef4410001e9c6b
281,"11/06/2023, 09:29:09",0.12.85,0.370000,lumi.54ef4410001e9c6b
280,"11/06/2023, 09:29:31",0.12.85,0.000000,lumi.54ef4410001e9c6b
279,"11/06/2023, 09:30:05",0.12.85,0.390000,lumi.54ef4410001e9c6b
278,"11/06/2023, 09:30:29",0.12.85,0.000000,lumi.54ef4410001e9c6b
277,"11/06/2023, 09:30:58",0.12.85,0.490000,lumi.54ef4410001e9c6b
276,"11/06/2023, 09:31:57",0.12.85,0.000000,lumi.54ef4410001e9c6b
275,"11/06/2023, 09:32:27",0.12.85,0.990000,lumi.54ef4410001e9c6b
274,"11/06/2023, 09:33:48",0.12.85,0.000000,lumi.54ef4410001e9c6b
273,"11/06/2023, 09:34:04",0.12.85,0,lumi.54ef4410001e9c6b
272,"11/06/2023, 09:34:18",0.12.85,0.440000,lumi.54ef4410001e9c6b
271,"11/06/2023, 09:37:41",0.12.85,0.000000,lumi.54ef4410001e9c6b
270,"11/06/2023, 09:38:18",0.12.85,0.510000,lumi.54ef4410001e9c6b
269,"11/06/2023, 09:38:33",0.12.85,0.000000,lumi.54ef4410001e9c6b
268,"11/06/2023, 09:39:08",0.12.85,0.370000,lumi.54ef4410001e9c6b
267,"11/06/2023, 09:40:03",0.12.85,0.000000,lumi.54ef4410001e9c6b
266,"11/06/2023, 09:40:36",0.12.85,0.360000,lumi.54ef4410001e9c6b
265,"11/06/2023, 09:41:49",0.12.85,0.47,lumi.54ef4410001e9c6b
264,"11/06/2023, 09:45:18",0.12.85,0.000000,lumi.54ef4410001e9c6b
263,"11/06/2023, 09:45:50",0.12.85,0.420000,lumi.54ef4410001e9c6b
262,"11/06/2023, 09:47:32",0.12.85,0.37,lumi.54ef4410001e9c6b
261,"11/06/2023, 09:48:11",0.12.85,0.000000,lumi.54ef4410001e9c6b
260,"11/06/2023, 09:48:40",0.12.85,0.570000,lumi.54ef4410001e9c6b
259,"11/06/2023, 09:52:45",0.12.85,0.000000,lumi.54ef4410001e9c6b
258,"11/06/2023, 09:53:13",0.12.85,0.510000,lumi.54ef4410001e9c6b
257,"11/06/2023, 09:53:20",0.12.85,0.51,lumi.54ef4410001e9c6b
256,"11/06/2023, 10:00:50",0.12.85,0.49,lumi.54ef4410001e9c6b
255,"11/06/2023, 10:06:46",0.12.85,0.000000,lumi.54ef4410001e9c6b
254,"11/06/2023, 10:07:34",0.12.85,0,lumi.54ef4410001e9c6b
253,"11/06/2023, 10:07:49",0.12.85,0.410000,lumi.54ef4410001e9c6b
252,"11/06/2023, 10:09:01",0.12.85,0.000000,lumi.54ef4410001e9c6b
251,"11/06/2023, 10:09:31",0.12.85,0.620000,lumi.54ef4410001e9c6b
250,"11/06/2023, 10:14:28",0.12.85,0.000000,lumi.54ef4410001e9c6b
249,"11/06/2023, 10:14:48",0.12.85,0,lumi.54ef4410001e9c6b
248,"11/06/2023, 10:15:28",0.12.85,0.590000,lumi.54ef4410001e9c6b
247,"11/06/2023, 10:16:17",0.12.85,0.000000,lumi.54ef4410001e9c6b
246,"11/06/2023, 10:17:19",0.12.85,0.630000,lumi.54ef4410001e9c6b
245,"11/06/2023, 10:17:34",0.12.85,0.000000,lumi.54ef4410001e9c6b
244,"11/06/2023, 10:18:03",0.12.85,0.510000,lumi.54ef4410001e9c6b
243,"11/06/2023, 10:18:41",0.12.85,0.000000,lumi.54ef4410001e9c6b
242,"11/06/2023, 10:19:12",0.12.85,0.590000,lumi.54ef4410001e9c6b
241,"11/06/2023, 10:20:16",0.12.85,0.37,lumi.54ef4410001e9c6b
240,"11/06/2023, 10:22:04",0.12.85,0.000000,lumi.54ef4410001e9c6b
239,"11/06/2023, 10:22:38",0.12.85,0.450000,lumi.54ef4410001e9c6b
238,"11/06/2023, 10:23:17",0.12.85,0.000000,lumi.54ef4410001e9c6b
237,"11/06/2023, 10:23:56",0.12.85,0.490000,lumi.54ef4410001e9c6b
236,"11/06/2023, 10:25:20",0.12.85,0.000000,lumi.54ef4410001e9c6b
235,"11/06/2023, 10:25:30",0.12.85,0,lumi.54ef4410001e9c6b
234,"11/06/2023, 10:26:00",0.12.85,0.580000,lumi.54ef4410001e9c6b
233,"11/06/2023, 10:27:33",0.12.85,0.000000,lumi.54ef4410001e9c6b
232,"11/06/2023, 10:28:03",0.12.85,0.460000,lumi.54ef4410001e9c6b
231,"11/06/2023, 10:31:48",0.12.85,0.37,lumi.54ef4410001e9c6b
230,"11/06/2023, 10:32:52",0.12.85,0.000000,lumi.54ef4410001e9c6b
229,"11/06/2023, 10:33:57",0.12.85,0.360000,lumi.54ef4410001e9c6b
228,"11/06/2023, 10:36:04",0.12.85,0.000000,lumi.54ef4410001e9c6b
227,"11/06/2023, 10:36:47",0.12.85,0.460000,lumi.54ef4410001e9c6b
226,"11/06/2023, 10:37:40",0.12.85,0.66,lumi.54ef4410001e9c6b
225,"11/06/2023, 10:45:11",0.12.85,0.37,lumi.54ef4410001e9c6b
224,"11/06/2023, 10:45:42",0.12.85,0.000000,lumi.54ef4410001e9c6b
223,"11/06/2023, 10:46:17",0.12.85,0.530000,lumi.54ef4410001e9c6b
222,"11/06/2023, 10:49:37",0.12.85,0.000000,lumi.54ef4410001e9c6b
221,"11/06/2023, 10:50:08",0.12.85,0.460000,lumi.54ef4410001e9c6b
220,"11/06/2023, 10:53:07",0.12.85,0.42,lumi.54ef4410001e9c6b
219,"11/06/2023, 10:54:25",0.12.85,0.000000,lumi.54ef4410001e9c6b
218,"11/06/2023, 10:54:55",0.12.85,0.430000,lumi.54ef4410001e9c6b
217,"11/06/2023, 10:55:52",0.12.85,0.000000,lumi.54ef4410001e9c6b
216,"11/06/2023, 10:56:48",0.12.85,0.360000,lumi.54ef4410001e9c6b
215,"11/06/2023, 10:58:31",0.12.85,0.47,lumi.54ef4410001e9c6b
214,"11/06/2023, 11:00:12",0.12.85,0.000000,lumi.54ef4410001e9c6b
213,"11/06/2023, 11:00:41",0.12.85,0.460000,lumi.54ef4410001e9c6b
212,"11/06/2023, 11:02:56",0.12.85,0.000000,lumi.54ef4410001e9c6b
211,"11/06/2023, 11:03:28",0.12.85,0.490000,lumi.54ef4410001e9c6b
210,"11/06/2023, 11:04:03",0.12.85,0.49,lumi.54ef4410001e9c6b
209,"11/06/2023, 11:05:14",0.12.85,0.000000,lumi.54ef4410001e9c6b
208,"11/06/2023, 11:05:45",0.12.85,0.490000,lumi.54ef4410001e9c6b
207,"11/06/2023, 11:10:09",0.12.85,0.000000,lumi.54ef4410001e9c6b
206,"11/06/2023, 11:10:10",0.12.85,0,lumi.54ef4410001e9c6b
205,"11/06/2023, 11:10:53",0.12.85,0.390000,lumi.54ef4410001e9c6b
204,"11/06/2023, 11:12:01",0.12.85,0.000000,lumi.54ef4410001e9c6b
203,"11/06/2023, 11:12:33",0.12.85,0.420000,lumi.54ef4410001e9c6b
202,"11/06/2023, 11:14:31",0.12.85,0.000000,lumi.54ef4410001e9c6b
201,"11/06/2023, 11:15:01",0.12.85,0.420000,lumi.54ef4410001e9c6b
200,"11/06/2023, 11:16:56",0.12.85,0.44,lumi.54ef4410001e9c6b
199,"11/06/2023, 11:18:20",0.12.85,0.000000,lumi.54ef4410001e9c6b
198,"11/06/2023, 11:18:50",0.12.85,0.510000,lumi.54ef4410001e9c6b
197,"11/06/2023, 11:20:16",0.12.85,0.000000,lumi.54ef4410001e9c6b
196,"11/06/2023, 11:20:44",0.12.85,0.420000,lumi.54ef4410001e9c6b
195,"11/06/2023, 11:24:44",0.12.85,0.000000,lumi.54ef4410001e9c6b
194,"11/06/2023, 11:25:03",0.12.85,0,lumi.54ef4410001e9c6b
193,"11/06/2023, 11:25:18",0.12.85,0.460000,lumi.54ef4410001e9c6b
192,"11/06/2023, 11:25:33",0.12.85,0.000000,lumi.54ef4410001e9c6b
191,"11/06/2023, 11:26:02",0.12.85,0.490000,lumi.54ef4410001e9c6b
190,"11/06/2023, 11:30:31",0.12.85,0.40,lumi.54ef4410001e9c6b
189,"11/06/2023, 11:32:45",0.12.85,0.000000,lumi.54ef4410001e9c6b
188,"11/06/2023, 11:33:15",0.12.85,0.600000,lumi.54ef4410001e9c6b
187,"11/06/2023, 11:33:30",0.12.85,0.000000,lumi.54ef4410001e9c6b
186,"11/06/2023, 11:34:40",0.12.85,0.380000,lumi.54ef4410001e9c6b
