,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
293,,0.3.85,"05/20/2023, 00:30:00",100770.0,lumi.54ef4410004b13a4,3,"05/20/2023, 00:00:00"
292,"05/20/2023, 00:28:36",0.3.85,"05/20/2023, 00:30:00",100770.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 00:00:00"
291,"05/20/2023, 00:28:36",0.3.85,"05/20/2023, 00:30:00",100770.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 00:00:00"
290,,0.3.85,"05/20/2023, 01:00:00",100700.0,lumi.54ef4410004b13a4,3,"05/20/2023, 00:30:00"
289,,0.2.85,"05/20/2023, 01:00:00",5971.0,lumi.54ef4410004b13a4,3,"05/20/2023, 00:30:00"
288,,0.1.85,"05/20/2023, 01:00:00",2396.0,lumi.54ef4410004b13a4,3,"05/20/2023, 00:30:00"
287,"05/20/2023, 00:37:34",0.3.85,"05/20/2023, 01:00:00",100700.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 00:30:00"
286,"05/20/2023, 00:37:34",0.1.85,"05/20/2023, 01:00:00",2396.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 00:30:00"
285,"05/20/2023, 00:37:34",0.2.85,"05/20/2023, 01:00:00",5971.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 00:30:00"
284,"05/20/2023, 00:37:34",0.1.85,"05/20/2023, 01:00:00",2396.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 00:30:00"
283,"05/20/2023, 00:37:34",0.2.85,"05/20/2023, 01:00:00",5971.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 00:30:00"
282,"05/20/2023, 00:37:34",0.3.85,"05/20/2023, 01:00:00",100700.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 00:30:00"
281,,0.3.85,"05/20/2023, 01:30:00",100740.0,lumi.54ef4410004b13a4,3,"05/20/2023, 01:00:00"
280,,0.1.85,"05/20/2023, 01:30:00",2436.0,lumi.54ef4410004b13a4,3,"05/20/2023, 01:00:00"
279,"05/20/2023, 01:08:45",0.3.85,"05/20/2023, 01:30:00",100740.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 01:00:00"
278,"05/20/2023, 01:12:02",0.1.85,"05/20/2023, 01:30:00",2436.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 01:00:00"
277,"05/20/2023, 01:12:02",0.1.85,"05/20/2023, 01:30:00",2436.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 01:00:00"
276,"05/20/2023, 01:08:45",0.3.85,"05/20/2023, 01:30:00",100740.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 01:00:00"
275,,0.3.85,"05/20/2023, 02:00:00",100735.0,lumi.54ef4410004b13a4,3,"05/20/2023, 01:30:00"
274,,0.2.85,"05/20/2023, 02:00:00",6080.0,lumi.54ef4410004b13a4,3,"05/20/2023, 01:30:00"
273,,0.1.85,"05/20/2023, 02:00:00",2475.0,lumi.54ef4410004b13a4,3,"05/20/2023, 01:30:00"
272,"05/20/2023, 01:36:15",0.3.85,"05/20/2023, 02:00:00",100770.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 01:30:00"
271,"05/20/2023, 01:48:20",0.1.85,"05/20/2023, 02:00:00",2487.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 01:30:00"
270,"05/20/2023, 01:32:33",0.2.85,"05/20/2023, 02:00:00",6080.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 01:30:00"
269,"05/20/2023, 01:32:33",0.1.85,"05/20/2023, 02:00:00",2463.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 01:30:00"
268,"05/20/2023, 01:32:33",0.2.85,"05/20/2023, 02:00:00",6080.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 01:30:00"
267,"05/20/2023, 01:32:33",0.3.85,"05/20/2023, 02:00:00",100700.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 01:30:00"
266,,0.3.85,"05/20/2023, 02:30:00",100700.0,lumi.54ef4410004b13a4,3,"05/20/2023, 02:00:00"
265,,0.2.85,"05/20/2023, 02:30:00",6191.0,lumi.54ef4410004b13a4,3,"05/20/2023, 02:00:00"
264,,0.1.85,"05/20/2023, 02:30:00",2491.0,lumi.54ef4410004b13a4,3,"05/20/2023, 02:00:00"
263,"05/20/2023, 02:27:32",0.3.85,"05/20/2023, 02:30:00",100700.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 02:00:00"
262,"05/20/2023, 02:27:32",0.1.85,"05/20/2023, 02:30:00",2491.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 02:00:00"
261,"05/20/2023, 02:27:32",0.2.85,"05/20/2023, 02:30:00",6191.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 02:00:00"
260,"05/20/2023, 02:27:32",0.1.85,"05/20/2023, 02:30:00",2491.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 02:00:00"
259,"05/20/2023, 02:27:32",0.2.85,"05/20/2023, 02:30:00",6191.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 02:00:00"
258,"05/20/2023, 02:27:32",0.3.85,"05/20/2023, 02:30:00",100700.000000,lumi.54ef4410004b13a4,1,"05/20/2023, 02:00:00"
257,,0.3.85,"05/20/2023, 03:00:00",100815.0,lumi.54ef4410004b13a4,3,"05/20/2023, 02:30:00"
256,"05/20/2023, 02:52:40",0.3.85,"05/20/2023, 03:00:00",100830.000000,lumi.54ef4410004b13a4,2,"05/20/2023, 02:30:00"
