,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
9,,3.1.85,"05/30/2023, 05:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe821,4,"05/30/2023, 05:00:00"
8,,3.1.85,"05/30/2023, 10:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe821,4,"05/30/2023, 10:00:00"
7,,3.1.85,"05/30/2023, 17:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe821,4,"05/30/2023, 16:30:00"
6,,3.1.85,"05/30/2023, 18:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fe821,4,"05/30/2023, 17:30:00"
5,,3.1.85,"05/30/2023, 18:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe821,4,"05/30/2023, 18:00:00"
4,,3.1.85,"05/31/2023, 11:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fe821,4,"05/31/2023, 10:30:00"
3,,3.1.85,"05/31/2023, 11:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fe821,4,"05/31/2023, 11:00:00"
2,,3.1.85,"06/01/2023, 03:30:00","{""0"":2,""1"":2}",lumi.54ef4410003fe821,4,"06/01/2023, 03:00:00"
1,,3.1.85,"06/01/2023, 08:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fe821,4,"06/01/2023, 08:00:00"
0,,3.1.85,"06/02/2023, 00:00:00","{""0"":2,""1"":2}",lumi.54ef4410003fe821,4,"06/01/2023, 23:30:00"
