,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
17,,13.1.85,"08/01/2023, 01:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"08/01/2023, 01:00:00"
16,,13.1.85,"08/01/2023, 09:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/01/2023, 08:30:00"
15,,13.1.85,"08/01/2023, 09:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a4c6,4,"08/01/2023, 09:00:00"
14,,13.1.85,"08/01/2023, 19:00:00","{""1"":3}",lumi.158d0008f3a4c6,4,"08/01/2023, 18:30:00"
13,,13.1.85,"08/01/2023, 19:30:00","{""1"":8}",lumi.158d0008f3a4c6,4,"08/01/2023, 19:00:00"
12,,13.1.85,"08/01/2023, 22:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"08/01/2023, 22:00:00"
11,,13.1.85,"08/01/2023, 23:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"08/01/2023, 22:30:00"
10,,13.1.85,"08/01/2023, 23:30:00","{""2"":1}",lumi.158d0008f3a4c6,4,"08/01/2023, 23:00:00"
9,,13.1.85,"08/02/2023, 07:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 06:30:00"
8,,13.1.85,"08/02/2023, 08:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 07:30:00"
7,,13.1.85,"08/02/2023, 09:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 08:30:00"
6,,13.1.85,"08/02/2023, 10:30:00","{""1"":4,""2"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 10:00:00"
5,,13.1.85,"08/02/2023, 11:00:00","{""1"":3,""2"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 10:30:00"
4,,13.1.85,"08/02/2023, 11:30:00","{""1"":11}",lumi.158d0008f3a4c6,4,"08/02/2023, 11:00:00"
3,,13.1.85,"08/02/2023, 12:00:00","{""1"":5}",lumi.158d0008f3a4c6,4,"08/02/2023, 11:30:00"
2,,13.1.85,"08/02/2023, 13:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 13:00:00"
1,,13.1.85,"08/02/2023, 14:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/02/2023, 13:30:00"
0,,13.1.85,"08/03/2023, 10:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"08/03/2023, 09:30:00"
