,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
179,,0.3.85,"08/04/2023, 00:30:00",0.0,lumi.54ef44100065d2f0,3,"08/04/2023, 00:00:00"
178,"08/04/2023, 00:08:45",0.3.85,"08/04/2023, 00:30:00",0.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 00:00:00"
177,"08/04/2023, 00:08:45",0.3.85,"08/04/2023, 00:30:00",0.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 00:00:00"
176,,0.3.85,"08/04/2023, 02:00:00",152.0,lumi.54ef44100065d2f0,3,"08/04/2023, 01:30:00"
175,"08/04/2023, 01:50:19",0.3.85,"08/04/2023, 02:00:00",221.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 01:30:00"
174,"08/04/2023, 01:49:39",0.3.85,"08/04/2023, 02:00:00",18.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 01:30:00"
173,,0.3.85,"08/04/2023, 02:30:00",153.75,lumi.54ef44100065d2f0,3,"08/04/2023, 02:00:00"
172,"08/04/2023, 02:11:26",0.3.85,"08/04/2023, 02:30:00",224.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 02:00:00"
171,"08/04/2023, 02:05:28",0.3.85,"08/04/2023, 02:30:00",98.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 02:00:00"
170,,0.3.85,"08/04/2023, 03:00:00",216.0,lumi.54ef44100065d2f0,3,"08/04/2023, 02:30:00"
169,"08/04/2023, 02:53:11",0.3.85,"08/04/2023, 03:00:00",216.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 02:30:00"
168,"08/04/2023, 02:53:11",0.3.85,"08/04/2023, 03:00:00",216.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 02:30:00"
167,,0.3.85,"08/04/2023, 03:30:00",0.0,lumi.54ef44100065d2f0,3,"08/04/2023, 03:00:00"
166,"08/04/2023, 03:12:24",0.3.85,"08/04/2023, 03:30:00",0.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 03:00:00"
165,"08/04/2023, 03:12:24",0.3.85,"08/04/2023, 03:30:00",0.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 03:00:00"
164,,0.3.85,"08/04/2023, 06:00:00",0.0,lumi.54ef44100065d2f0,3,"08/04/2023, 05:30:00"
163,"08/04/2023, 05:37:36",0.3.85,"08/04/2023, 06:00:00",0.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 05:30:00"
162,"08/04/2023, 05:37:36",0.3.85,"08/04/2023, 06:00:00",0.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 05:30:00"
161,,0.3.85,"08/04/2023, 06:30:00",12.0,lumi.54ef44100065d2f0,3,"08/04/2023, 06:00:00"
160,"08/04/2023, 06:02:37",0.3.85,"08/04/2023, 06:30:00",23.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 06:00:00"
159,"08/04/2023, 06:02:42",0.3.85,"08/04/2023, 06:30:00",1.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 06:00:00"
158,,0.3.85,"08/04/2023, 07:30:00",8.0,lumi.54ef44100065d2f0,3,"08/04/2023, 07:00:00"
157,"08/04/2023, 07:24:39",0.3.85,"08/04/2023, 07:30:00",8.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 07:00:00"
156,"08/04/2023, 07:24:39",0.3.85,"08/04/2023, 07:30:00",8.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 07:00:00"
155,,0.3.85,"08/04/2023, 08:30:00",18.0,lumi.54ef44100065d2f0,3,"08/04/2023, 08:00:00"
154,"08/04/2023, 08:19:53",0.3.85,"08/04/2023, 08:30:00",25.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 08:00:00"
153,"08/04/2023, 08:20:18",0.3.85,"08/04/2023, 08:30:00",11.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 08:00:00"
152,,0.3.85,"08/04/2023, 10:30:00",15.0,lumi.54ef44100065d2f0,3,"08/04/2023, 10:00:00"
151,"08/04/2023, 10:27:23",0.3.85,"08/04/2023, 10:30:00",18.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 10:00:00"
150,"08/04/2023, 10:11:40",0.3.85,"08/04/2023, 10:30:00",12.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 10:00:00"
149,,0.3.85,"08/04/2023, 11:30:00",14.0,lumi.54ef44100065d2f0,3,"08/04/2023, 11:00:00"
148,"08/04/2023, 11:06:29",0.3.85,"08/04/2023, 11:30:00",17.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 11:00:00"
147,"08/04/2023, 11:25:36",0.3.85,"08/04/2023, 11:30:00",11.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 11:00:00"
146,,0.3.85,"08/04/2023, 12:30:00",15.375,lumi.54ef44100065d2f0,3,"08/04/2023, 12:00:00"
145,"08/04/2023, 12:25:14",0.3.85,"08/04/2023, 12:30:00",19.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 12:00:00"
144,"08/04/2023, 12:10:38",0.3.85,"08/04/2023, 12:30:00",11.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 12:00:00"
143,,0.3.85,"08/04/2023, 13:00:00",15.5,lumi.54ef44100065d2f0,3,"08/04/2023, 12:30:00"
142,"08/04/2023, 12:33:22",0.3.85,"08/04/2023, 13:00:00",19.000000,lumi.54ef44100065d2f0,2,"08/04/2023, 12:30:00"
141,"08/04/2023, 12:33:02",0.3.85,"08/04/2023, 13:00:00",12.000000,lumi.54ef44100065d2f0,1,"08/04/2023, 12:30:00"
