,timeStamp,resourceId,value,subjectId
241,"09/29/2023, 00:08:58",0.1.85,2580,lumi.54ef4410004b13a4
240,"09/29/2023, 00:08:58",0.2.85,6612,lumi.54ef4410004b13a4
239,"09/29/2023, 00:08:58",0.3.85,101200,lumi.54ef4410004b13a4
238,"09/29/2023, 01:03:54",0.3.85,101250,lumi.54ef4410004b13a4
237,"09/29/2023, 01:03:54",0.1.85,2570,lumi.54ef4410004b13a4
236,"09/29/2023, 01:03:54",0.2.85,6606,lumi.54ef4410004b13a4
235,"09/29/2023, 01:03:54",0.3.85,101200,lumi.54ef4410004b13a4
234,"09/29/2023, 01:58:51",0.1.85,2567,lumi.54ef4410004b13a4
233,"09/29/2023, 01:58:51",0.2.85,6622,lumi.54ef4410004b13a4
232,"09/29/2023, 01:58:51",0.3.85,101200,lumi.54ef4410004b13a4
231,"09/29/2023, 02:53:47",0.1.85,2566,lumi.54ef4410004b13a4
230,"09/29/2023, 02:53:47",0.2.85,6626,lumi.54ef4410004b13a4
229,"09/29/2023, 02:53:47",0.3.85,101200,lumi.54ef4410004b13a4
228,"09/29/2023, 03:18:43",0.3.85,101280,lumi.54ef4410004b13a4
227,"09/29/2023, 03:28:14",0.3.85,101250,lumi.54ef4410004b13a4
226,"09/29/2023, 03:48:44",0.1.85,2553,lumi.54ef4410004b13a4
225,"09/29/2023, 03:48:44",0.2.85,6631,lumi.54ef4410004b13a4
224,"09/29/2023, 03:48:44",0.3.85,101200,lumi.54ef4410004b13a4
223,"09/29/2023, 03:50:57",0.3.85,101280,lumi.54ef4410004b13a4
222,"09/29/2023, 04:00:28",0.1.85,2547,lumi.54ef4410004b13a4
221,"09/29/2023, 04:06:31",0.3.85,101250,lumi.54ef4410004b13a4
220,"09/29/2023, 04:38:21",0.3.85,101280,lumi.54ef4410004b13a4
219,"09/29/2023, 04:43:40",0.1.85,2549,lumi.54ef4410004b13a4
218,"09/29/2023, 04:43:40",0.2.85,6621,lumi.54ef4410004b13a4
217,"09/29/2023, 04:43:40",0.3.85,101200,lumi.54ef4410004b13a4
216,"09/29/2023, 05:24:42",0.3.85,101250,lumi.54ef4410004b13a4
215,"09/29/2023, 05:38:36",0.1.85,2542,lumi.54ef4410004b13a4
214,"09/29/2023, 05:38:36",0.2.85,6611,lumi.54ef4410004b13a4
213,"09/29/2023, 05:38:36",0.3.85,101200,lumi.54ef4410004b13a4
212,"09/29/2023, 05:40:28",0.3.85,101280,lumi.54ef4410004b13a4
211,"09/29/2023, 06:05:21",0.3.85,101310,lumi.54ef4410004b13a4
210,"09/29/2023, 06:33:33",0.1.85,2530,lumi.54ef4410004b13a4
209,"09/29/2023, 06:33:33",0.2.85,6599,lumi.54ef4410004b13a4
208,"09/29/2023, 06:33:33",0.3.85,101300,lumi.54ef4410004b13a4
207,"09/29/2023, 06:47:29",0.3.85,101340,lumi.54ef4410004b13a4
206,"09/29/2023, 06:57:11",0.3.85,101370,lumi.54ef4410004b13a4
205,"09/29/2023, 07:28:29",0.1.85,2525,lumi.54ef4410004b13a4
204,"09/29/2023, 07:28:29",0.2.85,6572,lumi.54ef4410004b13a4
203,"09/29/2023, 07:28:29",0.3.85,101300,lumi.54ef4410004b13a4
202,"09/29/2023, 07:55:14",0.3.85,101400,lumi.54ef4410004b13a4
201,"09/29/2023, 08:23:25",0.1.85,2516,lumi.54ef4410004b13a4
200,"09/29/2023, 08:23:25",0.2.85,6557,lumi.54ef4410004b13a4
199,"09/29/2023, 08:23:25",0.3.85,101400,lumi.54ef4410004b13a4
198,"09/29/2023, 08:47:15",0.3.85,101370,lumi.54ef4410004b13a4
197,"09/29/2023, 09:18:22",0.1.85,2515,lumi.54ef4410004b13a4
196,"09/29/2023, 09:18:22",0.2.85,6543,lumi.54ef4410004b13a4
195,"09/29/2023, 09:18:22",0.3.85,101300,lumi.54ef4410004b13a4
194,"09/29/2023, 09:43:50",0.3.85,101400,lumi.54ef4410004b13a4
193,"09/29/2023, 10:13:18",0.1.85,2512,lumi.54ef4410004b13a4
192,"09/29/2023, 10:13:18",0.2.85,6534,lumi.54ef4410004b13a4
191,"09/29/2023, 10:13:18",0.3.85,101400,lumi.54ef4410004b13a4
190,"09/29/2023, 10:37:41",0.3.85,101370,lumi.54ef4410004b13a4
189,"09/29/2023, 11:08:14",0.1.85,2512,lumi.54ef4410004b13a4
188,"09/29/2023, 11:08:14",0.2.85,6522,lumi.54ef4410004b13a4
187,"09/29/2023, 11:08:14",0.3.85,101300,lumi.54ef4410004b13a4
186,"09/29/2023, 11:10:28",0.3.85,101340,lumi.54ef4410004b13a4
185,"09/29/2023, 11:27:51",0.3.85,101310,lumi.54ef4410004b13a4
184,"09/29/2023, 11:37:45",0.3.85,101340,lumi.54ef4410004b13a4
183,"09/29/2023, 11:56:25",0.3.85,101310,lumi.54ef4410004b13a4
182,"09/29/2023, 12:03:11",0.1.85,2514,lumi.54ef4410004b13a4
181,"09/29/2023, 12:03:11",0.2.85,6516,lumi.54ef4410004b13a4
180,"09/29/2023, 12:03:11",0.3.85,101300,lumi.54ef4410004b13a4
179,"09/29/2023, 12:22:48",0.3.85,101280,lumi.54ef4410004b13a4
178,"09/29/2023, 12:33:03",0.3.85,101250,lumi.54ef4410004b13a4
177,"09/29/2023, 12:54:17",0.3.85,101220,lumi.54ef4410004b13a4
176,"09/29/2023, 12:58:08",0.1.85,2511,lumi.54ef4410004b13a4
175,"09/29/2023, 12:58:08",0.2.85,6474,lumi.54ef4410004b13a4
174,"09/29/2023, 12:58:08",0.3.85,101200,lumi.54ef4410004b13a4
173,"09/29/2023, 13:14:49",0.3.85,101190,lumi.54ef4410004b13a4
172,"09/29/2023, 13:23:58",0.3.85,101160,lumi.54ef4410004b13a4
171,"09/29/2023, 13:53:04",0.1.85,2509,lumi.54ef4410004b13a4
170,"09/29/2023, 13:53:04",0.2.85,6393,lumi.54ef4410004b13a4
169,"09/29/2023, 13:53:04",0.3.85,101100,lumi.54ef4410004b13a4
168,"09/29/2023, 14:02:04",0.3.85,101130,lumi.54ef4410004b13a4
167,"09/29/2023, 14:15:48",0.3.85,101100,lumi.54ef4410004b13a4
166,"09/29/2023, 14:37:02",0.3.85,101070,lumi.54ef4410004b13a4
165,"09/29/2023, 14:48:01",0.1.85,2512,lumi.54ef4410004b13a4
164,"09/29/2023, 14:48:01",0.2.85,6321,lumi.54ef4410004b13a4
163,"09/29/2023, 14:48:01",0.3.85,101000,lumi.54ef4410004b13a4
162,"09/29/2023, 15:05:15",0.3.85,101040,lumi.54ef4410004b13a4
161,"09/29/2023, 15:24:28",0.3.85,101070,lumi.54ef4410004b13a4
160,"09/29/2023, 15:42:57",0.1.85,2518,lumi.54ef4410004b13a4
159,"09/29/2023, 15:42:57",0.2.85,6303,lumi.54ef4410004b13a4
158,"09/29/2023, 15:42:57",0.3.85,101000,lumi.54ef4410004b13a4
157,"09/29/2023, 16:37:53",0.1.85,2515,lumi.54ef4410004b13a4
156,"09/29/2023, 16:37:53",0.2.85,6232,lumi.54ef4410004b13a4
155,"09/29/2023, 16:37:53",0.3.85,101000,lumi.54ef4410004b13a4
154,"09/29/2023, 17:14:21",0.3.85,101040,lumi.54ef4410004b13a4
153,"09/29/2023, 17:32:50",0.1.85,2524,lumi.54ef4410004b13a4
152,"09/29/2023, 17:32:50",0.2.85,6268,lumi.54ef4410004b13a4
151,"09/29/2023, 17:32:50",0.3.85,101000,lumi.54ef4410004b13a4
150,"09/29/2023, 17:45:51",0.3.85,101070,lumi.54ef4410004b13a4
149,"09/29/2023, 18:18:37",0.3.85,101040,lumi.54ef4410004b13a4
148,"09/29/2023, 18:27:46",0.1.85,2556,lumi.54ef4410004b13a4
147,"09/29/2023, 18:27:46",0.2.85,6705,lumi.54ef4410004b13a4
146,"09/29/2023, 18:27:46",0.3.85,101000,lumi.54ef4410004b13a4
145,"09/29/2023, 19:22:42",0.1.85,2559,lumi.54ef4410004b13a4
144,"09/29/2023, 19:22:42",0.2.85,6756,lumi.54ef4410004b13a4
143,"09/29/2023, 19:22:42",0.3.85,101000,lumi.54ef4410004b13a4
142,"09/29/2023, 19:45:04",0.3.85,101070,lumi.54ef4410004b13a4
141,"09/29/2023, 20:15:38",0.3.85,101100,lumi.54ef4410004b13a4
140,"09/29/2023, 20:17:38",0.1.85,2551,lumi.54ef4410004b13a4
139,"09/29/2023, 20:17:38",0.2.85,6817,lumi.54ef4410004b13a4
138,"09/29/2023, 20:17:38",0.3.85,101100,lumi.54ef4410004b13a4
137,"09/29/2023, 20:29:12",0.3.85,101070,lumi.54ef4410004b13a4
136,"09/29/2023, 20:38:21",0.3.85,101100,lumi.54ef4410004b13a4
135,"09/29/2023, 20:48:03",0.3.85,101130,lumi.54ef4410004b13a4
134,"09/29/2023, 20:55:45",0.3.85,101100,lumi.54ef4410004b13a4
133,"09/29/2023, 20:59:13",0.3.85,101070,lumi.54ef4410004b13a4
132,"09/29/2023, 21:12:35",0.1.85,2551,lumi.54ef4410004b13a4
131,"09/29/2023, 21:12:35",0.2.85,6809,lumi.54ef4410004b13a4
130,"09/29/2023, 21:12:35",0.3.85,101000,lumi.54ef4410004b13a4
129,"09/29/2023, 22:03:07",0.3.85,101040,lumi.54ef4410004b13a4
128,"09/29/2023, 22:07:31",0.1.85,2554,lumi.54ef4410004b13a4
127,"09/29/2023, 22:07:31",0.2.85,6830,lumi.54ef4410004b13a4
126,"09/29/2023, 22:07:31",0.3.85,101000,lumi.54ef4410004b13a4
125,"09/29/2023, 22:37:23",0.2.85,6883,lumi.54ef4410004b13a4
124,"09/29/2023, 23:02:28",0.1.85,2561,lumi.54ef4410004b13a4
123,"09/29/2023, 23:02:28",0.2.85,6896,lumi.54ef4410004b13a4
122,"09/29/2023, 23:02:28",0.3.85,101000,lumi.54ef4410004b13a4
121,"09/29/2023, 23:16:24",0.3.85,101010,lumi.54ef4410004b13a4
120,"09/29/2023, 23:24:06",0.3.85,100980,lumi.54ef4410004b13a4
119,"09/29/2023, 23:50:49",0.3.85,100950,lumi.54ef4410004b13a4
118,"09/29/2023, 23:57:24",0.1.85,2561,lumi.54ef4410004b13a4
117,"09/29/2023, 23:57:24",0.2.85,6879,lumi.54ef4410004b13a4
116,"09/29/2023, 23:57:24",0.3.85,100900,lumi.54ef4410004b13a4
115,"09/30/2023, 00:47:46",0.3.85,100980,lumi.54ef4410004b13a4
114,"09/30/2023, 00:52:21",0.1.85,2588,lumi.54ef4410004b13a4
113,"09/30/2023, 00:52:21",0.2.85,7225,lumi.54ef4410004b13a4
112,"09/30/2023, 00:52:21",0.3.85,100900,lumi.54ef4410004b13a4
111,"09/30/2023, 01:09:02",0.3.85,101010,lumi.54ef4410004b13a4
110,"09/30/2023, 01:14:42",0.3.85,101040,lumi.54ef4410004b13a4
109,"09/30/2023, 01:24:03",0.3.85,101070,lumi.54ef4410004b13a4
108,"09/30/2023, 01:28:48",0.3.85,101040,lumi.54ef4410004b13a4
107,"09/30/2023, 01:47:17",0.1.85,2578,lumi.54ef4410004b13a4
106,"09/30/2023, 01:47:17",0.2.85,7199,lumi.54ef4410004b13a4
105,"09/30/2023, 01:47:17",0.3.85,101000,lumi.54ef4410004b13a4
104,"09/30/2023, 01:53:44",0.3.85,101070,lumi.54ef4410004b13a4
103,"09/30/2023, 02:42:14",0.1.85,2578,lumi.54ef4410004b13a4
102,"09/30/2023, 02:42:14",0.2.85,7141,lumi.54ef4410004b13a4
101,"09/30/2023, 02:42:14",0.3.85,101000,lumi.54ef4410004b13a4
100,"09/30/2023, 02:42:49",0.3.85,101100,lumi.54ef4410004b13a4
99,"09/30/2023, 02:50:41",0.3.85,101130,lumi.54ef4410004b13a4
98,"09/30/2023, 03:01:29",0.3.85,101100,lumi.54ef4410004b13a4
97,"09/30/2023, 03:15:01",0.3.85,101130,lumi.54ef4410004b13a4
96,"09/30/2023, 03:37:10",0.1.85,2576,lumi.54ef4410004b13a4
95,"09/30/2023, 03:37:10",0.2.85,7100,lumi.54ef4410004b13a4
94,"09/30/2023, 03:37:10",0.3.85,101100,lumi.54ef4410004b13a4
93,"09/30/2023, 04:01:11",0.3.85,101100,lumi.54ef4410004b13a4
92,"09/30/2023, 04:32:07",0.1.85,2560,lumi.54ef4410004b13a4
91,"09/30/2023, 04:32:07",0.2.85,7082,lumi.54ef4410004b13a4
90,"09/30/2023, 04:32:07",0.3.85,101000,lumi.54ef4410004b13a4
89,"09/30/2023, 05:27:03",0.1.85,2559,lumi.54ef4410004b13a4
88,"09/30/2023, 05:27:03",0.2.85,7043,lumi.54ef4410004b13a4
87,"09/30/2023, 05:27:03",0.3.85,101100,lumi.54ef4410004b13a4
86,"09/30/2023, 06:04:25",0.3.85,101070,lumi.54ef4410004b13a4
