,timeStamp,resourceId,value,subjectId
299,"10/03/2023, 23:13:38",3.1.85,1,lumi.54ef44100051b148
298,"10/03/2023, 23:14:41",3.1.85,1,lumi.54ef44100051b148
297,"10/03/2023, 23:15:52",3.1.85,1,lumi.54ef44100051b148
296,"10/03/2023, 23:17:08",3.1.85,1,lumi.54ef44100051b148
295,"10/03/2023, 23:18:22",3.1.85,1,lumi.54ef44100051b148
294,"10/03/2023, 23:20:54",3.1.85,1,lumi.54ef44100051b148
293,"10/03/2023, 23:22:01",3.1.85,1,lumi.54ef44100051b148
292,"10/03/2023, 23:24:26",3.1.85,1,lumi.54ef44100051b148
291,"10/03/2023, 23:27:36",3.1.85,1,lumi.54ef44100051b148
290,"10/03/2023, 23:29:11",3.1.85,1,lumi.54ef44100051b148
289,"10/03/2023, 23:30:10",3.1.85,1,lumi.54ef44100051b148
288,"10/03/2023, 23:33:03",3.1.85,1,lumi.54ef44100051b148
287,"10/03/2023, 23:34:57",3.1.85,1,lumi.54ef44100051b148
286,"10/03/2023, 23:35:57",3.1.85,1,lumi.54ef44100051b148
285,"10/03/2023, 23:36:59",3.1.85,1,lumi.54ef44100051b148
284,"10/03/2023, 23:37:57",3.1.85,1,lumi.54ef44100051b148
283,"10/03/2023, 23:39:06",3.1.85,1,lumi.54ef44100051b148
282,"10/03/2023, 23:40:12",3.1.85,1,lumi.54ef44100051b148
281,"10/03/2023, 23:41:17",3.1.85,1,lumi.54ef44100051b148
280,"10/03/2023, 23:42:15",3.1.85,1,lumi.54ef44100051b148
279,"10/03/2023, 23:43:24",3.1.85,1,lumi.54ef44100051b148
278,"10/03/2023, 23:44:23",3.1.85,1,lumi.54ef44100051b148
277,"10/03/2023, 23:45:26",3.1.85,1,lumi.54ef44100051b148
276,"10/03/2023, 23:46:31",3.1.85,1,lumi.54ef44100051b148
275,"10/03/2023, 23:49:51",3.1.85,1,lumi.54ef44100051b148
274,"10/03/2023, 23:50:58",3.1.85,1,lumi.54ef44100051b148
273,"10/03/2023, 23:53:59",3.1.85,1,lumi.54ef44100051b148
272,"10/03/2023, 23:56:05",3.1.85,1,lumi.54ef44100051b148
271,"10/03/2023, 23:58:04",3.1.85,1,lumi.54ef44100051b148
270,"10/03/2023, 23:59:07",3.1.85,1,lumi.54ef44100051b148
269,"10/04/2023, 00:00:11",3.1.85,1,lumi.54ef44100051b148
268,"10/04/2023, 00:02:19",3.1.85,1,lumi.54ef44100051b148
267,"10/04/2023, 00:03:31",3.1.85,1,lumi.54ef44100051b148
266,"10/04/2023, 00:05:03",3.1.85,1,lumi.54ef44100051b148
265,"10/04/2023, 00:06:03",3.1.85,1,lumi.54ef44100051b148
264,"10/04/2023, 00:07:32",3.1.85,1,lumi.54ef44100051b148
263,"10/04/2023, 00:09:05",3.1.85,1,lumi.54ef44100051b148
262,"10/04/2023, 00:10:19",3.1.85,1,lumi.54ef44100051b148
261,"10/04/2023, 00:11:25",3.1.85,1,lumi.54ef44100051b148
260,"10/04/2023, 00:13:17",3.1.85,1,lumi.54ef44100051b148
259,"10/04/2023, 00:14:15",3.1.85,1,lumi.54ef44100051b148
258,"10/04/2023, 00:15:51",3.1.85,1,lumi.54ef44100051b148
257,"10/04/2023, 00:20:46",3.1.85,1,lumi.54ef44100051b148
256,"10/04/2023, 00:24:31",3.1.85,1,lumi.54ef44100051b148
255,"10/04/2023, 00:25:30",3.1.85,1,lumi.54ef44100051b148
254,"10/04/2023, 00:26:59",3.1.85,1,lumi.54ef44100051b148
253,"10/04/2023, 00:30:21",3.1.85,1,lumi.54ef44100051b148
252,"10/04/2023, 00:32:15",3.1.85,1,lumi.54ef44100051b148
251,"10/04/2023, 00:33:42",3.1.85,1,lumi.54ef44100051b148
250,"10/04/2023, 00:34:40",3.1.85,1,lumi.54ef44100051b148
249,"10/04/2023, 00:35:44",3.1.85,1,lumi.54ef44100051b148
248,"10/04/2023, 00:36:49",3.1.85,1,lumi.54ef44100051b148
247,"10/04/2023, 00:38:12",3.1.85,1,lumi.54ef44100051b148
246,"10/04/2023, 00:39:11",3.1.85,1,lumi.54ef44100051b148
245,"10/04/2023, 00:40:23",3.1.85,1,lumi.54ef44100051b148
244,"10/04/2023, 00:42:16",3.1.85,1,lumi.54ef44100051b148
243,"10/04/2023, 00:43:52",3.1.85,1,lumi.54ef44100051b148
242,"10/04/2023, 00:45:42",3.1.85,1,lumi.54ef44100051b148
241,"10/04/2023, 00:52:18",3.1.85,1,lumi.54ef44100051b148
240,"10/04/2023, 00:54:07",3.1.85,1,lumi.54ef44100051b148
239,"10/04/2023, 00:58:31",3.1.85,1,lumi.54ef44100051b148
238,"10/04/2023, 00:59:48",3.1.85,1,lumi.54ef44100051b148
237,"10/04/2023, 01:01:53",3.1.85,1,lumi.54ef44100051b148
236,"10/04/2023, 01:04:25",3.1.85,1,lumi.54ef44100051b148
235,"10/04/2023, 01:05:23",3.1.85,1,lumi.54ef44100051b148
234,"10/04/2023, 01:06:24",3.1.85,1,lumi.54ef44100051b148
233,"10/04/2023, 01:07:23",3.1.85,1,lumi.54ef44100051b148
232,"10/04/2023, 01:12:25",3.1.85,1,lumi.54ef44100051b148
231,"10/04/2023, 01:19:14",3.1.85,1,lumi.54ef44100051b148
230,"10/04/2023, 01:20:12",3.1.85,1,lumi.54ef44100051b148
229,"10/04/2023, 01:21:15",3.1.85,1,lumi.54ef44100051b148
228,"10/04/2023, 01:22:12",3.1.85,1,lumi.54ef44100051b148
227,"10/04/2023, 01:23:16",3.1.85,1,lumi.54ef44100051b148
226,"10/04/2023, 03:13:18",3.1.85,1,lumi.54ef44100051b148
225,"10/04/2023, 03:21:29",3.1.85,1,lumi.54ef44100051b148
224,"10/04/2023, 03:22:44",3.1.85,1,lumi.54ef44100051b148
223,"10/04/2023, 03:34:34",3.1.85,1,lumi.54ef44100051b148
222,"10/04/2023, 03:37:13",3.1.85,1,lumi.54ef44100051b148
221,"10/04/2023, 03:38:46",3.1.85,1,lumi.54ef44100051b148
220,"10/04/2023, 03:39:44",3.1.85,1,lumi.54ef44100051b148
219,"10/04/2023, 03:47:47",3.1.85,1,lumi.54ef44100051b148
218,"10/04/2023, 03:59:50",3.1.85,1,lumi.54ef44100051b148
217,"10/04/2023, 04:37:38",3.1.85,1,lumi.54ef44100051b148
216,"10/04/2023, 04:48:42",3.1.85,1,lumi.54ef44100051b148
215,"10/04/2023, 04:59:05",3.1.85,1,lumi.54ef44100051b148
214,"10/04/2023, 06:24:57",3.1.85,1,lumi.54ef44100051b148
213,"10/04/2023, 06:44:19",3.1.85,1,lumi.54ef44100051b148
212,"10/04/2023, 06:52:31",3.1.85,1,lumi.54ef44100051b148
211,"10/04/2023, 06:59:44",3.1.85,1,lumi.54ef44100051b148
210,"10/04/2023, 07:12:52",3.1.85,1,lumi.54ef44100051b148
209,"10/04/2023, 07:19:06",3.1.85,1,lumi.54ef44100051b148
208,"10/04/2023, 07:24:15",3.1.85,1,lumi.54ef44100051b148
207,"10/04/2023, 08:04:17",3.1.85,1,lumi.54ef44100051b148
206,"10/04/2023, 08:14:13",3.1.85,1,lumi.54ef44100051b148
205,"10/04/2023, 08:45:42",3.1.85,1,lumi.54ef44100051b148
204,"10/04/2023, 09:00:14",3.1.85,1,lumi.54ef44100051b148
203,"10/04/2023, 09:13:53",3.1.85,1,lumi.54ef44100051b148
202,"10/04/2023, 09:15:13",3.1.85,1,lumi.54ef44100051b148
