,timeStamp,resourceId,value,subjectId
29,"10/07/2023, 10:11:44",3.1.85,1,lumi.54ef4410003fe821
28,"10/07/2023, 10:11:48",3.1.85,0,lumi.54ef4410003fe821
27,"10/07/2023, 17:27:57",3.1.85,1,lumi.54ef4410003fe821
26,"10/07/2023, 17:28:02",3.1.85,0,lumi.54ef4410003fe821
25,"10/07/2023, 18:33:21",3.1.85,1,lumi.54ef4410003fe821
24,"10/07/2023, 18:33:25",3.1.85,0,lumi.54ef4410003fe821
23,"10/07/2023, 20:53:57",3.1.85,1,lumi.54ef4410003fe821
22,"10/07/2023, 20:54:01",3.1.85,0,lumi.54ef4410003fe821
21,"10/08/2023, 10:53:10",3.1.85,1,lumi.54ef4410003fe821
20,"10/08/2023, 10:53:16",3.1.85,0,lumi.54ef4410003fe821
19,"10/08/2023, 10:54:27",3.1.85,1,lumi.54ef4410003fe821
18,"10/08/2023, 10:54:31",3.1.85,0,lumi.54ef4410003fe821
17,"10/08/2023, 11:08:59",3.1.85,1,lumi.54ef4410003fe821
16,"10/08/2023, 11:09:03",3.1.85,0,lumi.54ef4410003fe821
15,"10/08/2023, 11:09:20",3.1.85,1,lumi.54ef4410003fe821
14,"10/08/2023, 11:09:34",3.1.85,0,lumi.54ef4410003fe821
13,"10/08/2023, 11:10:55",3.1.85,1,lumi.54ef4410003fe821
12,"10/08/2023, 11:11:44",3.1.85,0,lumi.54ef4410003fe821
11,"10/08/2023, 11:12:56",3.1.85,1,lumi.54ef4410003fe821
10,"10/08/2023, 11:13:05",3.1.85,0,lumi.54ef4410003fe821
9,"10/08/2023, 12:55:59",3.1.85,1,lumi.54ef4410003fe821
8,"10/08/2023, 12:56:03",3.1.85,0,lumi.54ef4410003fe821
7,"10/08/2023, 14:05:37",3.1.85,1,lumi.54ef4410003fe821
6,"10/08/2023, 14:05:41",3.1.85,0,lumi.54ef4410003fe821
5,"10/08/2023, 17:40:41",3.1.85,1,lumi.54ef4410003fe821
4,"10/08/2023, 17:40:45",3.1.85,0,lumi.54ef4410003fe821
3,"10/08/2023, 18:36:26",3.1.85,1,lumi.54ef4410003fe821
2,"10/08/2023, 18:36:32",3.1.85,0,lumi.54ef4410003fe821
1,"10/08/2023, 21:20:18",3.1.85,1,lumi.54ef4410003fe821
0,"10/08/2023, 21:20:22",3.1.85,0,lumi.54ef4410003fe821
