,timeStamp,resourceId,value,subjectId
19,"10/29/2023, 00:15:05",0.3.85,0,lumi.54ef44100065d2f0
18,"10/29/2023, 02:05:55",0.3.85,0,lumi.54ef44100065d2f0
17,"10/29/2023, 03:00:43",0.3.85,0,lumi.54ef44100065d2f0
16,"10/29/2023, 04:50:18",0.3.85,0,lumi.54ef44100065d2f0
15,"10/29/2023, 05:45:06",0.3.85,0,lumi.54ef44100065d2f0
14,"10/29/2023, 06:39:54",0.3.85,0,lumi.54ef44100065d2f0
13,"10/29/2023, 07:15:57",0.3.85,42,lumi.54ef44100065d2f0
12,"10/29/2023, 07:16:02",0.3.85,160,lumi.54ef44100065d2f0
11,"10/29/2023, 07:32:18",0.3.85,62,lumi.54ef44100065d2f0
10,"10/29/2023, 07:32:23",0.3.85,148,lumi.54ef44100065d2f0
9,"10/29/2023, 07:32:58",0.3.85,97,lumi.54ef44100065d2f0
8,"10/29/2023, 07:33:03",0.3.85,151,lumi.54ef44100065d2f0
7,"10/29/2023, 07:34:42",0.3.85,172,lumi.54ef44100065d2f0
6,"10/29/2023, 07:36:54",0.3.85,36,lumi.54ef44100065d2f0
5,"10/29/2023, 07:36:59",0.3.85,22,lumi.54ef44100065d2f0
4,"10/29/2023, 07:37:43",0.3.85,5,lumi.54ef44100065d2f0
3,"10/29/2023, 08:29:30",0.3.85,9,lumi.54ef44100065d2f0
2,"10/29/2023, 08:58:59",0.3.85,12,lumi.54ef44100065d2f0
1,"10/29/2023, 10:19:05",0.3.85,17,lumi.54ef44100065d2f0
0,"10/29/2023, 11:13:53",0.3.85,17,lumi.54ef44100065d2f0
