,timeStamp,resourceId,value,subjectId
10,"10/30/2023, 19:39:11",13.1.85,1,lumi.158d0008d0ce9d
9,"10/30/2023, 19:39:16",13.1.85,2,lumi.158d0008d0ce9d
8,"10/30/2023, 19:39:47",13.1.85,2,lumi.158d0008d0ce9d
7,"10/30/2023, 19:40:13",13.1.85,1,lumi.158d0008d0ce9d
6,"10/30/2023, 19:41:11",13.1.85,1,lumi.158d0008d0ce9d
5,"10/30/2023, 19:42:10",13.1.85,1,lumi.158d0008d0ce9d
4,"10/30/2023, 19:43:09",13.1.85,1,lumi.158d0008d0ce9d
3,"10/30/2023, 19:44:07",13.1.85,1,lumi.158d0008d0ce9d
2,"10/30/2023, 19:44:46",13.1.85,3,lumi.158d0008d0ce9d
1,"10/30/2023, 19:45:13",13.1.85,1,lumi.158d0008d0ce9d
0,"10/30/2023, 19:46:00",13.1.85,2,lumi.158d0008d0ce9d
