,timeStamp,resourceId,value,subjectId
33,"11/22/2023, 12:37:51",13.1.85,1,lumi.158d0008f34c4c
32,"11/22/2023, 18:44:04",13.1.85,1,lumi.158d0008f34c4c
31,"11/22/2023, 20:58:54",13.1.85,1,lumi.158d0008f34c4c
30,"11/22/2023, 21:21:14",13.1.85,1,lumi.158d0008f34c4c
29,"11/22/2023, 21:24:48",13.1.85,1,lumi.158d0008f34c4c
28,"11/22/2023, 23:59:26",13.1.85,1,lumi.158d0008f34c4c
27,"11/23/2023, 10:37:30",13.1.85,1,lumi.158d0008f34c4c
26,"11/23/2023, 11:21:41",13.1.85,1,lumi.158d0008f34c4c
25,"11/23/2023, 11:21:43",13.1.85,2,lumi.158d0008f34c4c
24,"11/23/2023, 11:25:55",13.1.85,2,lumi.158d0008f34c4c
23,"11/23/2023, 11:25:57",13.1.85,1,lumi.158d0008f34c4c
22,"11/23/2023, 11:44:02",13.1.85,1,lumi.158d0008f34c4c
21,"11/23/2023, 12:00:07",13.1.85,1,lumi.158d0008f34c4c
20,"11/23/2023, 12:17:47",13.1.85,1,lumi.158d0008f34c4c
19,"11/23/2023, 12:17:58",13.1.85,2,lumi.158d0008f34c4c
18,"11/23/2023, 17:10:46",13.1.85,1,lumi.158d0008f34c4c
17,"11/23/2023, 17:10:53",13.1.85,2,lumi.158d0008f34c4c
16,"11/23/2023, 17:18:29",13.1.85,1,lumi.158d0008f34c4c
15,"11/23/2023, 17:29:27",13.1.85,1,lumi.158d0008f34c4c
14,"11/23/2023, 17:29:30",13.1.85,2,lumi.158d0008f34c4c
13,"11/23/2023, 18:02:55",13.1.85,1,lumi.158d0008f34c4c
12,"11/23/2023, 18:04:00",13.1.85,1,lumi.158d0008f34c4c
11,"11/23/2023, 18:15:47",13.1.85,2,lumi.158d0008f34c4c
10,"11/23/2023, 18:35:56",13.1.85,1,lumi.158d0008f34c4c
9,"11/23/2023, 18:40:24",13.1.85,1,lumi.158d0008f34c4c
8,"11/23/2023, 18:44:33",13.1.85,1,lumi.158d0008f34c4c
7,"11/23/2023, 18:55:29",13.1.85,1,lumi.158d0008f34c4c
6,"11/23/2023, 18:55:36",13.1.85,2,lumi.158d0008f34c4c
5,"11/23/2023, 19:06:29",13.1.85,1,lumi.158d0008f34c4c
4,"11/23/2023, 19:45:48",13.1.85,1,lumi.158d0008f34c4c
3,"11/23/2023, 21:06:13",13.1.85,1,lumi.158d0008f34c4c
2,"11/23/2023, 21:06:16",13.1.85,2,lumi.158d0008f34c4c
1,"11/23/2023, 21:58:25",13.1.85,1,lumi.158d0008f34c4c
0,"11/23/2023, 21:58:27",13.1.85,2,lumi.158d0008f34c4c
