,timeStamp,resourceId,value,subjectId
50,"11/30/2023, 10:02:28",13.1.85,1,lumi.158d0008f3a4c6
49,"11/30/2023, 10:05:15",13.1.85,1,lumi.158d0008f3a4c6
48,"11/30/2023, 10:11:25",13.1.85,1,lumi.158d0008f3a4c6
47,"11/30/2023, 10:14:52",13.1.85,1,lumi.158d0008f3a4c6
46,"11/30/2023, 10:15:52",13.1.85,1,lumi.158d0008f3a4c6
45,"11/30/2023, 10:17:27",13.1.85,1,lumi.158d0008f3a4c6
44,"11/30/2023, 10:21:25",13.1.85,1,lumi.158d0008f3a4c6
43,"11/30/2023, 10:37:07",13.1.85,1,lumi.158d0008f3a4c6
42,"11/30/2023, 10:52:30",13.1.85,1,lumi.158d0008f3a4c6
41,"11/30/2023, 11:04:21",13.1.85,1,lumi.158d0008f3a4c6
40,"11/30/2023, 11:06:06",13.1.85,1,lumi.158d0008f3a4c6
39,"11/30/2023, 11:11:42",13.1.85,1,lumi.158d0008f3a4c6
38,"11/30/2023, 11:12:52",13.1.85,1,lumi.158d0008f3a4c6
37,"11/30/2023, 11:25:17",13.1.85,1,lumi.158d0008f3a4c6
36,"11/30/2023, 11:43:40",13.1.85,1,lumi.158d0008f3a4c6
35,"11/30/2023, 11:50:28",13.1.85,1,lumi.158d0008f3a4c6
34,"11/30/2023, 12:33:47",13.1.85,1,lumi.158d0008f3a4c6
33,"11/30/2023, 12:52:49",13.1.85,1,lumi.158d0008f3a4c6
32,"11/30/2023, 13:05:58",13.1.85,1,lumi.158d0008f3a4c6
31,"11/30/2023, 13:08:47",13.1.85,1,lumi.158d0008f3a4c6
30,"11/30/2023, 13:11:12",13.1.85,1,lumi.158d0008f3a4c6
29,"11/30/2023, 13:12:27",13.1.85,1,lumi.158d0008f3a4c6
28,"11/30/2023, 19:14:38",13.1.85,1,lumi.158d0008f3a4c6
27,"11/30/2023, 19:25:04",13.1.85,1,lumi.158d0008f3a4c6
26,"11/30/2023, 19:37:05",13.1.85,1,lumi.158d0008f3a4c6
25,"11/30/2023, 19:48:52",13.1.85,1,lumi.158d0008f3a4c6
24,"11/30/2023, 19:50:14",13.1.85,1,lumi.158d0008f3a4c6
23,"11/30/2023, 19:51:34",13.1.85,1,lumi.158d0008f3a4c6
22,"11/30/2023, 19:52:58",13.1.85,1,lumi.158d0008f3a4c6
21,"11/30/2023, 20:47:08",13.1.85,1,lumi.158d0008f3a4c6
20,"11/30/2023, 20:58:38",13.1.85,1,lumi.158d0008f3a4c6
19,"11/30/2023, 21:01:05",13.1.85,1,lumi.158d0008f3a4c6
18,"11/30/2023, 21:16:53",13.1.85,1,lumi.158d0008f3a4c6
17,"11/30/2023, 22:21:45",13.1.85,1,lumi.158d0008f3a4c6
16,"12/01/2023, 00:23:02",13.1.85,1,lumi.158d0008f3a4c6
15,"12/01/2023, 08:22:26",13.1.85,1,lumi.158d0008f3a4c6
14,"12/01/2023, 21:02:47",13.1.85,1,lumi.158d0008f3a4c6
13,"12/01/2023, 21:09:52",13.1.85,1,lumi.158d0008f3a4c6
12,"12/01/2023, 21:13:12",13.1.85,1,lumi.158d0008f3a4c6
11,"12/01/2023, 22:44:09",13.1.85,1,lumi.158d0008f3a4c6
10,"12/01/2023, 22:49:56",13.1.85,1,lumi.158d0008f3a4c6
9,"12/01/2023, 22:53:36",13.1.85,1,lumi.158d0008f3a4c6
8,"12/01/2023, 23:10:53",13.1.85,1,lumi.158d0008f3a4c6
7,"12/01/2023, 23:14:38",13.1.85,1,lumi.158d0008f3a4c6
6,"12/01/2023, 23:19:55",13.1.85,1,lumi.158d0008f3a4c6
5,"12/01/2023, 23:25:56",13.1.85,1,lumi.158d0008f3a4c6
4,"12/01/2023, 23:27:42",13.1.85,1,lumi.158d0008f3a4c6
3,"12/01/2023, 23:33:17",13.1.85,1,lumi.158d0008f3a4c6
2,"12/01/2023, 23:35:57",13.1.85,1,lumi.158d0008f3a4c6
1,"12/01/2023, 23:43:08",13.1.85,1,lumi.158d0008f3a4c6
0,"12/01/2023, 23:53:28",13.1.85,1,lumi.158d0008f3a4c6
