,timeStamp,resourceId,value,subjectId
14,"12/01/2023, 21:02:13",13.1.85,1,lumi.158d0008f34dce
13,"12/01/2023, 21:02:14",13.1.85,2,lumi.158d0008f34dce
12,"12/01/2023, 21:43:45",13.1.85,1,lumi.158d0008f34dce
11,"12/01/2023, 21:57:11",13.1.85,1,lumi.158d0008f34dce
10,"12/01/2023, 21:58:08",13.1.85,1,lumi.158d0008f34dce
9,"12/01/2023, 21:59:04",13.1.85,1,lumi.158d0008f34dce
8,"12/01/2023, 22:00:01",13.1.85,1,lumi.158d0008f34dce
7,"12/01/2023, 22:00:57",13.1.85,1,lumi.158d0008f34dce
6,"12/01/2023, 22:01:54",13.1.85,1,lumi.158d0008f34dce
5,"12/01/2023, 22:02:50",13.1.85,1,lumi.158d0008f34dce
4,"12/01/2023, 22:03:47",13.1.85,1,lumi.158d0008f34dce
3,"12/01/2023, 22:33:17",13.1.85,1,lumi.158d0008f34dce
2,"12/01/2023, 22:33:20",13.1.85,2,lumi.158d0008f34dce
1,"12/02/2023, 10:28:56",13.1.85,1,lumi.158d0008f34dce
0,"12/02/2023, 10:29:00",13.1.85,2,lumi.158d0008f34dce
