,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
290,,0.3.85,"06/08/2023, 00:30:00",1.0,lumi.54ef44100065d68c,3,"06/08/2023, 00:00:00"
289,"06/08/2023, 00:11:18",0.3.85,"06/08/2023, 00:30:00",1.000000,lumi.54ef44100065d68c,2,"06/08/2023, 00:00:00"
288,"06/08/2023, 00:11:18",0.3.85,"06/08/2023, 00:30:00",1.000000,lumi.54ef44100065d68c,1,"06/08/2023, 00:00:00"
287,,0.3.85,"06/08/2023, 02:30:00",2.0,lumi.54ef44100065d68c,3,"06/08/2023, 02:00:00"
286,"06/08/2023, 02:12:01",0.3.85,"06/08/2023, 02:30:00",2.000000,lumi.54ef44100065d68c,2,"06/08/2023, 02:00:00"
285,"06/08/2023, 02:12:01",0.3.85,"06/08/2023, 02:30:00",2.000000,lumi.54ef44100065d68c,1,"06/08/2023, 02:00:00"
284,,0.3.85,"06/08/2023, 05:00:00",0.0,lumi.54ef44100065d68c,3,"06/08/2023, 04:30:00"
283,"06/08/2023, 04:55:44",0.3.85,"06/08/2023, 05:00:00",0.000000,lumi.54ef44100065d68c,2,"06/08/2023, 04:30:00"
282,"06/08/2023, 04:55:44",0.3.85,"06/08/2023, 05:00:00",0.000000,lumi.54ef44100065d68c,1,"06/08/2023, 04:30:00"
281,,0.3.85,"06/08/2023, 05:30:00",8.0,lumi.54ef44100065d68c,3,"06/08/2023, 05:00:00"
280,"06/08/2023, 05:29:53",0.3.85,"06/08/2023, 05:30:00",8.000000,lumi.54ef44100065d68c,2,"06/08/2023, 05:00:00"
279,"06/08/2023, 05:29:53",0.3.85,"06/08/2023, 05:30:00",8.000000,lumi.54ef44100065d68c,1,"06/08/2023, 05:00:00"
278,,0.3.85,"06/08/2023, 06:00:00",21.666667,lumi.54ef44100065d68c,3,"06/08/2023, 05:30:00"
277,"06/08/2023, 05:50:18",0.3.85,"06/08/2023, 06:00:00",28.000000,lumi.54ef44100065d68c,2,"06/08/2023, 05:30:00"
276,"06/08/2023, 05:36:25",0.3.85,"06/08/2023, 06:00:00",15.000000,lumi.54ef44100065d68c,1,"06/08/2023, 05:30:00"
275,,0.3.85,"06/08/2023, 06:30:00",70.466667,lumi.54ef44100065d68c,3,"06/08/2023, 06:00:00"
274,"06/08/2023, 06:23:33",0.3.85,"06/08/2023, 06:30:00",129.000000,lumi.54ef44100065d68c,2,"06/08/2023, 06:00:00"
273,"06/08/2023, 06:07:06",0.3.85,"06/08/2023, 06:30:00",36.000000,lumi.54ef44100065d68c,1,"06/08/2023, 06:00:00"
272,,0.3.85,"06/08/2023, 07:00:00",113.866667,lumi.54ef44100065d68c,3,"06/08/2023, 06:30:00"
271,"06/08/2023, 06:52:15",0.3.85,"06/08/2023, 07:00:00",192.000000,lumi.54ef44100065d68c,2,"06/08/2023, 06:30:00"
270,"06/08/2023, 06:33:23",0.3.85,"06/08/2023, 07:00:00",46.000000,lumi.54ef44100065d68c,1,"06/08/2023, 06:30:00"
269,,0.3.85,"06/08/2023, 07:30:00",217.6,lumi.54ef44100065d68c,3,"06/08/2023, 07:00:00"
268,"06/08/2023, 07:12:10",0.3.85,"06/08/2023, 07:30:00",340.000000,lumi.54ef44100065d68c,2,"06/08/2023, 07:00:00"
267,"06/08/2023, 07:04:04",0.3.85,"06/08/2023, 07:30:00",139.000000,lumi.54ef44100065d68c,1,"06/08/2023, 07:00:00"
266,,0.3.85,"06/08/2023, 08:00:00",174.714286,lumi.54ef44100065d68c,3,"06/08/2023, 07:30:00"
265,"06/08/2023, 07:38:37",0.3.85,"06/08/2023, 08:00:00",210.000000,lumi.54ef44100065d68c,2,"06/08/2023, 07:30:00"
264,"06/08/2023, 07:45:46",0.3.85,"06/08/2023, 08:00:00",125.000000,lumi.54ef44100065d68c,1,"06/08/2023, 07:30:00"
263,,0.3.85,"06/08/2023, 08:30:00",108.6,lumi.54ef44100065d68c,3,"06/08/2023, 08:00:00"
262,"06/08/2023, 08:10:53",0.3.85,"06/08/2023, 08:30:00",148.000000,lumi.54ef44100065d68c,2,"06/08/2023, 08:00:00"
261,"06/08/2023, 08:27:05",0.3.85,"06/08/2023, 08:30:00",75.000000,lumi.54ef44100065d68c,1,"06/08/2023, 08:00:00"
260,,0.3.85,"06/08/2023, 09:00:00",136.714286,lumi.54ef44100065d68c,3,"06/08/2023, 08:30:00"
259,"06/08/2023, 08:57:36",0.3.85,"06/08/2023, 09:00:00",211.000000,lumi.54ef44100065d68c,2,"06/08/2023, 08:30:00"
258,"06/08/2023, 08:32:32",0.3.85,"06/08/2023, 09:00:00",89.000000,lumi.54ef44100065d68c,1,"06/08/2023, 08:30:00"
257,,0.3.85,"06/08/2023, 09:30:00",214.818182,lumi.54ef44100065d68c,3,"06/08/2023, 09:00:00"
256,"06/08/2023, 09:28:35",0.3.85,"06/08/2023, 09:30:00",357.000000,lumi.54ef44100065d68c,2,"06/08/2023, 09:00:00"
255,"06/08/2023, 09:11:39",0.3.85,"06/08/2023, 09:30:00",108.000000,lumi.54ef44100065d68c,1,"06/08/2023, 09:00:00"
254,,0.3.85,"06/08/2023, 10:00:00",226.333333,lumi.54ef44100065d68c,3,"06/08/2023, 09:30:00"
253,"06/08/2023, 09:43:05",0.3.85,"06/08/2023, 10:00:00",291.000000,lumi.54ef44100065d68c,2,"06/08/2023, 09:30:00"
252,"06/08/2023, 09:43:00",0.3.85,"06/08/2023, 10:00:00",146.000000,lumi.54ef44100065d68c,1,"06/08/2023, 09:30:00"
251,,0.3.85,"06/08/2023, 10:30:00",307.333333,lumi.54ef44100065d68c,3,"06/08/2023, 10:00:00"
250,"06/08/2023, 10:25:50",0.3.85,"06/08/2023, 10:30:00",336.000000,lumi.54ef44100065d68c,2,"06/08/2023, 10:00:00"
249,"06/08/2023, 10:10:41",0.3.85,"06/08/2023, 10:30:00",285.000000,lumi.54ef44100065d68c,1,"06/08/2023, 10:00:00"
248,,0.3.85,"06/08/2023, 11:00:00",280.75,lumi.54ef44100065d68c,3,"06/08/2023, 10:30:00"
247,"06/08/2023, 10:36:05",0.3.85,"06/08/2023, 11:00:00",327.000000,lumi.54ef44100065d68c,2,"06/08/2023, 10:30:00"
246,"06/08/2023, 10:50:13",0.3.85,"06/08/2023, 11:00:00",236.000000,lumi.54ef44100065d68c,1,"06/08/2023, 10:30:00"
245,,0.3.85,"06/08/2023, 11:30:00",190.8,lumi.54ef44100065d68c,3,"06/08/2023, 11:00:00"
244,"06/08/2023, 11:17:44",0.3.85,"06/08/2023, 11:30:00",248.000000,lumi.54ef44100065d68c,2,"06/08/2023, 11:00:00"
243,"06/08/2023, 11:28:56",0.3.85,"06/08/2023, 11:30:00",103.000000,lumi.54ef44100065d68c,1,"06/08/2023, 11:00:00"
242,,0.3.85,"06/08/2023, 12:00:00",217.125,lumi.54ef44100065d68c,3,"06/08/2023, 11:30:00"
241,"06/08/2023, 11:40:55",0.3.85,"06/08/2023, 12:00:00",275.000000,lumi.54ef44100065d68c,2,"06/08/2023, 11:30:00"
240,"06/08/2023, 11:30:20",0.3.85,"06/08/2023, 12:00:00",143.000000,lumi.54ef44100065d68c,1,"06/08/2023, 11:30:00"
239,,0.3.85,"06/08/2023, 12:30:00",269.714286,lumi.54ef44100065d68c,3,"06/08/2023, 12:00:00"
238,"06/08/2023, 12:20:27",0.3.85,"06/08/2023, 12:30:00",307.000000,lumi.54ef44100065d68c,2,"06/08/2023, 12:00:00"
237,"06/08/2023, 12:01:20",0.3.85,"06/08/2023, 12:30:00",219.000000,lumi.54ef44100065d68c,1,"06/08/2023, 12:00:00"
236,,0.3.85,"06/08/2023, 13:00:00",235.0,lumi.54ef44100065d68c,3,"06/08/2023, 12:30:00"
235,"06/08/2023, 12:36:29",0.3.85,"06/08/2023, 13:00:00",256.000000,lumi.54ef44100065d68c,2,"06/08/2023, 12:30:00"
234,"06/08/2023, 12:59:52",0.3.85,"06/08/2023, 13:00:00",214.000000,lumi.54ef44100065d68c,1,"06/08/2023, 12:30:00"
233,,0.3.85,"06/08/2023, 13:30:00",195.0,lumi.54ef44100065d68c,3,"06/08/2023, 13:00:00"
232,"06/08/2023, 13:06:54",0.3.85,"06/08/2023, 13:30:00",195.000000,lumi.54ef44100065d68c,2,"06/08/2023, 13:00:00"
231,"06/08/2023, 13:06:54",0.3.85,"06/08/2023, 13:30:00",195.000000,lumi.54ef44100065d68c,1,"06/08/2023, 13:00:00"
230,,0.3.85,"06/08/2023, 14:00:00",252.0,lumi.54ef44100065d68c,3,"06/08/2023, 13:30:00"
229,"06/08/2023, 13:42:33",0.3.85,"06/08/2023, 14:00:00",252.000000,lumi.54ef44100065d68c,2,"06/08/2023, 13:30:00"
228,"06/08/2023, 13:42:33",0.3.85,"06/08/2023, 14:00:00",252.000000,lumi.54ef44100065d68c,1,"06/08/2023, 13:30:00"
227,,0.3.85,"06/08/2023, 14:30:00",214.0,lumi.54ef44100065d68c,3,"06/08/2023, 14:00:00"
226,"06/08/2023, 14:01:19",0.3.85,"06/08/2023, 14:30:00",214.000000,lumi.54ef44100065d68c,2,"06/08/2023, 14:00:00"
225,"06/08/2023, 14:01:19",0.3.85,"06/08/2023, 14:30:00",214.000000,lumi.54ef44100065d68c,1,"06/08/2023, 14:00:00"
224,,0.3.85,"06/08/2023, 15:00:00",205.0,lumi.54ef44100065d68c,3,"06/08/2023, 14:30:00"
223,"06/08/2023, 14:56:04",0.3.85,"06/08/2023, 15:00:00",205.000000,lumi.54ef44100065d68c,2,"06/08/2023, 14:30:00"
222,"06/08/2023, 14:56:04",0.3.85,"06/08/2023, 15:00:00",205.000000,lumi.54ef44100065d68c,1,"06/08/2023, 14:30:00"
221,,0.3.85,"06/08/2023, 16:00:00",172.0,lumi.54ef44100065d68c,3,"06/08/2023, 15:30:00"
220,"06/08/2023, 15:50:39",0.3.85,"06/08/2023, 16:00:00",182.000000,lumi.54ef44100065d68c,2,"06/08/2023, 15:30:00"
219,"06/08/2023, 15:54:29",0.3.85,"06/08/2023, 16:00:00",153.000000,lumi.54ef44100065d68c,1,"06/08/2023, 15:30:00"
218,,0.3.85,"06/08/2023, 16:30:00",119.0,lumi.54ef44100065d68c,3,"06/08/2023, 16:00:00"
217,"06/08/2023, 16:16:13",0.3.85,"06/08/2023, 16:30:00",129.000000,lumi.54ef44100065d68c,2,"06/08/2023, 16:00:00"
216,"06/08/2023, 16:22:25",0.3.85,"06/08/2023, 16:30:00",109.000000,lumi.54ef44100065d68c,1,"06/08/2023, 16:00:00"
215,,0.3.85,"06/08/2023, 17:00:00",123.333333,lumi.54ef44100065d68c,3,"06/08/2023, 16:30:00"
214,"06/08/2023, 16:45:13",0.3.85,"06/08/2023, 17:00:00",132.000000,lumi.54ef44100065d68c,2,"06/08/2023, 16:30:00"
213,"06/08/2023, 16:57:14",0.3.85,"06/08/2023, 17:00:00",109.000000,lumi.54ef44100065d68c,1,"06/08/2023, 16:30:00"
212,,0.3.85,"06/08/2023, 17:30:00",110.333333,lumi.54ef44100065d68c,3,"06/08/2023, 17:00:00"
211,"06/08/2023, 17:24:26",0.3.85,"06/08/2023, 17:30:00",129.000000,lumi.54ef44100065d68c,2,"06/08/2023, 17:00:00"
210,"06/08/2023, 17:29:04",0.3.85,"06/08/2023, 17:30:00",73.000000,lumi.54ef44100065d68c,1,"06/08/2023, 17:00:00"
209,,0.3.85,"06/08/2023, 18:00:00",130.5,lumi.54ef44100065d68c,3,"06/08/2023, 17:30:00"
