,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
11,,3.1.85,"06/11/2023, 18:30:00","{""0"":3,""1"":3}",lumi.54ef4410003fd65f,4,"06/11/2023, 18:00:00"
10,,3.1.85,"06/12/2023, 13:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 13:00:00"
9,,3.1.85,"06/12/2023, 14:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 13:30:00"
8,,3.1.85,"06/12/2023, 15:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 15:00:00"
7,,3.1.85,"06/12/2023, 16:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 16:00:00"
6,,3.1.85,"06/12/2023, 17:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 17:00:00"
5,,3.1.85,"06/12/2023, 20:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 20:00:00"
4,,3.1.85,"06/12/2023, 21:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/12/2023, 20:30:00"
3,,3.1.85,"06/13/2023, 12:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/13/2023, 11:30:00"
2,,3.1.85,"06/13/2023, 13:30:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/13/2023, 13:00:00"
1,,3.1.85,"06/13/2023, 15:00:00","{""0"":1,""1"":1}",lumi.54ef4410003fd65f,4,"06/13/2023, 14:30:00"
0,,3.1.85,"06/13/2023, 19:00:00","{""1"":1}",lumi.54ef4410003fd65f,4,"06/13/2023, 18:30:00"
