,timeStamp,resourceId,value,subjectId
145,"10/13/2023, 19:53:09",3.1.85,1,lumi.54ef44100051aeba
144,"10/13/2023, 20:18:59",3.1.85,1,lumi.54ef44100051aeba
143,"10/13/2023, 20:19:59",3.1.85,1,lumi.54ef44100051aeba
142,"10/13/2023, 20:21:40",3.1.85,1,lumi.54ef44100051aeba
141,"10/13/2023, 20:25:36",3.1.85,1,lumi.54ef44100051aeba
140,"10/13/2023, 20:26:45",3.1.85,1,lumi.54ef44100051aeba
139,"10/13/2023, 20:44:30",3.1.85,1,lumi.54ef44100051aeba
138,"10/13/2023, 20:47:47",3.1.85,1,lumi.54ef44100051aeba
137,"10/13/2023, 21:40:02",3.1.85,1,lumi.54ef44100051aeba
136,"10/13/2023, 21:53:41",3.1.85,1,lumi.54ef44100051aeba
135,"10/13/2023, 22:23:56",3.1.85,1,lumi.54ef44100051aeba
134,"10/13/2023, 22:30:06",3.1.85,1,lumi.54ef44100051aeba
133,"10/13/2023, 22:33:52",3.1.85,1,lumi.54ef44100051aeba
132,"10/13/2023, 22:35:19",3.1.85,1,lumi.54ef44100051aeba
131,"10/13/2023, 22:36:48",3.1.85,1,lumi.54ef44100051aeba
130,"10/13/2023, 22:37:47",3.1.85,1,lumi.54ef44100051aeba
129,"10/13/2023, 22:38:54",3.1.85,1,lumi.54ef44100051aeba
128,"10/13/2023, 22:40:45",3.1.85,1,lumi.54ef44100051aeba
127,"10/13/2023, 22:42:15",3.1.85,1,lumi.54ef44100051aeba
126,"10/13/2023, 22:43:25",3.1.85,1,lumi.54ef44100051aeba
125,"10/13/2023, 22:45:16",3.1.85,1,lumi.54ef44100051aeba
124,"10/13/2023, 22:47:02",3.1.85,1,lumi.54ef44100051aeba
123,"10/13/2023, 22:54:59",3.1.85,1,lumi.54ef44100051aeba
122,"10/13/2023, 22:56:25",3.1.85,1,lumi.54ef44100051aeba
121,"10/13/2023, 22:59:50",3.1.85,1,lumi.54ef44100051aeba
120,"10/13/2023, 23:11:11",3.1.85,1,lumi.54ef44100051aeba
119,"10/13/2023, 23:12:34",3.1.85,1,lumi.54ef44100051aeba
118,"10/13/2023, 23:15:16",3.1.85,1,lumi.54ef44100051aeba
117,"10/13/2023, 23:23:52",3.1.85,1,lumi.54ef44100051aeba
116,"10/13/2023, 23:25:38",3.1.85,1,lumi.54ef44100051aeba
115,"10/13/2023, 23:26:47",3.1.85,1,lumi.54ef44100051aeba
114,"10/13/2023, 23:27:45",3.1.85,1,lumi.54ef44100051aeba
113,"10/13/2023, 23:28:59",3.1.85,1,lumi.54ef44100051aeba
112,"10/13/2023, 23:30:05",3.1.85,1,lumi.54ef44100051aeba
111,"10/13/2023, 23:31:09",3.1.85,1,lumi.54ef44100051aeba
110,"10/13/2023, 23:32:31",3.1.85,1,lumi.54ef44100051aeba
109,"10/13/2023, 23:33:30",3.1.85,1,lumi.54ef44100051aeba
108,"10/13/2023, 23:34:55",3.1.85,1,lumi.54ef44100051aeba
107,"10/13/2023, 23:36:15",3.1.85,1,lumi.54ef44100051aeba
106,"10/13/2023, 23:37:13",3.1.85,1,lumi.54ef44100051aeba
105,"10/13/2023, 23:39:40",3.1.85,1,lumi.54ef44100051aeba
104,"10/13/2023, 23:42:09",3.1.85,1,lumi.54ef44100051aeba
103,"10/13/2023, 23:43:13",3.1.85,1,lumi.54ef44100051aeba
102,"10/13/2023, 23:58:26",3.1.85,1,lumi.54ef44100051aeba
101,"10/14/2023, 00:14:08",3.1.85,1,lumi.54ef44100051aeba
100,"10/14/2023, 01:58:10",3.1.85,1,lumi.54ef44100051aeba
99,"10/14/2023, 01:59:37",3.1.85,1,lumi.54ef44100051aeba
98,"10/14/2023, 09:32:56",3.1.85,1,lumi.54ef44100051aeba
97,"10/14/2023, 09:35:15",3.1.85,1,lumi.54ef44100051aeba
96,"10/14/2023, 10:00:24",3.1.85,1,lumi.54ef44100051aeba
95,"10/14/2023, 10:04:01",3.1.85,1,lumi.54ef44100051aeba
94,"10/14/2023, 10:27:26",3.1.85,1,lumi.54ef44100051aeba
93,"10/14/2023, 10:28:47",3.1.85,1,lumi.54ef44100051aeba
92,"10/14/2023, 10:29:52",3.1.85,1,lumi.54ef44100051aeba
91,"10/14/2023, 10:41:40",3.1.85,1,lumi.54ef44100051aeba
90,"10/14/2023, 10:42:40",3.1.85,1,lumi.54ef44100051aeba
89,"10/14/2023, 10:56:26",3.1.85,1,lumi.54ef44100051aeba
88,"10/14/2023, 10:59:48",3.1.85,1,lumi.54ef44100051aeba
87,"10/14/2023, 11:01:45",3.1.85,1,lumi.54ef44100051aeba
86,"10/14/2023, 11:09:32",3.1.85,1,lumi.54ef44100051aeba
85,"10/14/2023, 11:10:32",3.1.85,1,lumi.54ef44100051aeba
84,"10/14/2023, 11:12:49",3.1.85,1,lumi.54ef44100051aeba
83,"10/14/2023, 11:14:36",3.1.85,1,lumi.54ef44100051aeba
82,"10/14/2023, 11:16:09",3.1.85,1,lumi.54ef44100051aeba
81,"10/14/2023, 11:30:35",3.1.85,1,lumi.54ef44100051aeba
80,"10/14/2023, 11:31:54",3.1.85,1,lumi.54ef44100051aeba
79,"10/14/2023, 11:33:21",3.1.85,1,lumi.54ef44100051aeba
78,"10/14/2023, 11:34:26",3.1.85,1,lumi.54ef44100051aeba
77,"10/14/2023, 11:38:52",3.1.85,1,lumi.54ef44100051aeba
76,"10/14/2023, 11:40:10",3.1.85,1,lumi.54ef44100051aeba
75,"10/14/2023, 12:19:01",3.1.85,1,lumi.54ef44100051aeba
74,"10/14/2023, 13:13:57",3.1.85,1,lumi.54ef44100051aeba
73,"10/14/2023, 13:17:51",3.1.85,1,lumi.54ef44100051aeba
72,"10/14/2023, 13:41:17",3.1.85,1,lumi.54ef44100051aeba
71,"10/14/2023, 13:58:24",3.1.85,1,lumi.54ef44100051aeba
70,"10/14/2023, 14:00:15",3.1.85,1,lumi.54ef44100051aeba
69,"10/14/2023, 14:10:16",3.1.85,1,lumi.54ef44100051aeba
68,"10/14/2023, 14:12:12",3.1.85,1,lumi.54ef44100051aeba
67,"10/14/2023, 14:22:21",3.1.85,1,lumi.54ef44100051aeba
66,"10/14/2023, 14:25:04",3.1.85,1,lumi.54ef44100051aeba
65,"10/14/2023, 14:53:53",3.1.85,1,lumi.54ef44100051aeba
64,"10/14/2023, 14:57:21",3.1.85,1,lumi.54ef44100051aeba
63,"10/14/2023, 14:59:27",3.1.85,1,lumi.54ef44100051aeba
62,"10/14/2023, 15:04:27",3.1.85,1,lumi.54ef44100051aeba
61,"10/14/2023, 15:06:32",3.1.85,1,lumi.54ef44100051aeba
60,"10/14/2023, 19:20:28",3.1.85,1,lumi.54ef44100051aeba
59,"10/14/2023, 19:30:12",3.1.85,1,lumi.54ef44100051aeba
58,"10/14/2023, 19:31:28",3.1.85,1,lumi.54ef44100051aeba
57,"10/14/2023, 19:32:26",3.1.85,1,lumi.54ef44100051aeba
56,"10/14/2023, 19:33:26",3.1.85,1,lumi.54ef44100051aeba
55,"10/14/2023, 19:34:44",3.1.85,1,lumi.54ef44100051aeba
54,"10/14/2023, 19:35:45",3.1.85,1,lumi.54ef44100051aeba
53,"10/14/2023, 19:37:34",3.1.85,1,lumi.54ef44100051aeba
52,"10/14/2023, 19:38:44",3.1.85,1,lumi.54ef44100051aeba
51,"10/14/2023, 19:39:42",3.1.85,1,lumi.54ef44100051aeba
50,"10/14/2023, 19:40:40",3.1.85,1,lumi.54ef44100051aeba
49,"10/14/2023, 19:41:42",3.1.85,1,lumi.54ef44100051aeba
48,"10/14/2023, 19:42:40",3.1.85,1,lumi.54ef44100051aeba
47,"10/14/2023, 19:43:48",3.1.85,1,lumi.54ef44100051aeba
46,"10/14/2023, 19:44:46",3.1.85,1,lumi.54ef44100051aeba
45,"10/14/2023, 19:45:50",3.1.85,1,lumi.54ef44100051aeba
44,"10/14/2023, 19:48:42",3.1.85,1,lumi.54ef44100051aeba
43,"10/14/2023, 19:50:04",3.1.85,1,lumi.54ef44100051aeba
42,"10/14/2023, 19:52:01",3.1.85,1,lumi.54ef44100051aeba
41,"10/14/2023, 19:52:59",3.1.85,1,lumi.54ef44100051aeba
40,"10/14/2023, 19:55:25",3.1.85,1,lumi.54ef44100051aeba
39,"10/14/2023, 19:56:36",3.1.85,1,lumi.54ef44100051aeba
38,"10/14/2023, 19:57:39",3.1.85,1,lumi.54ef44100051aeba
37,"10/14/2023, 19:58:37",3.1.85,1,lumi.54ef44100051aeba
36,"10/14/2023, 19:59:53",3.1.85,1,lumi.54ef44100051aeba
35,"10/14/2023, 20:02:19",3.1.85,1,lumi.54ef44100051aeba
34,"10/14/2023, 20:04:37",3.1.85,1,lumi.54ef44100051aeba
33,"10/14/2023, 20:05:39",3.1.85,1,lumi.54ef44100051aeba
32,"10/14/2023, 20:07:20",3.1.85,1,lumi.54ef44100051aeba
31,"10/14/2023, 20:10:03",3.1.85,1,lumi.54ef44100051aeba
30,"10/14/2023, 20:11:07",3.1.85,1,lumi.54ef44100051aeba
29,"10/14/2023, 20:14:40",3.1.85,1,lumi.54ef44100051aeba
28,"10/14/2023, 20:16:02",3.1.85,1,lumi.54ef44100051aeba
27,"10/14/2023, 20:17:19",3.1.85,1,lumi.54ef44100051aeba
26,"10/14/2023, 20:19:29",3.1.85,1,lumi.54ef44100051aeba
25,"10/14/2023, 20:34:31",3.1.85,1,lumi.54ef44100051aeba
24,"10/14/2023, 21:20:37",3.1.85,1,lumi.54ef44100051aeba
23,"10/14/2023, 21:22:02",3.1.85,1,lumi.54ef44100051aeba
22,"10/14/2023, 21:23:46",3.1.85,1,lumi.54ef44100051aeba
21,"10/14/2023, 21:25:23",3.1.85,1,lumi.54ef44100051aeba
20,"10/14/2023, 21:27:32",3.1.85,1,lumi.54ef44100051aeba
19,"10/14/2023, 21:30:28",3.1.85,1,lumi.54ef44100051aeba
18,"10/14/2023, 21:31:30",3.1.85,1,lumi.54ef44100051aeba
17,"10/14/2023, 21:32:45",3.1.85,1,lumi.54ef44100051aeba
16,"10/14/2023, 21:34:23",3.1.85,1,lumi.54ef44100051aeba
15,"10/14/2023, 21:35:53",3.1.85,1,lumi.54ef44100051aeba
14,"10/14/2023, 21:40:08",3.1.85,1,lumi.54ef44100051aeba
13,"10/14/2023, 21:41:54",3.1.85,1,lumi.54ef44100051aeba
12,"10/14/2023, 21:43:07",3.1.85,1,lumi.54ef44100051aeba
11,"10/14/2023, 21:46:00",3.1.85,1,lumi.54ef44100051aeba
10,"10/14/2023, 21:47:32",3.1.85,1,lumi.54ef44100051aeba
9,"10/14/2023, 21:48:46",3.1.85,1,lumi.54ef44100051aeba
