,timeStamp,resourceId,value,subjectId
239,"10/31/2023, 00:25:39",0.1.85,2617,lumi.54ef4410004b0f2b
238,"10/31/2023, 00:25:39",0.2.85,6787,lumi.54ef4410004b0f2b
237,"10/31/2023, 00:25:39",0.3.85,102300,lumi.54ef4410004b0f2b
236,"10/31/2023, 01:20:30",0.1.85,2603,lumi.54ef4410004b0f2b
235,"10/31/2023, 01:20:30",0.2.85,6932,lumi.54ef4410004b0f2b
234,"10/31/2023, 01:20:30",0.3.85,102300,lumi.54ef4410004b0f2b
233,"10/31/2023, 02:05:52",0.3.85,102400,lumi.54ef4410004b0f2b
232,"10/31/2023, 02:15:22",0.1.85,2600,lumi.54ef4410004b0f2b
231,"10/31/2023, 02:15:22",0.2.85,7022,lumi.54ef4410004b0f2b
230,"10/31/2023, 02:15:22",0.3.85,102300,lumi.54ef4410004b0f2b
229,"10/31/2023, 03:10:13",0.1.85,2617,lumi.54ef4410004b0f2b
228,"10/31/2023, 03:10:13",0.2.85,6829,lumi.54ef4410004b0f2b
227,"10/31/2023, 03:10:13",0.3.85,102300,lumi.54ef4410004b0f2b
226,"10/31/2023, 03:28:32",0.3.85,102370,lumi.54ef4410004b0f2b
225,"10/31/2023, 04:05:05",0.1.85,2594,lumi.54ef4410004b0f2b
224,"10/31/2023, 04:05:05",0.2.85,7023,lumi.54ef4410004b0f2b
223,"10/31/2023, 04:05:05",0.3.85,102300,lumi.54ef4410004b0f2b
222,"10/31/2023, 04:26:29",0.3.85,102340,lumi.54ef4410004b0f2b
221,"10/31/2023, 04:59:56",0.1.85,2607,lumi.54ef4410004b0f2b
220,"10/31/2023, 04:59:56",0.2.85,6933,lumi.54ef4410004b0f2b
219,"10/31/2023, 04:59:56",0.3.85,102300,lumi.54ef4410004b0f2b
218,"10/31/2023, 05:16:36",0.3.85,102370,lumi.54ef4410004b0f2b
217,"10/31/2023, 05:54:47",0.1.85,2594,lumi.54ef4410004b0f2b
216,"10/31/2023, 05:54:47",0.2.85,6935,lumi.54ef4410004b0f2b
215,"10/31/2023, 05:54:47",0.3.85,102300,lumi.54ef4410004b0f2b
214,"10/31/2023, 06:49:39",0.1.85,2600,lumi.54ef4410004b0f2b
213,"10/31/2023, 06:49:39",0.2.85,6931,lumi.54ef4410004b0f2b
212,"10/31/2023, 06:49:39",0.3.85,102300,lumi.54ef4410004b0f2b
211,"10/31/2023, 06:53:42",0.3.85,102400,lumi.54ef4410004b0f2b
210,"10/31/2023, 07:29:42",0.3.85,102430,lumi.54ef4410004b0f2b
209,"10/31/2023, 07:32:04",0.2.85,7114,lumi.54ef4410004b0f2b
208,"10/31/2023, 07:44:30",0.1.85,2592,lumi.54ef4410004b0f2b
207,"10/31/2023, 07:44:30",0.2.85,6847,lumi.54ef4410004b0f2b
206,"10/31/2023, 07:44:30",0.3.85,102400,lumi.54ef4410004b0f2b
205,"10/31/2023, 08:22:00",0.3.85,102460,lumi.54ef4410004b0f2b
204,"10/31/2023, 08:28:45",0.1.85,2566,lumi.54ef4410004b0f2b
203,"10/31/2023, 08:39:21",0.1.85,2600,lumi.54ef4410004b0f2b
202,"10/31/2023, 08:39:21",0.2.85,7065,lumi.54ef4410004b0f2b
201,"10/31/2023, 08:39:21",0.3.85,102400,lumi.54ef4410004b0f2b
200,"10/31/2023, 08:55:50",0.1.85,2617,lumi.54ef4410004b0f2b
199,"10/31/2023, 09:24:32",0.3.85,102430,lumi.54ef4410004b0f2b
198,"10/31/2023, 09:34:13",0.1.85,2613,lumi.54ef4410004b0f2b
197,"10/31/2023, 09:34:13",0.2.85,6887,lumi.54ef4410004b0f2b
196,"10/31/2023, 09:34:13",0.3.85,102400,lumi.54ef4410004b0f2b
195,"10/31/2023, 09:35:43",0.3.85,102460,lumi.54ef4410004b0f2b
194,"10/31/2023, 09:39:44",0.2.85,6512,lumi.54ef4410004b0f2b
193,"10/31/2023, 09:47:35",0.3.85,102430,lumi.54ef4410004b0f2b
