,timeStamp,resourceId,value,subjectId
60,"12/22/2023, 00:05:31",0.3.85,164,lumi.54ef44100065d68c
59,"12/22/2023, 00:05:36",0.3.85,135,lumi.54ef44100065d68c
58,"12/22/2023, 00:05:41",0.3.85,186,lumi.54ef44100065d68c
57,"12/22/2023, 00:06:46",0.3.85,139,lumi.54ef44100065d68c
56,"12/22/2023, 00:06:51",0.3.85,186,lumi.54ef44100065d68c
55,"12/22/2023, 00:23:42",0.3.85,0,lumi.54ef44100065d68c
54,"12/22/2023, 00:24:12",0.3.85,205,lumi.54ef44100065d68c
53,"12/22/2023, 00:27:50",0.3.85,197,lumi.54ef44100065d68c
52,"12/22/2023, 00:31:16",0.3.85,81,lumi.54ef44100065d68c
51,"12/22/2023, 00:31:21",0.3.85,173,lumi.54ef44100065d68c
50,"12/22/2023, 00:32:10",0.3.85,207,lumi.54ef44100065d68c
49,"12/22/2023, 00:32:20",0.3.85,173,lumi.54ef44100065d68c
48,"12/22/2023, 00:36:48",0.3.85,204,lumi.54ef44100065d68c
47,"12/22/2023, 00:38:07",0.3.85,155,lumi.54ef44100065d68c
46,"12/22/2023, 00:38:12",0.3.85,72,lumi.54ef44100065d68c
45,"12/22/2023, 00:38:17",0.3.85,112,lumi.54ef44100065d68c
44,"12/22/2023, 00:38:22",0.3.85,145,lumi.54ef44100065d68c
43,"12/22/2023, 00:38:27",0.3.85,176,lumi.54ef44100065d68c
42,"12/22/2023, 00:41:45",0.3.85,232,lumi.54ef44100065d68c
41,"12/22/2023, 00:53:10",0.3.85,178,lumi.54ef44100065d68c
40,"12/22/2023, 00:53:15",0.3.85,117,lumi.54ef44100065d68c
39,"12/22/2023, 00:53:20",0.3.85,207,lumi.54ef44100065d68c
38,"12/22/2023, 00:53:49",0.3.85,117,lumi.54ef44100065d68c
37,"12/22/2023, 00:53:54",0.3.85,150,lumi.54ef44100065d68c
36,"12/22/2023, 00:53:59",0.3.85,220,lumi.54ef44100065d68c
35,"12/22/2023, 01:01:26",0.3.85,182,lumi.54ef44100065d68c
34,"12/22/2023, 01:04:14",0.3.85,0,lumi.54ef44100065d68c
33,"12/22/2023, 01:07:57",0.3.85,44,lumi.54ef44100065d68c
32,"12/22/2023, 01:08:02",0.3.85,0,lumi.54ef44100065d68c
31,"12/22/2023, 01:22:25",0.3.85,0,lumi.54ef44100065d68c
30,"12/22/2023, 02:17:00",0.3.85,0,lumi.54ef44100065d68c
29,"12/22/2023, 03:11:35",0.3.85,0,lumi.54ef44100065d68c
28,"12/22/2023, 04:06:10",0.3.85,0,lumi.54ef44100065d68c
27,"12/22/2023, 05:00:46",0.3.85,0,lumi.54ef44100065d68c
26,"12/22/2023, 05:55:21",0.3.85,0,lumi.54ef44100065d68c
25,"12/22/2023, 06:49:56",0.3.85,0,lumi.54ef44100065d68c
24,"12/22/2023, 07:44:31",0.3.85,0,lumi.54ef44100065d68c
23,"12/22/2023, 08:08:46",0.3.85,6,lumi.54ef44100065d68c
22,"12/22/2023, 08:39:06",0.3.85,11,lumi.54ef44100065d68c
21,"12/22/2023, 08:55:11",0.3.85,13,lumi.54ef44100065d68c
20,"12/22/2023, 09:33:42",0.3.85,17,lumi.54ef44100065d68c
19,"12/22/2023, 10:28:17",0.3.85,20,lumi.54ef44100065d68c
18,"12/22/2023, 10:37:00",0.3.85,20,lumi.54ef44100065d68c
17,"12/22/2023, 11:19:25",0.3.85,13,lumi.54ef44100065d68c
16,"12/22/2023, 11:22:53",0.3.85,16,lumi.54ef44100065d68c
15,"12/22/2023, 11:37:48",0.3.85,37,lumi.54ef44100065d68c
14,"12/22/2023, 11:37:58",0.3.85,14,lumi.54ef44100065d68c
13,"12/22/2023, 11:38:03",0.3.85,184,lumi.54ef44100065d68c
12,"12/22/2023, 11:38:08",0.3.85,219,lumi.54ef44100065d68c
11,"12/22/2023, 11:38:52",0.3.85,87,lumi.54ef44100065d68c
10,"12/22/2023, 11:38:57",0.3.85,52,lumi.54ef44100065d68c
9,"12/22/2023, 11:39:02",0.3.85,125,lumi.54ef44100065d68c
8,"12/22/2023, 11:39:07",0.3.85,196,lumi.54ef44100065d68c
7,"12/22/2023, 11:40:47",0.3.85,97,lumi.54ef44100065d68c
6,"12/22/2023, 11:40:51",0.3.85,64,lumi.54ef44100065d68c
5,"12/22/2023, 11:40:56",0.3.85,115,lumi.54ef44100065d68c
4,"12/22/2023, 11:41:01",0.3.85,172,lumi.54ef44100065d68c
3,"12/22/2023, 11:41:11",0.3.85,136,lumi.54ef44100065d68c
2,"12/22/2023, 11:41:16",0.3.85,71,lumi.54ef44100065d68c
1,"12/22/2023, 11:41:21",0.3.85,132,lumi.54ef44100065d68c
0,"12/22/2023, 11:41:26",0.3.85,215,lumi.54ef44100065d68c
