,timeStamp,resourceId,value,subjectId
9,"12/30/2023, 13:37:37",13.1.85,1,lumi.158d0008f34f9b
8,"12/30/2023, 13:37:38",13.1.85,2,lumi.158d0008f34f9b
7,"12/30/2023, 15:06:35",13.1.85,1,lumi.158d0008f34f9b
6,"12/30/2023, 15:06:47",13.1.85,2,lumi.158d0008f34f9b
5,"12/30/2023, 15:07:32",13.1.85,1,lumi.158d0008f34f9b
4,"12/30/2023, 15:08:30",13.1.85,1,lumi.158d0008f34f9b
3,"12/30/2023, 15:09:14",13.1.85,2,lumi.158d0008f34f9b
2,"12/30/2023, 15:09:23",13.1.85,2,lumi.158d0008f34f9b
1,"12/30/2023, 15:09:49",13.1.85,1,lumi.158d0008f34f9b
0,"12/30/2023, 15:09:58",13.1.85,2,lumi.158d0008f34f9b
