,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
10,,13.1.85,"05/15/2023, 01:30:00","{""1"":1}",lumi.158d0008f3427d,4,"05/15/2023, 01:00:00"
9,,13.1.85,"05/15/2023, 08:30:00","{""1"":1}",lumi.158d0008f3427d,4,"05/15/2023, 08:00:00"
8,,13.1.85,"05/16/2023, 08:30:00","{""1"":2}",lumi.158d0008f3427d,4,"05/16/2023, 08:00:00"
7,,13.1.85,"05/16/2023, 09:30:00","{""1"":3}",lumi.158d0008f3427d,4,"05/16/2023, 09:00:00"
6,,13.1.85,"05/16/2023, 19:30:00","{""1"":1}",lumi.158d0008f3427d,4,"05/16/2023, 19:00:00"
5,,13.1.85,"05/16/2023, 20:00:00","{""1"":2}",lumi.158d0008f3427d,4,"05/16/2023, 19:30:00"
4,,13.1.85,"05/16/2023, 23:00:00","{""1"":1}",lumi.158d0008f3427d,4,"05/16/2023, 22:30:00"
3,,13.1.85,"05/16/2023, 23:30:00","{""1"":1}",lumi.158d0008f3427d,4,"05/16/2023, 23:00:00"
2,,13.1.85,"05/17/2023, 09:00:00","{""1"":1}",lumi.158d0008f3427d,4,"05/17/2023, 08:30:00"
1,,13.1.85,"05/17/2023, 23:00:00","{""1"":4,""2"":3}",lumi.158d0008f3427d,4,"05/17/2023, 22:30:00"
0,,13.1.85,"05/17/2023, 23:30:00","{""1"":1}",lumi.158d0008f3427d,4,"05/17/2023, 23:00:00"
