,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
287,,0.2.85,"05/15/2023, 00:30:00",4072.0,lumi.54ef4410004b2218,3,"05/15/2023, 00:00:00"
286,,0.3.85,"05/15/2023, 00:30:00",100645.0,lumi.54ef4410004b2218,3,"05/15/2023, 00:00:00"
285,,0.1.85,"05/15/2023, 00:30:00",2742.0,lumi.54ef4410004b2218,3,"05/15/2023, 00:00:00"
284,"05/15/2023, 00:21:42",0.3.85,"05/15/2023, 00:30:00",100690.000000,lumi.54ef4410004b2218,2,"05/15/2023, 00:00:00"
283,"05/15/2023, 00:18:13",0.1.85,"05/15/2023, 00:30:00",2742.000000,lumi.54ef4410004b2218,2,"05/15/2023, 00:00:00"
282,"05/15/2023, 00:18:13",0.2.85,"05/15/2023, 00:30:00",4072.000000,lumi.54ef4410004b2218,2,"05/15/2023, 00:00:00"
281,"05/15/2023, 00:18:13",0.2.85,"05/15/2023, 00:30:00",4072.000000,lumi.54ef4410004b2218,1,"05/15/2023, 00:00:00"
280,"05/15/2023, 00:18:13",0.1.85,"05/15/2023, 00:30:00",2742.000000,lumi.54ef4410004b2218,1,"05/15/2023, 00:00:00"
279,"05/15/2023, 00:18:13",0.3.85,"05/15/2023, 00:30:00",100600.000000,lumi.54ef4410004b2218,1,"05/15/2023, 00:00:00"
278,,0.2.85,"05/15/2023, 01:30:00",4334.0,lumi.54ef4410004b2218,3,"05/15/2023, 01:00:00"
277,,0.3.85,"05/15/2023, 01:30:00",100600.0,lumi.54ef4410004b2218,3,"05/15/2023, 01:00:00"
276,,0.1.85,"05/15/2023, 01:30:00",2763.0,lumi.54ef4410004b2218,3,"05/15/2023, 01:00:00"
275,"05/15/2023, 01:12:54",0.3.85,"05/15/2023, 01:30:00",100600.000000,lumi.54ef4410004b2218,2,"05/15/2023, 01:00:00"
274,"05/15/2023, 01:12:54",0.1.85,"05/15/2023, 01:30:00",2763.000000,lumi.54ef4410004b2218,2,"05/15/2023, 01:00:00"
273,"05/15/2023, 01:12:54",0.2.85,"05/15/2023, 01:30:00",4334.000000,lumi.54ef4410004b2218,2,"05/15/2023, 01:00:00"
272,"05/15/2023, 01:12:54",0.2.85,"05/15/2023, 01:30:00",4334.000000,lumi.54ef4410004b2218,1,"05/15/2023, 01:00:00"
271,"05/15/2023, 01:12:54",0.1.85,"05/15/2023, 01:30:00",2763.000000,lumi.54ef4410004b2218,1,"05/15/2023, 01:00:00"
270,"05/15/2023, 01:12:54",0.3.85,"05/15/2023, 01:30:00",100600.000000,lumi.54ef4410004b2218,1,"05/15/2023, 01:00:00"
269,,0.3.85,"05/15/2023, 02:00:00",100660.0,lumi.54ef4410004b2218,3,"05/15/2023, 01:30:00"
268,"05/15/2023, 01:53:01",0.3.85,"05/15/2023, 02:00:00",100660.000000,lumi.54ef4410004b2218,2,"05/15/2023, 01:30:00"
267,"05/15/2023, 01:53:01",0.3.85,"05/15/2023, 02:00:00",100660.000000,lumi.54ef4410004b2218,1,"05/15/2023, 01:30:00"
266,,0.2.85,"05/15/2023, 02:30:00",4263.0,lumi.54ef4410004b2218,3,"05/15/2023, 02:00:00"
265,,0.3.85,"05/15/2023, 02:30:00",100615.0,lumi.54ef4410004b2218,3,"05/15/2023, 02:00:00"
264,,0.1.85,"05/15/2023, 02:30:00",2724.0,lumi.54ef4410004b2218,3,"05/15/2023, 02:00:00"
263,"05/15/2023, 02:23:18",0.3.85,"05/15/2023, 02:30:00",100630.000000,lumi.54ef4410004b2218,2,"05/15/2023, 02:00:00"
262,"05/15/2023, 02:07:36",0.1.85,"05/15/2023, 02:30:00",2724.000000,lumi.54ef4410004b2218,2,"05/15/2023, 02:00:00"
261,"05/15/2023, 02:07:36",0.2.85,"05/15/2023, 02:30:00",4263.000000,lumi.54ef4410004b2218,2,"05/15/2023, 02:00:00"
260,"05/15/2023, 02:07:36",0.2.85,"05/15/2023, 02:30:00",4263.000000,lumi.54ef4410004b2218,1,"05/15/2023, 02:00:00"
259,"05/15/2023, 02:07:36",0.1.85,"05/15/2023, 02:30:00",2724.000000,lumi.54ef4410004b2218,1,"05/15/2023, 02:00:00"
258,"05/15/2023, 02:07:36",0.3.85,"05/15/2023, 02:30:00",100600.000000,lumi.54ef4410004b2218,1,"05/15/2023, 02:00:00"
257,,0.1.85,"05/15/2023, 03:00:00",2694.0,lumi.54ef4410004b2218,3,"05/15/2023, 02:30:00"
256,"05/15/2023, 02:48:27",0.1.85,"05/15/2023, 03:00:00",2694.000000,lumi.54ef4410004b2218,2,"05/15/2023, 02:30:00"
255,"05/15/2023, 02:48:27",0.1.85,"05/15/2023, 03:00:00",2694.000000,lumi.54ef4410004b2218,1,"05/15/2023, 02:30:00"
254,,0.2.85,"05/15/2023, 03:30:00",4179.0,lumi.54ef4410004b2218,3,"05/15/2023, 03:00:00"
253,,0.3.85,"05/15/2023, 03:30:00",100600.0,lumi.54ef4410004b2218,3,"05/15/2023, 03:00:00"
252,,0.1.85,"05/15/2023, 03:30:00",2694.0,lumi.54ef4410004b2218,3,"05/15/2023, 03:00:00"
251,"05/15/2023, 03:02:18",0.3.85,"05/15/2023, 03:30:00",100600.000000,lumi.54ef4410004b2218,2,"05/15/2023, 03:00:00"
250,"05/15/2023, 03:02:18",0.1.85,"05/15/2023, 03:30:00",2694.000000,lumi.54ef4410004b2218,2,"05/15/2023, 03:00:00"
249,"05/15/2023, 03:02:18",0.2.85,"05/15/2023, 03:30:00",4179.000000,lumi.54ef4410004b2218,2,"05/15/2023, 03:00:00"
248,"05/15/2023, 03:02:18",0.2.85,"05/15/2023, 03:30:00",4179.000000,lumi.54ef4410004b2218,1,"05/15/2023, 03:00:00"
247,"05/15/2023, 03:02:18",0.1.85,"05/15/2023, 03:30:00",2694.000000,lumi.54ef4410004b2218,1,"05/15/2023, 03:00:00"
246,"05/15/2023, 03:02:18",0.3.85,"05/15/2023, 03:30:00",100600.000000,lumi.54ef4410004b2218,1,"05/15/2023, 03:00:00"
245,,0.2.85,"05/15/2023, 04:00:00",4175.0,lumi.54ef4410004b2218,3,"05/15/2023, 03:30:00"
244,,0.3.85,"05/15/2023, 04:00:00",100630.0,lumi.54ef4410004b2218,3,"05/15/2023, 03:30:00"
243,,0.1.85,"05/15/2023, 04:00:00",2670.0,lumi.54ef4410004b2218,3,"05/15/2023, 03:30:00"
242,"05/15/2023, 03:49:31",0.3.85,"05/15/2023, 04:00:00",100660.000000,lumi.54ef4410004b2218,2,"05/15/2023, 03:30:00"
