,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
299,,0.3.85,"08/13/2023, 07:30:00",220.0,lumi.54ef44100065d1d1,3,"08/13/2023, 07:00:00"
298,"08/13/2023, 07:26:44",0.3.85,"08/13/2023, 07:30:00",238.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 07:00:00"
297,"08/13/2023, 07:09:49",0.3.85,"08/13/2023, 07:30:00",202.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 07:00:00"
296,,0.3.85,"08/13/2023, 08:00:00",307.666667,lumi.54ef44100065d1d1,3,"08/13/2023, 07:30:00"
295,"08/13/2023, 07:55:02",0.3.85,"08/13/2023, 08:00:00",331.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 07:30:00"
294,"08/13/2023, 07:41:49",0.3.85,"08/13/2023, 08:00:00",281.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 07:30:00"
293,,0.3.85,"08/13/2023, 08:30:00",390.0,lumi.54ef44100065d1d1,3,"08/13/2023, 08:00:00"
292,"08/13/2023, 08:28:37",0.3.85,"08/13/2023, 08:30:00",390.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 08:00:00"
291,"08/13/2023, 08:28:37",0.3.85,"08/13/2023, 08:30:00",390.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 08:00:00"
290,,0.3.85,"08/13/2023, 09:00:00",408.0,lumi.54ef44100065d1d1,3,"08/13/2023, 08:30:00"
289,"08/13/2023, 08:44:32",0.3.85,"08/13/2023, 09:00:00",408.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 08:30:00"
288,"08/13/2023, 08:44:32",0.3.85,"08/13/2023, 09:00:00",408.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 08:30:00"
287,,0.3.85,"08/13/2023, 09:30:00",487.5,lumi.54ef44100065d1d1,3,"08/13/2023, 09:00:00"
286,"08/13/2023, 09:26:31",0.3.85,"08/13/2023, 09:30:00",516.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 09:00:00"
285,"08/13/2023, 09:05:38",0.3.85,"08/13/2023, 09:30:00",459.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 09:00:00"
284,,0.3.85,"08/13/2023, 10:00:00",673.6,lumi.54ef44100065d1d1,3,"08/13/2023, 09:30:00"
283,"08/13/2023, 09:55:34",0.3.85,"08/13/2023, 10:00:00",844.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 09:30:00"
282,"08/13/2023, 09:39:17",0.3.85,"08/13/2023, 10:00:00",555.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 09:30:00"
281,,0.3.85,"08/13/2023, 10:30:00",775.875,lumi.54ef44100065d1d1,3,"08/13/2023, 10:00:00"
280,"08/13/2023, 10:06:46",0.3.85,"08/13/2023, 10:30:00",891.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 10:00:00"
279,"08/13/2023, 10:22:21",0.3.85,"08/13/2023, 10:30:00",696.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 10:00:00"
278,,0.3.85,"08/13/2023, 11:00:00",671.857143,lumi.54ef44100065d1d1,3,"08/13/2023, 10:30:00"
277,"08/13/2023, 10:54:43",0.3.85,"08/13/2023, 11:00:00",882.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 10:30:00"
276,"08/13/2023, 10:35:39",0.3.85,"08/13/2023, 11:00:00",548.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 10:30:00"
275,,0.3.85,"08/13/2023, 11:30:00",795.4,lumi.54ef44100065d1d1,3,"08/13/2023, 11:00:00"
274,"08/13/2023, 11:00:51",0.3.85,"08/13/2023, 11:30:00",993.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 11:00:00"
273,"08/13/2023, 11:28:48",0.3.85,"08/13/2023, 11:30:00",633.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 11:00:00"
272,,0.3.85,"08/13/2023, 12:00:00",760.5,lumi.54ef44100065d1d1,3,"08/13/2023, 11:30:00"
271,"08/13/2023, 11:53:47",0.3.85,"08/13/2023, 12:00:00",1034.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 11:30:00"
270,"08/13/2023, 11:35:48",0.3.85,"08/13/2023, 12:00:00",536.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 11:30:00"
269,,0.3.85,"08/13/2023, 12:30:00",899.0,lumi.54ef44100065d1d1,3,"08/13/2023, 12:00:00"
268,"08/13/2023, 12:23:33",0.3.85,"08/13/2023, 12:30:00",899.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 12:00:00"
267,"08/13/2023, 12:23:33",0.3.85,"08/13/2023, 12:30:00",899.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 12:00:00"
266,,0.3.85,"08/13/2023, 13:00:00",644.9,lumi.54ef44100065d1d1,3,"08/13/2023, 12:30:00"
265,"08/13/2023, 12:44:18",0.3.85,"08/13/2023, 13:00:00",859.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 12:30:00"
264,"08/13/2023, 12:49:07",0.3.85,"08/13/2023, 13:00:00",181.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 12:30:00"
263,,0.3.85,"08/13/2023, 13:30:00",938.5,lumi.54ef44100065d1d1,3,"08/13/2023, 13:00:00"
262,"08/13/2023, 13:18:08",0.3.85,"08/13/2023, 13:30:00",1066.000000,lumi.54ef44100065d1d1,2,"08/13/2023, 13:00:00"
261,"08/13/2023, 13:28:57",0.3.85,"08/13/2023, 13:30:00",830.000000,lumi.54ef44100065d1d1,1,"08/13/2023, 13:00:00"
260,,0.3.85,"08/13/2023, 14:00:00",838.666667,lumi.54ef44100065d1d1,3,"08/13/2023, 13:30:00"
