,timeStamp,resourceId,value,subjectId
96,"09/27/2023, 12:14:35",0.3.85,393,lumi.54ef44100065d1d1
95,"09/27/2023, 12:18:59",0.3.85,448,lumi.54ef44100065d1d1
94,"09/27/2023, 12:27:18",0.3.85,464,lumi.54ef44100065d1d1
93,"09/27/2023, 12:28:53",0.3.85,527,lumi.54ef44100065d1d1
92,"09/27/2023, 12:36:41",0.3.85,603,lumi.54ef44100065d1d1
91,"09/27/2023, 12:44:54",0.3.85,681,lumi.54ef44100065d1d1
90,"09/27/2023, 12:46:58",0.3.85,769,lumi.54ef44100065d1d1
89,"09/27/2023, 12:48:08",0.3.85,649,lumi.54ef44100065d1d1
88,"09/27/2023, 12:55:31",0.3.85,576,lumi.54ef44100065d1d1
87,"09/27/2023, 13:03:23",0.3.85,511,lumi.54ef44100065d1d1
86,"09/27/2023, 13:05:43",0.3.85,434,lumi.54ef44100065d1d1
85,"09/27/2023, 13:11:31",0.3.85,503,lumi.54ef44100065d1d1
84,"09/27/2023, 13:13:45",0.3.85,510,lumi.54ef44100065d1d1
83,"09/27/2023, 13:30:18",0.3.85,423,lumi.54ef44100065d1d1
82,"09/27/2023, 13:37:21",0.3.85,504,lumi.54ef44100065d1d1
81,"09/27/2023, 13:39:00",0.3.85,570,lumi.54ef44100065d1d1
80,"09/27/2023, 13:39:20",0.3.85,504,lumi.54ef44100065d1d1
79,"09/27/2023, 13:46:08",0.3.85,427,lumi.54ef44100065d1d1
78,"09/27/2023, 13:57:20",0.3.85,503,lumi.54ef44100065d1d1
77,"09/27/2023, 14:06:12",0.3.85,427,lumi.54ef44100065d1d1
76,"09/27/2023, 14:08:32",0.3.85,414,lumi.54ef44100065d1d1
75,"09/27/2023, 14:10:08",0.3.85,360,lumi.54ef44100065d1d1
74,"09/27/2023, 14:15:27",0.3.85,304,lumi.54ef44100065d1d1
73,"09/27/2023, 14:21:35",0.3.85,257,lumi.54ef44100065d1d1
72,"09/27/2023, 14:38:10",0.3.85,303,lumi.54ef44100065d1d1
71,"09/27/2023, 14:39:35",0.3.85,359,lumi.54ef44100065d1d1
70,"09/27/2023, 15:03:18",0.3.85,331,lumi.54ef44100065d1d1
69,"09/27/2023, 15:10:43",0.3.85,304,lumi.54ef44100065d1d1
68,"09/27/2023, 15:18:01",0.3.85,258,lumi.54ef44100065d1d1
67,"09/27/2023, 15:30:52",0.3.85,219,lumi.54ef44100065d1d1
