,timeStamp,resourceId,value,subjectId
88,"10/24/2023, 00:28:03",0.3.85,0,lumi.54ef44100065d1d1
87,"10/24/2023, 02:17:35",0.3.85,0,lumi.54ef44100065d1d1
86,"10/24/2023, 03:12:21",0.3.85,0,lumi.54ef44100065d1d1
85,"10/24/2023, 04:07:07",0.3.85,0,lumi.54ef44100065d1d1
84,"10/24/2023, 04:27:52",0.3.85,44,lumi.54ef44100065d1d1
83,"10/24/2023, 04:27:57",0.3.85,179,lumi.54ef44100065d1d1
82,"10/24/2023, 04:48:06",0.3.85,147,lumi.54ef44100065d1d1
81,"10/24/2023, 04:48:16",0.3.85,38,lumi.54ef44100065d1d1
80,"10/24/2023, 04:48:21",0.3.85,124,lumi.54ef44100065d1d1
79,"10/24/2023, 04:48:26",0.3.85,149,lumi.54ef44100065d1d1
78,"10/24/2023, 04:55:59",0.3.85,0,lumi.54ef44100065d1d1
77,"10/24/2023, 05:56:38",0.3.85,0,lumi.54ef44100065d1d1
76,"10/24/2023, 06:35:04",0.3.85,16,lumi.54ef44100065d1d1
75,"10/24/2023, 06:35:09",0.3.85,1,lumi.54ef44100065d1d1
74,"10/24/2023, 06:46:16",0.3.85,8,lumi.54ef44100065d1d1
73,"10/24/2023, 06:51:24",0.3.85,14,lumi.54ef44100065d1d1
72,"10/24/2023, 06:52:26",0.3.85,15,lumi.54ef44100065d1d1
71,"10/24/2023, 06:56:44",0.3.85,22,lumi.54ef44100065d1d1
70,"10/24/2023, 07:00:58",0.3.85,29,lumi.54ef44100065d1d1
69,"10/24/2023, 07:05:37",0.3.85,36,lumi.54ef44100065d1d1
68,"10/24/2023, 07:10:15",0.3.85,43,lumi.54ef44100065d1d1
67,"10/24/2023, 07:14:39",0.3.85,51,lumi.54ef44100065d1d1
66,"10/24/2023, 07:20:42",0.3.85,61,lumi.54ef44100065d1d1
65,"10/24/2023, 07:26:41",0.3.85,72,lumi.54ef44100065d1d1
64,"10/24/2023, 07:30:25",0.3.85,85,lumi.54ef44100065d1d1
63,"10/24/2023, 07:33:54",0.3.85,101,lumi.54ef44100065d1d1
62,"10/24/2023, 07:36:18",0.3.85,119,lumi.54ef44100065d1d1
61,"10/24/2023, 07:39:57",0.3.85,141,lumi.54ef44100065d1d1
60,"10/24/2023, 07:46:10",0.3.85,167,lumi.54ef44100065d1d1
59,"10/24/2023, 07:46:27",0.3.85,167,lumi.54ef44100065d1d1
58,"10/24/2023, 07:57:34",0.3.85,141,lumi.54ef44100065d1d1
57,"10/24/2023, 07:59:23",0.3.85,118,lumi.54ef44100065d1d1
56,"10/24/2023, 08:06:31",0.3.85,100,lumi.54ef44100065d1d1
55,"10/24/2023, 08:20:02",0.3.85,118,lumi.54ef44100065d1d1
54,"10/24/2023, 08:22:51",0.3.85,140,lumi.54ef44100065d1d1
53,"10/24/2023, 08:23:56",0.3.85,165,lumi.54ef44100065d1d1
52,"10/24/2023, 08:25:11",0.3.85,196,lumi.54ef44100065d1d1
51,"10/24/2023, 08:28:15",0.3.85,231,lumi.54ef44100065d1d1
50,"10/24/2023, 08:32:53",0.3.85,192,lumi.54ef44100065d1d1
49,"10/24/2023, 08:33:28",0.3.85,163,lumi.54ef44100065d1d1
48,"10/24/2023, 08:37:37",0.3.85,193,lumi.54ef44100065d1d1
47,"10/24/2023, 08:40:56",0.3.85,228,lumi.54ef44100065d1d1
46,"10/24/2023, 08:41:03",0.3.85,232,lumi.54ef44100065d1d1
45,"10/24/2023, 08:43:27",0.3.85,274,lumi.54ef44100065d1d1
44,"10/24/2023, 08:57:18",0.3.85,323,lumi.54ef44100065d1d1
43,"10/24/2023, 09:25:15",0.3.85,176,lumi.54ef44100065d1d1
42,"10/24/2023, 09:25:25",0.3.85,337,lumi.54ef44100065d1d1
41,"10/24/2023, 09:32:48",0.3.85,283,lumi.54ef44100065d1d1
40,"10/24/2023, 09:33:27",0.3.85,365,lumi.54ef44100065d1d1
39,"10/24/2023, 09:35:42",0.3.85,338,lumi.54ef44100065d1d1
38,"10/24/2023, 09:59:42",0.3.85,430,lumi.54ef44100065d1d1
37,"10/24/2023, 10:10:19",0.3.85,501,lumi.54ef44100065d1d1
36,"10/24/2023, 10:15:02",0.3.85,566,lumi.54ef44100065d1d1
35,"10/24/2023, 10:16:37",0.3.85,502,lumi.54ef44100065d1d1
