,timeStamp,resourceId,value,subjectId
218,"11/08/2023, 00:02:05",3.1.85,1,lumi.54ef44100051ac4a
217,"11/08/2023, 00:14:39",3.1.85,1,lumi.54ef44100051ac4a
216,"11/08/2023, 00:15:41",3.1.85,1,lumi.54ef44100051ac4a
215,"11/08/2023, 00:16:47",3.1.85,1,lumi.54ef44100051ac4a
214,"11/08/2023, 00:17:45",3.1.85,1,lumi.54ef44100051ac4a
213,"11/08/2023, 00:18:43",3.1.85,1,lumi.54ef44100051ac4a
212,"11/08/2023, 00:19:42",3.1.85,1,lumi.54ef44100051ac4a
211,"11/08/2023, 00:20:40",3.1.85,1,lumi.54ef44100051ac4a
210,"11/08/2023, 00:21:38",3.1.85,1,lumi.54ef44100051ac4a
209,"11/08/2023, 00:22:39",3.1.85,1,lumi.54ef44100051ac4a
208,"11/08/2023, 00:23:58",3.1.85,1,lumi.54ef44100051ac4a
207,"11/08/2023, 00:26:50",3.1.85,1,lumi.54ef44100051ac4a
206,"11/08/2023, 00:28:00",3.1.85,1,lumi.54ef44100051ac4a
205,"11/08/2023, 00:29:04",3.1.85,1,lumi.54ef44100051ac4a
204,"11/08/2023, 00:30:52",3.1.85,1,lumi.54ef44100051ac4a
203,"11/08/2023, 00:32:07",3.1.85,1,lumi.54ef44100051ac4a
202,"11/08/2023, 00:34:21",3.1.85,1,lumi.54ef44100051ac4a
201,"11/08/2023, 00:35:24",3.1.85,1,lumi.54ef44100051ac4a
200,"11/08/2023, 00:36:22",3.1.85,1,lumi.54ef44100051ac4a
199,"11/08/2023, 00:37:48",3.1.85,1,lumi.54ef44100051ac4a
198,"11/08/2023, 00:39:20",3.1.85,1,lumi.54ef44100051ac4a
197,"11/08/2023, 00:43:32",3.1.85,1,lumi.54ef44100051ac4a
196,"11/08/2023, 00:57:45",3.1.85,1,lumi.54ef44100051ac4a
195,"11/08/2023, 00:58:50",3.1.85,1,lumi.54ef44100051ac4a
194,"11/08/2023, 01:00:34",3.1.85,1,lumi.54ef44100051ac4a
193,"11/08/2023, 01:05:01",3.1.85,1,lumi.54ef44100051ac4a
192,"11/08/2023, 01:07:34",3.1.85,1,lumi.54ef44100051ac4a
191,"11/08/2023, 01:11:13",3.1.85,1,lumi.54ef44100051ac4a
190,"11/08/2023, 01:13:00",3.1.85,1,lumi.54ef44100051ac4a
189,"11/08/2023, 01:14:27",3.1.85,1,lumi.54ef44100051ac4a
188,"11/08/2023, 01:18:33",3.1.85,1,lumi.54ef44100051ac4a
187,"11/08/2023, 01:20:44",3.1.85,1,lumi.54ef44100051ac4a
186,"11/08/2023, 01:22:50",3.1.85,1,lumi.54ef44100051ac4a
185,"11/08/2023, 02:05:03",3.1.85,1,lumi.54ef44100051ac4a
184,"11/08/2023, 02:19:14",3.1.85,1,lumi.54ef44100051ac4a
183,"11/08/2023, 02:30:06",3.1.85,1,lumi.54ef44100051ac4a
182,"11/08/2023, 02:39:07",3.1.85,1,lumi.54ef44100051ac4a
181,"11/08/2023, 03:43:36",3.1.85,1,lumi.54ef44100051ac4a
180,"11/08/2023, 03:51:56",3.1.85,1,lumi.54ef44100051ac4a
179,"11/08/2023, 03:59:51",3.1.85,1,lumi.54ef44100051ac4a
178,"11/08/2023, 05:17:12",3.1.85,1,lumi.54ef44100051ac4a
177,"11/08/2023, 05:27:58",3.1.85,1,lumi.54ef44100051ac4a
176,"11/08/2023, 06:12:57",3.1.85,1,lumi.54ef44100051ac4a
175,"11/08/2023, 06:20:22",3.1.85,1,lumi.54ef44100051ac4a
174,"11/08/2023, 06:39:49",3.1.85,1,lumi.54ef44100051ac4a
173,"11/08/2023, 07:00:08",3.1.85,1,lumi.54ef44100051ac4a
172,"11/08/2023, 07:02:32",3.1.85,1,lumi.54ef44100051ac4a
171,"11/08/2023, 07:03:43",3.1.85,1,lumi.54ef44100051ac4a
170,"11/08/2023, 07:33:02",3.1.85,1,lumi.54ef44100051ac4a
169,"11/08/2023, 08:22:45",3.1.85,1,lumi.54ef44100051ac4a
168,"11/08/2023, 08:24:19",3.1.85,1,lumi.54ef44100051ac4a
167,"11/08/2023, 08:29:59",3.1.85,1,lumi.54ef44100051ac4a
166,"11/08/2023, 08:33:37",3.1.85,1,lumi.54ef44100051ac4a
165,"11/08/2023, 08:42:35",3.1.85,1,lumi.54ef44100051ac4a
164,"11/08/2023, 08:45:25",3.1.85,1,lumi.54ef44100051ac4a
163,"11/08/2023, 08:46:56",3.1.85,1,lumi.54ef44100051ac4a
162,"11/08/2023, 08:47:54",3.1.85,1,lumi.54ef44100051ac4a
161,"11/08/2023, 09:09:16",3.1.85,1,lumi.54ef44100051ac4a
160,"11/08/2023, 09:10:15",3.1.85,1,lumi.54ef44100051ac4a
159,"11/08/2023, 09:11:13",3.1.85,1,lumi.54ef44100051ac4a
158,"11/08/2023, 09:12:22",3.1.85,1,lumi.54ef44100051ac4a
157,"11/08/2023, 09:13:20",3.1.85,1,lumi.54ef44100051ac4a
156,"11/08/2023, 09:14:20",3.1.85,1,lumi.54ef44100051ac4a
155,"11/08/2023, 09:15:18",3.1.85,1,lumi.54ef44100051ac4a
154,"11/08/2023, 09:16:17",3.1.85,1,lumi.54ef44100051ac4a
153,"11/08/2023, 09:17:21",3.1.85,1,lumi.54ef44100051ac4a
152,"11/08/2023, 09:18:20",3.1.85,1,lumi.54ef44100051ac4a
151,"11/08/2023, 09:19:23",3.1.85,1,lumi.54ef44100051ac4a
150,"11/08/2023, 09:20:21",3.1.85,1,lumi.54ef44100051ac4a
149,"11/08/2023, 18:54:53",3.1.85,1,lumi.54ef44100051ac4a
148,"11/08/2023, 18:55:51",3.1.85,1,lumi.54ef44100051ac4a
147,"11/08/2023, 18:58:59",3.1.85,1,lumi.54ef44100051ac4a
