,timeStamp,resourceId,value,subjectId
12,"12/16/2023, 15:00:25",13.1.85,1,lumi.158d0008f3427d
11,"12/16/2023, 15:02:13",13.1.85,1,lumi.158d0008f3427d
10,"12/16/2023, 15:22:24",13.1.85,1,lumi.158d0008f3427d
9,"12/16/2023, 15:22:27",13.1.85,2,lumi.158d0008f3427d
8,"12/16/2023, 15:29:58",13.1.85,1,lumi.158d0008f3427d
7,"12/16/2023, 16:40:13",13.1.85,1,lumi.158d0008f3427d
6,"12/16/2023, 16:56:53",13.1.85,2,lumi.158d0008f3427d
5,"12/16/2023, 17:22:53",13.1.85,1,lumi.158d0008f3427d
4,"12/16/2023, 17:24:16",13.1.85,1,lumi.158d0008f3427d
3,"12/16/2023, 17:31:32",13.1.85,1,lumi.158d0008f3427d
2,"12/16/2023, 22:07:21",13.1.85,1,lumi.158d0008f3427d
1,"12/17/2023, 15:30:56",13.1.85,1,lumi.158d0008f3427d
0,"12/17/2023, 23:11:51",13.1.85,1,lumi.158d0008f3427d
