,timeStamp,resourceId,value,subjectId
9,"12/24/2023, 00:06:39",13.1.85,1,lumi.158d0008f32cb9
8,"12/24/2023, 00:06:44",13.1.85,2,lumi.158d0008f32cb9
7,"12/25/2023, 13:55:49",13.1.85,1,lumi.158d0008f32cb9
6,"12/25/2023, 13:57:04",13.1.85,1,lumi.158d0008f32cb9
5,"12/25/2023, 14:13:52",13.1.85,1,lumi.158d0008f32cb9
4,"12/25/2023, 14:13:54",13.1.85,2,lumi.158d0008f32cb9
3,"12/25/2023, 14:15:11",13.1.85,1,lumi.158d0008f32cb9
2,"12/25/2023, 14:41:38",13.1.85,1,lumi.158d0008f32cb9
1,"12/25/2023, 17:41:55",13.1.85,1,lumi.158d0008f32cb9
0,"12/25/2023, 17:51:54",13.1.85,1,lumi.158d0008f32cb9
