,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
269,,0.3.85,"06/11/2023, 02:00:00",0.0,lumi.54ef44100065d74a,3,"06/11/2023, 01:30:00"
268,"06/11/2023, 01:58:54",0.3.85,"06/11/2023, 02:00:00",0.000000,lumi.54ef44100065d74a,2,"06/11/2023, 01:30:00"
267,"06/11/2023, 01:58:54",0.3.85,"06/11/2023, 02:00:00",0.000000,lumi.54ef44100065d74a,1,"06/11/2023, 01:30:00"
266,,0.3.85,"06/11/2023, 05:00:00",0.0,lumi.54ef44100065d74a,3,"06/11/2023, 04:30:00"
265,"06/11/2023, 04:43:11",0.3.85,"06/11/2023, 05:00:00",0.000000,lumi.54ef44100065d74a,2,"06/11/2023, 04:30:00"
264,"06/11/2023, 04:43:11",0.3.85,"06/11/2023, 05:00:00",0.000000,lumi.54ef44100065d74a,1,"06/11/2023, 04:30:00"
263,,0.3.85,"06/11/2023, 06:00:00",3.0,lumi.54ef44100065d74a,3,"06/11/2023, 05:30:00"
262,"06/11/2023, 05:37:56",0.3.85,"06/11/2023, 06:00:00",3.000000,lumi.54ef44100065d74a,2,"06/11/2023, 05:30:00"
261,"06/11/2023, 05:37:56",0.3.85,"06/11/2023, 06:00:00",3.000000,lumi.54ef44100065d74a,1,"06/11/2023, 05:30:00"
260,,0.3.85,"06/11/2023, 06:30:00",6.0,lumi.54ef44100065d74a,3,"06/11/2023, 06:00:00"
259,"06/11/2023, 06:01:46",0.3.85,"06/11/2023, 06:30:00",6.000000,lumi.54ef44100065d74a,2,"06/11/2023, 06:00:00"
258,"06/11/2023, 06:01:46",0.3.85,"06/11/2023, 06:30:00",6.000000,lumi.54ef44100065d74a,1,"06/11/2023, 06:00:00"
257,,0.3.85,"06/11/2023, 07:00:00",15.0,lumi.54ef44100065d74a,3,"06/11/2023, 06:30:00"
256,"06/11/2023, 06:55:23",0.3.85,"06/11/2023, 07:00:00",20.000000,lumi.54ef44100065d74a,2,"06/11/2023, 06:30:00"
255,"06/11/2023, 06:32:42",0.3.85,"06/11/2023, 07:00:00",12.000000,lumi.54ef44100065d74a,1,"06/11/2023, 06:30:00"
254,,0.3.85,"06/11/2023, 07:30:00",27.0,lumi.54ef44100065d74a,3,"06/11/2023, 07:00:00"
253,"06/11/2023, 07:27:13",0.3.85,"06/11/2023, 07:30:00",27.000000,lumi.54ef44100065d74a,2,"06/11/2023, 07:00:00"
252,"06/11/2023, 07:27:13",0.3.85,"06/11/2023, 07:30:00",27.000000,lumi.54ef44100065d74a,1,"06/11/2023, 07:00:00"
251,,0.3.85,"06/11/2023, 08:00:00",41.0,lumi.54ef44100065d74a,3,"06/11/2023, 07:30:00"
250,"06/11/2023, 07:55:22",0.3.85,"06/11/2023, 08:00:00",48.000000,lumi.54ef44100065d74a,2,"06/11/2023, 07:30:00"
249,"06/11/2023, 07:46:59",0.3.85,"06/11/2023, 08:00:00",34.000000,lumi.54ef44100065d74a,1,"06/11/2023, 07:30:00"
248,,0.3.85,"06/11/2023, 08:30:00",27.307692,lumi.54ef44100065d74a,3,"06/11/2023, 08:00:00"
247,"06/11/2023, 08:00:45",0.3.85,"06/11/2023, 08:30:00",41.000000,lumi.54ef44100065d74a,2,"06/11/2023, 08:00:00"
