,timeStamp,resourceId,value,subjectId
144,"10/13/2023, 00:00:22",3.1.85,1,lumi.54ef44100051b1dc
143,"10/13/2023, 00:01:29",3.1.85,1,lumi.54ef44100051b1dc
142,"10/13/2023, 00:03:58",3.1.85,1,lumi.54ef44100051b1dc
141,"10/13/2023, 00:06:38",3.1.85,1,lumi.54ef44100051b1dc
140,"10/13/2023, 00:19:49",3.1.85,1,lumi.54ef44100051b1dc
139,"10/13/2023, 00:22:49",3.1.85,1,lumi.54ef44100051b1dc
138,"10/13/2023, 00:29:10",3.1.85,1,lumi.54ef44100051b1dc
137,"10/13/2023, 00:42:39",3.1.85,1,lumi.54ef44100051b1dc
136,"10/13/2023, 00:44:34",3.1.85,1,lumi.54ef44100051b1dc
135,"10/13/2023, 00:46:10",3.1.85,1,lumi.54ef44100051b1dc
134,"10/13/2023, 00:47:31",3.1.85,1,lumi.54ef44100051b1dc
133,"10/13/2023, 00:52:38",3.1.85,1,lumi.54ef44100051b1dc
132,"10/13/2023, 00:54:23",3.1.85,1,lumi.54ef44100051b1dc
131,"10/13/2023, 00:56:38",3.1.85,1,lumi.54ef44100051b1dc
130,"10/13/2023, 00:59:56",3.1.85,1,lumi.54ef44100051b1dc
129,"10/13/2023, 01:04:07",3.1.85,1,lumi.54ef44100051b1dc
128,"10/13/2023, 01:07:30",3.1.85,1,lumi.54ef44100051b1dc
127,"10/13/2023, 01:08:39",3.1.85,1,lumi.54ef44100051b1dc
126,"10/13/2023, 01:09:38",3.1.85,1,lumi.54ef44100051b1dc
125,"10/13/2023, 01:10:40",3.1.85,1,lumi.54ef44100051b1dc
124,"10/13/2023, 01:13:41",3.1.85,1,lumi.54ef44100051b1dc
123,"10/13/2023, 01:15:02",3.1.85,1,lumi.54ef44100051b1dc
122,"10/13/2023, 01:16:00",3.1.85,1,lumi.54ef44100051b1dc
121,"10/13/2023, 01:17:06",3.1.85,1,lumi.54ef44100051b1dc
120,"10/13/2023, 01:19:22",3.1.85,1,lumi.54ef44100051b1dc
119,"10/13/2023, 01:20:21",3.1.85,1,lumi.54ef44100051b1dc
118,"10/13/2023, 01:23:50",3.1.85,1,lumi.54ef44100051b1dc
117,"10/13/2023, 01:24:49",3.1.85,1,lumi.54ef44100051b1dc
116,"10/13/2023, 01:29:03",3.1.85,1,lumi.54ef44100051b1dc
115,"10/13/2023, 01:30:12",3.1.85,1,lumi.54ef44100051b1dc
114,"10/13/2023, 01:34:04",3.1.85,1,lumi.54ef44100051b1dc
113,"10/13/2023, 01:37:44",3.1.85,1,lumi.54ef44100051b1dc
112,"10/13/2023, 03:57:18",3.1.85,1,lumi.54ef44100051b1dc
111,"10/13/2023, 03:59:38",3.1.85,1,lumi.54ef44100051b1dc
110,"10/13/2023, 04:11:31",3.1.85,1,lumi.54ef44100051b1dc
109,"10/13/2023, 04:15:29",3.1.85,1,lumi.54ef44100051b1dc
108,"10/13/2023, 04:37:57",3.1.85,1,lumi.54ef44100051b1dc
107,"10/13/2023, 05:06:59",3.1.85,1,lumi.54ef44100051b1dc
106,"10/13/2023, 05:21:35",3.1.85,1,lumi.54ef44100051b1dc
105,"10/13/2023, 05:23:57",3.1.85,1,lumi.54ef44100051b1dc
104,"10/13/2023, 05:40:51",3.1.85,1,lumi.54ef44100051b1dc
103,"10/13/2023, 05:53:31",3.1.85,1,lumi.54ef44100051b1dc
102,"10/13/2023, 06:00:29",3.1.85,1,lumi.54ef44100051b1dc
101,"10/13/2023, 06:02:53",3.1.85,1,lumi.54ef44100051b1dc
100,"10/13/2023, 06:16:49",3.1.85,1,lumi.54ef44100051b1dc
99,"10/13/2023, 06:24:01",3.1.85,1,lumi.54ef44100051b1dc
98,"10/13/2023, 06:25:58",3.1.85,1,lumi.54ef44100051b1dc
97,"10/13/2023, 06:27:34",3.1.85,1,lumi.54ef44100051b1dc
96,"10/13/2023, 06:30:35",3.1.85,1,lumi.54ef44100051b1dc
95,"10/13/2023, 06:50:03",3.1.85,1,lumi.54ef44100051b1dc
