,timeStamp,resourceId,value,subjectId
88,"10/20/2023, 00:12:46",0.3.85,9,lumi.54ef44100065d74a
87,"10/20/2023, 00:30:57",0.3.85,0,lumi.54ef44100065d74a
86,"10/20/2023, 02:02:15",0.3.85,0,lumi.54ef44100065d74a
85,"10/20/2023, 02:57:00",0.3.85,0,lumi.54ef44100065d74a
84,"10/20/2023, 04:46:29",0.3.85,0,lumi.54ef44100065d74a
83,"10/20/2023, 05:41:14",0.3.85,0,lumi.54ef44100065d74a
82,"10/20/2023, 07:30:43",0.3.85,5,lumi.54ef44100065d74a
81,"10/20/2023, 07:37:23",0.3.85,6,lumi.54ef44100065d74a
80,"10/20/2023, 07:45:01",0.3.85,13,lumi.54ef44100065d74a
79,"10/20/2023, 08:02:06",0.3.85,26,lumi.54ef44100065d74a
78,"10/20/2023, 08:18:31",0.3.85,19,lumi.54ef44100065d74a
77,"10/20/2023, 08:18:45",0.3.85,26,lumi.54ef44100065d74a
76,"10/20/2023, 08:25:28",0.3.85,28,lumi.54ef44100065d74a
75,"10/20/2023, 08:28:49",0.3.85,19,lumi.54ef44100065d74a
74,"10/20/2023, 09:20:14",0.3.85,24,lumi.54ef44100065d74a
73,"10/20/2023, 10:07:11",0.3.85,26,lumi.54ef44100065d74a
72,"10/20/2023, 10:11:35",0.3.85,17,lumi.54ef44100065d74a
71,"10/20/2023, 10:12:00",0.3.85,25,lumi.54ef44100065d74a
70,"10/20/2023, 10:14:59",0.3.85,27,lumi.54ef44100065d74a
69,"10/20/2023, 10:24:43",0.3.85,32,lumi.54ef44100065d74a
68,"10/20/2023, 10:29:16",0.3.85,39,lumi.54ef44100065d74a
67,"10/20/2023, 10:31:01",0.3.85,31,lumi.54ef44100065d74a
66,"10/20/2023, 10:31:16",0.3.85,24,lumi.54ef44100065d74a
65,"10/20/2023, 10:31:45",0.3.85,38,lumi.54ef44100065d74a
64,"10/20/2023, 10:31:55",0.3.85,27,lumi.54ef44100065d74a
63,"10/20/2023, 10:32:00",0.3.85,37,lumi.54ef44100065d74a
62,"10/20/2023, 10:32:10",0.3.85,28,lumi.54ef44100065d74a
61,"10/20/2023, 10:32:40",0.3.85,37,lumi.54ef44100065d74a
60,"10/20/2023, 10:33:20",0.3.85,30,lumi.54ef44100065d74a
59,"10/20/2023, 10:33:55",0.3.85,38,lumi.54ef44100065d74a
58,"10/20/2023, 10:34:49",0.3.85,26,lumi.54ef44100065d74a
57,"10/20/2023, 10:34:54",0.3.85,37,lumi.54ef44100065d74a
56,"10/20/2023, 10:35:19",0.3.85,28,lumi.54ef44100065d74a
55,"10/20/2023, 10:35:54",0.3.85,21,lumi.54ef44100065d74a
54,"10/20/2023, 10:39:13",0.3.85,28,lumi.54ef44100065d74a
53,"10/20/2023, 10:39:58",0.3.85,21,lumi.54ef44100065d74a
52,"10/20/2023, 10:40:18",0.3.85,31,lumi.54ef44100065d74a
51,"10/20/2023, 10:40:28",0.3.85,20,lumi.54ef44100065d74a
50,"10/20/2023, 10:43:12",0.3.85,32,lumi.54ef44100065d74a
49,"10/20/2023, 10:44:22",0.3.85,39,lumi.54ef44100065d74a
48,"10/20/2023, 10:48:05",0.3.85,28,lumi.54ef44100065d74a
47,"10/20/2023, 10:48:15",0.3.85,36,lumi.54ef44100065d74a
46,"10/20/2023, 10:48:25",0.3.85,44,lumi.54ef44100065d74a
45,"10/20/2023, 10:48:45",0.3.85,30,lumi.54ef44100065d74a
44,"10/20/2023, 10:49:05",0.3.85,39,lumi.54ef44100065d74a
43,"10/20/2023, 10:51:24",0.3.85,31,lumi.54ef44100065d74a
42,"10/20/2023, 10:51:29",0.3.85,38,lumi.54ef44100065d74a
41,"10/20/2023, 10:51:39",0.3.85,30,lumi.54ef44100065d74a
40,"10/20/2023, 10:52:04",0.3.85,22,lumi.54ef44100065d74a
39,"10/20/2023, 10:53:04",0.3.85,40,lumi.54ef44100065d74a
38,"10/20/2023, 10:58:42",0.3.85,26,lumi.54ef44100065d74a
37,"10/20/2023, 10:58:57",0.3.85,36,lumi.54ef44100065d74a
36,"10/20/2023, 10:59:07",0.3.85,24,lumi.54ef44100065d74a
35,"10/20/2023, 10:59:12",0.3.85,35,lumi.54ef44100065d74a
34,"10/20/2023, 10:59:22",0.3.85,22,lumi.54ef44100065d74a
33,"10/20/2023, 11:00:42",0.3.85,36,lumi.54ef44100065d74a
32,"10/20/2023, 11:05:25",0.3.85,29,lumi.54ef44100065d74a
31,"10/20/2023, 11:05:45",0.3.85,40,lumi.54ef44100065d74a
30,"10/20/2023, 11:06:10",0.3.85,25,lumi.54ef44100065d74a
29,"10/20/2023, 11:06:50",0.3.85,34,lumi.54ef44100065d74a
28,"10/20/2023, 11:08:29",0.3.85,22,lumi.54ef44100065d74a
27,"10/20/2023, 11:09:24",0.3.85,29,lumi.54ef44100065d74a
26,"10/20/2023, 11:09:34",0.3.85,36,lumi.54ef44100065d74a
25,"10/20/2023, 11:09:44",0.3.85,37,lumi.54ef44100065d74a
24,"10/20/2023, 11:25:11",0.3.85,27,lumi.54ef44100065d74a
23,"10/20/2023, 11:25:21",0.3.85,20,lumi.54ef44100065d74a
22,"10/20/2023, 11:25:41",0.3.85,34,lumi.54ef44100065d74a
21,"10/20/2023, 11:35:13",0.3.85,24,lumi.54ef44100065d74a
20,"10/20/2023, 11:35:18",0.3.85,32,lumi.54ef44100065d74a
19,"10/20/2023, 11:35:28",0.3.85,24,lumi.54ef44100065d74a
18,"10/20/2023, 11:35:43",0.3.85,36,lumi.54ef44100065d74a
17,"10/20/2023, 11:35:48",0.3.85,26,lumi.54ef44100065d74a
16,"10/20/2023, 11:36:03",0.3.85,36,lumi.54ef44100065d74a
15,"10/20/2023, 11:36:08",0.3.85,27,lumi.54ef44100065d74a
14,"10/20/2023, 11:36:22",0.3.85,35,lumi.54ef44100065d74a
13,"10/20/2023, 11:36:37",0.3.85,22,lumi.54ef44100065d74a
12,"10/20/2023, 11:40:16",0.3.85,34,lumi.54ef44100065d74a
11,"10/20/2023, 11:42:16",0.3.85,18,lumi.54ef44100065d74a
10,"10/20/2023, 11:42:36",0.3.85,27,lumi.54ef44100065d74a
9,"10/20/2023, 11:42:41",0.3.85,18,lumi.54ef44100065d74a
8,"10/20/2023, 11:45:40",0.3.85,30,lumi.54ef44100065d74a
7,"10/20/2023, 11:50:53",0.3.85,18,lumi.54ef44100065d74a
6,"10/20/2023, 11:52:08",0.3.85,29,lumi.54ef44100065d74a
5,"10/20/2023, 11:53:52",0.3.85,22,lumi.54ef44100065d74a
4,"10/20/2023, 11:54:12",0.3.85,31,lumi.54ef44100065d74a
3,"10/20/2023, 11:54:22",0.3.85,23,lumi.54ef44100065d74a
2,"10/20/2023, 11:54:37",0.3.85,33,lumi.54ef44100065d74a
1,"10/20/2023, 11:58:55",0.3.85,26,lumi.54ef44100065d74a
0,"10/20/2023, 11:59:05",0.3.85,33,lumi.54ef44100065d74a
