,timeStamp,resourceId,value,subjectId
20,"11/02/2023, 08:31:35",3.1.85,0,lumi.54ef4410003fe7bf
19,"11/02/2023, 21:32:08",3.1.85,1,lumi.54ef4410003fe7bf
18,"11/02/2023, 21:32:21",3.1.85,0,lumi.54ef4410003fe7bf
17,"11/03/2023, 08:33:03",3.1.85,1,lumi.54ef4410003fe7bf
16,"11/03/2023, 08:33:23",3.1.85,0,lumi.54ef4410003fe7bf
15,"11/03/2023, 20:00:40",3.1.85,1,lumi.54ef4410003fe7bf
14,"11/03/2023, 20:34:40",3.1.85,0,lumi.54ef4410003fe7bf
13,"11/03/2023, 20:36:11",3.1.85,1,lumi.54ef4410003fe7bf
12,"11/03/2023, 20:41:07",3.1.85,0,lumi.54ef4410003fe7bf
11,"11/03/2023, 20:43:53",3.1.85,1,lumi.54ef4410003fe7bf
10,"11/03/2023, 20:44:01",3.1.85,0,lumi.54ef4410003fe7bf
9,"11/03/2023, 21:04:09",3.1.85,1,lumi.54ef4410003fe7bf
8,"11/03/2023, 21:04:35",3.1.85,0,lumi.54ef4410003fe7bf
7,"11/03/2023, 21:07:07",3.1.85,1,lumi.54ef4410003fe7bf
6,"11/03/2023, 21:07:14",3.1.85,0,lumi.54ef4410003fe7bf
5,"11/03/2023, 21:24:18",3.1.85,1,lumi.54ef4410003fe7bf
4,"11/03/2023, 21:24:35",3.1.85,0,lumi.54ef4410003fe7bf
3,"11/03/2023, 21:27:39",3.1.85,1,lumi.54ef4410003fe7bf
2,"11/03/2023, 21:27:45",3.1.85,0,lumi.54ef4410003fe7bf
1,"11/03/2023, 21:27:52",3.1.85,1,lumi.54ef4410003fe7bf
0,"11/03/2023, 21:27:53",3.1.85,0,lumi.54ef4410003fe7bf
