,timeStamp,resourceId,value,subjectId
24,"11/22/2023, 06:55:32",13.1.85,1,lumi.158d0008f34920
23,"11/22/2023, 06:57:19",13.1.85,1,lumi.158d0008f34920
22,"11/22/2023, 07:00:47",13.1.85,1,lumi.158d0008f34920
21,"11/22/2023, 07:03:20",13.1.85,1,lumi.158d0008f34920
20,"11/22/2023, 07:04:55",13.1.85,1,lumi.158d0008f34920
19,"11/22/2023, 07:11:17",13.1.85,1,lumi.158d0008f34920
18,"11/22/2023, 07:12:25",13.1.85,1,lumi.158d0008f34920
17,"11/22/2023, 07:16:41",13.1.85,1,lumi.158d0008f34920
16,"11/22/2023, 07:18:11",13.1.85,1,lumi.158d0008f34920
15,"11/22/2023, 07:18:23",13.1.85,2,lumi.158d0008f34920
14,"11/22/2023, 07:20:26",13.1.85,1,lumi.158d0008f34920
13,"11/22/2023, 07:21:15",13.1.85,2,lumi.158d0008f34920
12,"11/22/2023, 07:21:26",13.1.85,1,lumi.158d0008f34920
11,"11/22/2023, 20:58:36",13.1.85,2,lumi.158d0008f34920
10,"11/22/2023, 20:58:41",13.1.85,1,lumi.158d0008f34920
9,"11/22/2023, 21:00:16",13.1.85,1,lumi.158d0008f34920
8,"11/22/2023, 22:16:06",13.1.85,1,lumi.158d0008f34920
7,"11/22/2023, 22:52:49",13.1.85,1,lumi.158d0008f34920
6,"11/22/2023, 22:55:28",13.1.85,1,lumi.158d0008f34920
5,"11/23/2023, 07:51:40",13.1.85,1,lumi.158d0008f34920
4,"11/23/2023, 21:59:47",13.1.85,1,lumi.158d0008f34920
3,"11/23/2023, 22:46:39",13.1.85,1,lumi.158d0008f34920
2,"11/23/2023, 22:47:26",13.1.85,2,lumi.158d0008f34920
1,"11/23/2023, 22:48:23",13.1.85,1,lumi.158d0008f34920
0,"11/23/2023, 23:07:00",13.1.85,1,lumi.158d0008f34920
