,timeStamp,resourceId,value,subjectId
22,"11/28/2023, 08:27:34",13.1.85,1,lumi.158d0008f34ed7
21,"11/28/2023, 08:27:56",13.1.85,2,lumi.158d0008f34ed7
20,"11/28/2023, 08:41:17",13.1.85,1,lumi.158d0008f34ed7
19,"11/28/2023, 23:54:41",13.1.85,1,lumi.158d0008f34ed7
18,"11/28/2023, 23:55:17",13.1.85,2,lumi.158d0008f34ed7
17,"11/29/2023, 00:04:15",13.1.85,1,lumi.158d0008f34ed7
16,"11/29/2023, 00:15:00",13.1.85,1,lumi.158d0008f34ed7
15,"11/29/2023, 00:28:26",13.1.85,1,lumi.158d0008f34ed7
14,"11/29/2023, 07:56:07",13.1.85,1,lumi.158d0008f34ed7
13,"11/29/2023, 08:25:01",13.1.85,1,lumi.158d0008f34ed7
12,"11/29/2023, 08:28:42",13.1.85,1,lumi.158d0008f34ed7
11,"11/29/2023, 21:27:53",13.1.85,1,lumi.158d0008f34ed7
10,"11/29/2023, 21:39:17",13.1.85,1,lumi.158d0008f34ed7
9,"11/29/2023, 21:42:04",13.1.85,1,lumi.158d0008f34ed7
8,"11/29/2023, 21:46:30",13.1.85,1,lumi.158d0008f34ed7
7,"11/29/2023, 22:04:23",13.1.85,1,lumi.158d0008f34ed7
6,"11/29/2023, 22:06:32",13.1.85,1,lumi.158d0008f34ed7
5,"11/29/2023, 22:06:43",13.1.85,2,lumi.158d0008f34ed7
4,"11/29/2023, 22:06:48",13.1.85,2,lumi.158d0008f34ed7
3,"11/29/2023, 22:06:58",13.1.85,2,lumi.158d0008f34ed7
2,"11/29/2023, 22:21:57",13.1.85,1,lumi.158d0008f34ed7
1,"11/29/2023, 23:21:01",13.1.85,1,lumi.158d0008f34ed7
0,"11/29/2023, 23:46:26",13.1.85,2,lumi.158d0008f34ed7
