,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
209,,0.3.85,"06/08/2023, 01:00:00",128.75,lumi.54ef44100065d162,3,"06/08/2023, 00:30:00"
208,"06/08/2023, 00:40:35",0.3.85,"06/08/2023, 01:00:00",178.000000,lumi.54ef44100065d162,2,"06/08/2023, 00:30:00"
207,"06/08/2023, 00:49:41",0.3.85,"06/08/2023, 01:00:00",0.000000,lumi.54ef44100065d162,1,"06/08/2023, 00:30:00"
206,,0.3.85,"06/08/2023, 03:30:00",0.0,lumi.54ef44100065d162,3,"06/08/2023, 03:00:00"
205,"06/08/2023, 03:25:13",0.3.85,"06/08/2023, 03:30:00",0.000000,lumi.54ef44100065d162,2,"06/08/2023, 03:00:00"
204,"06/08/2023, 03:25:13",0.3.85,"06/08/2023, 03:30:00",0.000000,lumi.54ef44100065d162,1,"06/08/2023, 03:00:00"
203,,0.3.85,"06/08/2023, 06:00:00",9.0,lumi.54ef44100065d162,3,"06/08/2023, 05:30:00"
202,"06/08/2023, 05:59:37",0.3.85,"06/08/2023, 06:00:00",17.000000,lumi.54ef44100065d162,2,"06/08/2023, 05:30:00"
201,"06/08/2023, 05:59:42",0.3.85,"06/08/2023, 06:00:00",1.000000,lumi.54ef44100065d162,1,"06/08/2023, 05:30:00"
200,,0.3.85,"06/08/2023, 07:30:00",6.5,lumi.54ef44100065d162,3,"06/08/2023, 07:00:00"
199,"06/08/2023, 07:10:48",0.3.85,"06/08/2023, 07:30:00",8.000000,lumi.54ef44100065d162,2,"06/08/2023, 07:00:00"
198,"06/08/2023, 07:04:42",0.3.85,"06/08/2023, 07:30:00",5.000000,lumi.54ef44100065d162,1,"06/08/2023, 07:00:00"
197,,0.3.85,"06/08/2023, 09:00:00",12.5,lumi.54ef44100065d162,3,"06/08/2023, 08:30:00"
196,"06/08/2023, 08:59:43",0.3.85,"06/08/2023, 09:00:00",15.000000,lumi.54ef44100065d162,2,"06/08/2023, 08:30:00"
195,"06/08/2023, 08:54:27",0.3.85,"06/08/2023, 09:00:00",10.000000,lumi.54ef44100065d162,1,"06/08/2023, 08:30:00"
194,,0.3.85,"06/08/2023, 09:30:00",19.666667,lumi.54ef44100065d162,3,"06/08/2023, 09:00:00"
193,"06/08/2023, 09:20:50",0.3.85,"06/08/2023, 09:30:00",22.000000,lumi.54ef44100065d162,2,"06/08/2023, 09:00:00"
192,"06/08/2023, 09:21:10",0.3.85,"06/08/2023, 09:30:00",15.000000,lumi.54ef44100065d162,1,"06/08/2023, 09:00:00"
191,,0.3.85,"06/08/2023, 10:00:00",17.916667,lumi.54ef44100065d162,3,"06/08/2023, 09:30:00"
