,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
29,,13.1.85,"06/08/2023, 01:00:00","{""1"":2}",lumi.158d0008f34d26,4,"06/08/2023, 00:30:00"
28,,13.1.85,"06/08/2023, 10:30:00","{""1"":4}",lumi.158d0008f34d26,4,"06/08/2023, 10:00:00"
27,,13.1.85,"06/08/2023, 11:00:00","{""2"":1}",lumi.158d0008f34d26,4,"06/08/2023, 10:30:00"
26,,13.1.85,"06/08/2023, 11:30:00","{""1"":1}",lumi.158d0008f34d26,4,"06/08/2023, 11:00:00"
25,,13.1.85,"06/08/2023, 12:00:00","{""1"":1}",lumi.158d0008f34d26,4,"06/08/2023, 11:30:00"
24,,13.1.85,"06/08/2023, 20:30:00","{""1"":1}",lumi.158d0008f34d26,4,"06/08/2023, 20:00:00"
23,,13.1.85,"06/08/2023, 21:00:00","{""1"":3,""2"":8}",lumi.158d0008f34d26,4,"06/08/2023, 20:30:00"
22,,13.1.85,"06/08/2023, 21:30:00","{""1"":3,""2"":7}",lumi.158d0008f34d26,4,"06/08/2023, 21:00:00"
21,,13.1.85,"06/08/2023, 22:00:00","{""1"":2,""2"":3}",lumi.158d0008f34d26,4,"06/08/2023, 21:30:00"
20,,13.1.85,"06/08/2023, 22:30:00","{""1"":3,""2"":6}",lumi.158d0008f34d26,4,"06/08/2023, 22:00:00"
19,,13.1.85,"06/08/2023, 23:00:00","{""1"":1,""2"":1}",lumi.158d0008f34d26,4,"06/08/2023, 22:30:00"
18,,13.1.85,"06/08/2023, 23:30:00","{""1"":4,""2"":2}",lumi.158d0008f34d26,4,"06/08/2023, 23:00:00"
17,,13.1.85,"06/09/2023, 00:00:00","{""1"":1,""2"":3}",lumi.158d0008f34d26,4,"06/08/2023, 23:30:00"
16,,13.1.85,"06/09/2023, 00:30:00","{""2"":2}",lumi.158d0008f34d26,4,"06/09/2023, 00:00:00"
15,,13.1.85,"06/09/2023, 01:00:00","{""1"":1,""2"":3}",lumi.158d0008f34d26,4,"06/09/2023, 00:30:00"
14,,13.1.85,"06/09/2023, 01:30:00","{""1"":1,""2"":26}",lumi.158d0008f34d26,4,"06/09/2023, 01:00:00"
13,,13.1.85,"06/09/2023, 02:00:00","{""1"":1,""2"":10}",lumi.158d0008f34d26,4,"06/09/2023, 01:30:00"
12,,13.1.85,"06/09/2023, 12:30:00","{""1"":2,""2"":1}",lumi.158d0008f34d26,4,"06/09/2023, 12:00:00"
11,,13.1.85,"06/09/2023, 20:30:00","{""1"":3}",lumi.158d0008f34d26,4,"06/09/2023, 20:00:00"
10,,13.1.85,"06/09/2023, 21:00:00","{""1"":3,""2"":2}",lumi.158d0008f34d26,4,"06/09/2023, 20:30:00"
9,,13.1.85,"06/09/2023, 21:30:00","{""1"":1,""2"":4}",lumi.158d0008f34d26,4,"06/09/2023, 21:00:00"
8,,13.1.85,"06/09/2023, 22:00:00","{""1"":1,""2"":1}",lumi.158d0008f34d26,4,"06/09/2023, 21:30:00"
7,,13.1.85,"06/09/2023, 22:30:00","{""1"":2,""2"":11}",lumi.158d0008f34d26,4,"06/09/2023, 22:00:00"
6,,13.1.85,"06/09/2023, 23:00:00","{""1"":3,""2"":5}",lumi.158d0008f34d26,4,"06/09/2023, 22:30:00"
5,,13.1.85,"06/09/2023, 23:30:00","{""1"":2,""2"":2}",lumi.158d0008f34d26,4,"06/09/2023, 23:00:00"
4,,13.1.85,"06/10/2023, 00:00:00","{""1"":2,""2"":1}",lumi.158d0008f34d26,4,"06/09/2023, 23:30:00"
3,,13.1.85,"06/10/2023, 00:30:00","{""1"":1,""2"":3}",lumi.158d0008f34d26,4,"06/10/2023, 00:00:00"
2,,13.1.85,"06/10/2023, 01:00:00","{""1"":2}",lumi.158d0008f34d26,4,"06/10/2023, 00:30:00"
1,,13.1.85,"06/10/2023, 01:30:00","{""1"":3,""2"":2}",lumi.158d0008f34d26,4,"06/10/2023, 01:00:00"
0,,13.1.85,"06/10/2023, 02:00:00","{""2"":6}",lumi.158d0008f34d26,4,"06/10/2023, 01:30:00"
