,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,13.1.85,"09/16/2023, 00:30:00","{""1"":1,""2"":4}",lumi.158d0008f3a4dd,4,"09/16/2023, 00:00:00"
13,,13.1.85,"09/16/2023, 01:00:00","{""2"":12}",lumi.158d0008f3a4dd,4,"09/16/2023, 00:30:00"
12,,13.1.85,"09/16/2023, 01:30:00","{""1"":2,""2"":2}",lumi.158d0008f3a4dd,4,"09/16/2023, 01:00:00"
11,,13.1.85,"09/16/2023, 02:00:00","{""1"":1}",lumi.158d0008f3a4dd,4,"09/16/2023, 01:30:00"
10,,13.1.85,"09/16/2023, 02:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a4dd,4,"09/16/2023, 02:00:00"
9,,13.1.85,"09/16/2023, 03:00:00","{""2"":10}",lumi.158d0008f3a4dd,4,"09/16/2023, 02:30:00"
8,,13.1.85,"09/16/2023, 03:30:00","{""1"":1,""2"":4}",lumi.158d0008f3a4dd,4,"09/16/2023, 03:00:00"
7,,13.1.85,"09/16/2023, 04:00:00","{""1"":1,""2"":6}",lumi.158d0008f3a4dd,4,"09/16/2023, 03:30:00"
6,,13.1.85,"09/16/2023, 04:30:00","{""1"":1,""2"":6}",lumi.158d0008f3a4dd,4,"09/16/2023, 04:00:00"
5,,13.1.85,"09/16/2023, 05:00:00","{""2"":7}",lumi.158d0008f3a4dd,4,"09/16/2023, 04:30:00"
4,,13.1.85,"09/16/2023, 05:30:00","{""2"":1}",lumi.158d0008f3a4dd,4,"09/16/2023, 05:00:00"
3,,13.1.85,"09/16/2023, 06:30:00","{""1"":2}",lumi.158d0008f3a4dd,4,"09/16/2023, 06:00:00"
2,,13.1.85,"09/18/2023, 20:30:00","{""1"":4,""2"":1}",lumi.158d0008f3a4dd,4,"09/18/2023, 20:00:00"
1,,13.1.85,"09/18/2023, 21:00:00","{""1"":1}",lumi.158d0008f3a4dd,4,"09/18/2023, 20:30:00"
0,,13.1.85,"09/18/2023, 22:30:00","{""2"":1}",lumi.158d0008f3a4dd,4,"09/18/2023, 22:00:00"
