,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
17,,3.1.85,"09/16/2023, 00:30:00","{""1"":19}",lumi.54ef44100051af6d,4,"09/16/2023, 00:00:00"
16,,3.1.85,"09/16/2023, 01:00:00","{""1"":18}",lumi.54ef44100051af6d,4,"09/16/2023, 00:30:00"
15,,3.1.85,"09/16/2023, 01:30:00","{""1"":19}",lumi.54ef44100051af6d,4,"09/16/2023, 01:00:00"
14,,3.1.85,"09/16/2023, 02:00:00","{""1"":19}",lumi.54ef44100051af6d,4,"09/16/2023, 01:30:00"
13,,3.1.85,"09/16/2023, 02:30:00","{""1"":17}",lumi.54ef44100051af6d,4,"09/16/2023, 02:00:00"
12,,3.1.85,"09/16/2023, 03:00:00","{""1"":23}",lumi.54ef44100051af6d,4,"09/16/2023, 02:30:00"
11,,3.1.85,"09/16/2023, 03:30:00","{""1"":21}",lumi.54ef44100051af6d,4,"09/16/2023, 03:00:00"
10,,3.1.85,"09/16/2023, 04:00:00","{""1"":19}",lumi.54ef44100051af6d,4,"09/16/2023, 03:30:00"
9,,3.1.85,"09/16/2023, 04:30:00","{""1"":18}",lumi.54ef44100051af6d,4,"09/16/2023, 04:00:00"
8,,3.1.85,"09/16/2023, 05:00:00","{""1"":19}",lumi.54ef44100051af6d,4,"09/16/2023, 04:30:00"
7,,3.1.85,"09/16/2023, 05:30:00","{""1"":21}",lumi.54ef44100051af6d,4,"09/16/2023, 05:00:00"
6,,3.1.85,"09/16/2023, 06:00:00","{""1"":8}",lumi.54ef44100051af6d,4,"09/16/2023, 05:30:00"
5,,3.1.85,"09/16/2023, 06:30:00","{""1"":7}",lumi.54ef44100051af6d,4,"09/16/2023, 06:00:00"
4,,3.1.85,"09/18/2023, 20:30:00","{""1"":15}",lumi.54ef44100051af6d,4,"09/18/2023, 20:00:00"
3,,3.1.85,"09/18/2023, 21:00:00","{""1"":21}",lumi.54ef44100051af6d,4,"09/18/2023, 20:30:00"
2,,3.1.85,"09/18/2023, 21:30:00","{""1"":19}",lumi.54ef44100051af6d,4,"09/18/2023, 21:00:00"
1,,3.1.85,"09/18/2023, 22:00:00","{""1"":21}",lumi.54ef44100051af6d,4,"09/18/2023, 21:30:00"
0,,3.1.85,"09/18/2023, 22:30:00","{""1"":6}",lumi.54ef44100051af6d,4,"09/18/2023, 22:00:00"
