,timeStamp,resourceId,value,subjectId
299,"11/07/2023, 00:00:49",3.1.85,1,lumi.54ef44100051af6d
298,"11/07/2023, 00:02:09",3.1.85,1,lumi.54ef44100051af6d
297,"11/07/2023, 00:03:07",3.1.85,1,lumi.54ef44100051af6d
296,"11/07/2023, 00:04:05",3.1.85,1,lumi.54ef44100051af6d
295,"11/07/2023, 00:05:20",3.1.85,1,lumi.54ef44100051af6d
294,"11/07/2023, 00:06:27",3.1.85,1,lumi.54ef44100051af6d
293,"11/07/2023, 00:07:28",3.1.85,1,lumi.54ef44100051af6d
292,"11/07/2023, 00:08:50",3.1.85,1,lumi.54ef44100051af6d
291,"11/07/2023, 00:09:49",3.1.85,1,lumi.54ef44100051af6d
290,"11/07/2023, 00:10:47",3.1.85,1,lumi.54ef44100051af6d
289,"11/07/2023, 00:12:11",3.1.85,1,lumi.54ef44100051af6d
288,"11/07/2023, 00:13:30",3.1.85,1,lumi.54ef44100051af6d
287,"11/07/2023, 00:14:28",3.1.85,1,lumi.54ef44100051af6d
286,"11/07/2023, 00:15:27",3.1.85,1,lumi.54ef44100051af6d
285,"11/07/2023, 00:16:25",3.1.85,1,lumi.54ef44100051af6d
284,"11/07/2023, 00:17:27",3.1.85,1,lumi.54ef44100051af6d
283,"11/07/2023, 00:18:55",3.1.85,1,lumi.54ef44100051af6d
282,"11/07/2023, 00:20:16",3.1.85,1,lumi.54ef44100051af6d
281,"11/07/2023, 00:22:37",3.1.85,1,lumi.54ef44100051af6d
280,"11/07/2023, 00:23:45",3.1.85,1,lumi.54ef44100051af6d
279,"11/07/2023, 00:24:45",3.1.85,1,lumi.54ef44100051af6d
278,"11/07/2023, 00:26:13",3.1.85,1,lumi.54ef44100051af6d
277,"11/07/2023, 00:27:40",3.1.85,1,lumi.54ef44100051af6d
276,"11/07/2023, 00:29:07",3.1.85,1,lumi.54ef44100051af6d
275,"11/07/2023, 00:30:05",3.1.85,1,lumi.54ef44100051af6d
274,"11/07/2023, 00:32:13",3.1.85,1,lumi.54ef44100051af6d
273,"11/07/2023, 00:33:48",3.1.85,1,lumi.54ef44100051af6d
272,"11/07/2023, 00:34:47",3.1.85,1,lumi.54ef44100051af6d
271,"11/07/2023, 00:36:27",3.1.85,1,lumi.54ef44100051af6d
270,"11/07/2023, 00:38:21",3.1.85,1,lumi.54ef44100051af6d
269,"11/07/2023, 00:39:44",3.1.85,1,lumi.54ef44100051af6d
268,"11/07/2023, 00:40:56",3.1.85,1,lumi.54ef44100051af6d
267,"11/07/2023, 00:41:54",3.1.85,1,lumi.54ef44100051af6d
266,"11/07/2023, 00:43:03",3.1.85,1,lumi.54ef44100051af6d
265,"11/07/2023, 00:44:28",3.1.85,1,lumi.54ef44100051af6d
264,"11/07/2023, 00:45:47",3.1.85,1,lumi.54ef44100051af6d
263,"11/07/2023, 00:46:47",3.1.85,1,lumi.54ef44100051af6d
262,"11/07/2023, 00:48:01",3.1.85,1,lumi.54ef44100051af6d
261,"11/07/2023, 00:49:51",3.1.85,1,lumi.54ef44100051af6d
260,"11/07/2023, 00:51:00",3.1.85,1,lumi.54ef44100051af6d
259,"11/07/2023, 00:52:00",3.1.85,1,lumi.54ef44100051af6d
258,"11/07/2023, 00:53:25",3.1.85,1,lumi.54ef44100051af6d
257,"11/07/2023, 00:54:40",3.1.85,1,lumi.54ef44100051af6d
256,"11/07/2023, 00:55:42",3.1.85,1,lumi.54ef44100051af6d
255,"11/07/2023, 00:56:43",3.1.85,1,lumi.54ef44100051af6d
254,"11/07/2023, 00:58:04",3.1.85,1,lumi.54ef44100051af6d
253,"11/07/2023, 01:00:04",3.1.85,1,lumi.54ef44100051af6d
252,"11/07/2023, 01:01:23",3.1.85,1,lumi.54ef44100051af6d
251,"11/07/2023, 01:02:59",3.1.85,1,lumi.54ef44100051af6d
250,"11/07/2023, 01:04:07",3.1.85,1,lumi.54ef44100051af6d
249,"11/07/2023, 01:05:24",3.1.85,1,lumi.54ef44100051af6d
248,"11/07/2023, 01:08:13",3.1.85,1,lumi.54ef44100051af6d
247,"11/07/2023, 01:09:20",3.1.85,1,lumi.54ef44100051af6d
246,"11/07/2023, 01:10:18",3.1.85,1,lumi.54ef44100051af6d
245,"11/07/2023, 01:11:48",3.1.85,1,lumi.54ef44100051af6d
244,"11/07/2023, 01:13:16",3.1.85,1,lumi.54ef44100051af6d
243,"11/07/2023, 01:15:41",3.1.85,1,lumi.54ef44100051af6d
242,"11/07/2023, 01:16:41",3.1.85,1,lumi.54ef44100051af6d
241,"11/07/2023, 01:17:55",3.1.85,1,lumi.54ef44100051af6d
240,"11/07/2023, 01:18:58",3.1.85,1,lumi.54ef44100051af6d
239,"11/07/2023, 01:20:33",3.1.85,1,lumi.54ef44100051af6d
238,"11/07/2023, 01:21:49",3.1.85,1,lumi.54ef44100051af6d
237,"11/07/2023, 01:23:50",3.1.85,1,lumi.54ef44100051af6d
236,"11/07/2023, 01:24:49",3.1.85,1,lumi.54ef44100051af6d
235,"11/07/2023, 01:27:13",3.1.85,1,lumi.54ef44100051af6d
234,"11/07/2023, 01:28:15",3.1.85,1,lumi.54ef44100051af6d
233,"11/07/2023, 01:29:15",3.1.85,1,lumi.54ef44100051af6d
232,"11/07/2023, 01:30:26",3.1.85,1,lumi.54ef44100051af6d
231,"11/07/2023, 01:31:38",3.1.85,1,lumi.54ef44100051af6d
