,timeStamp,resourceId,value,subjectId
23,"11/13/2023, 00:09:58",0.3.85,259,lumi.54ef44100065d162
22,"11/13/2023, 00:50:24",0.3.85,246,lumi.54ef44100065d162
21,"11/13/2023, 01:45:14",0.3.85,243,lumi.54ef44100065d162
20,"11/13/2023, 02:16:49",0.3.85,211,lumi.54ef44100065d162
19,"11/13/2023, 02:20:13",0.3.85,251,lumi.54ef44100065d162
18,"11/13/2023, 02:21:43",0.3.85,74,lumi.54ef44100065d162
17,"11/13/2023, 02:21:48",0.3.85,222,lumi.54ef44100065d162
16,"11/13/2023, 02:40:04",0.3.85,245,lumi.54ef44100065d162
15,"11/13/2023, 03:34:54",0.3.85,242,lumi.54ef44100065d162
14,"11/13/2023, 03:40:35",0.3.85,102,lumi.54ef44100065d162
13,"11/13/2023, 03:40:40",0.3.85,230,lumi.54ef44100065d162
12,"11/13/2023, 03:42:54",0.3.85,81,lumi.54ef44100065d162
11,"11/13/2023, 03:42:59",0.3.85,225,lumi.54ef44100065d162
10,"11/13/2023, 04:29:44",0.3.85,244,lumi.54ef44100065d162
9,"11/13/2023, 05:24:34",0.3.85,244,lumi.54ef44100065d162
8,"11/13/2023, 05:51:20",0.3.85,0,lumi.54ef44100065d162
7,"11/13/2023, 07:14:13",0.3.85,0,lumi.54ef44100065d162
6,"11/13/2023, 07:39:30",0.3.85,25,lumi.54ef44100065d162
5,"11/13/2023, 07:39:35",0.3.85,1,lumi.54ef44100065d162
4,"11/13/2023, 08:09:03",0.3.85,4,lumi.54ef44100065d162
3,"11/13/2023, 09:03:53",0.3.85,7,lumi.54ef44100065d162
2,"11/13/2023, 09:12:28",0.3.85,8,lumi.54ef44100065d162
1,"11/13/2023, 09:58:43",0.3.85,15,lumi.54ef44100065d162
0,"11/13/2023, 11:48:22",0.3.85,13,lumi.54ef44100065d162
