,timeStamp,resourceId,value,subjectId
256,"11/14/2023, 00:22:15",0.1.85,2086,lumi.54ef4410004b0b00
255,"11/14/2023, 00:39:42",0.2.85,5526,lumi.54ef4410004b0b00
254,"11/14/2023, 00:49:53",0.1.85,2076,lumi.54ef4410004b0b00
253,"11/14/2023, 00:49:53",0.2.85,5558,lumi.54ef4410004b0b00
252,"11/14/2023, 00:49:53",0.3.85,102800,lumi.54ef4410004b0b00
251,"11/14/2023, 01:44:27",0.1.85,2077,lumi.54ef4410004b0b00
250,"11/14/2023, 01:44:27",0.2.85,5634,lumi.54ef4410004b0b00
249,"11/14/2023, 01:44:27",0.3.85,102900,lumi.54ef4410004b0b00
248,"11/14/2023, 02:30:40",0.1.85,2032,lumi.54ef4410004b0b00
247,"11/14/2023, 02:39:02",0.1.85,2032,lumi.54ef4410004b0b00
246,"11/14/2023, 02:39:02",0.2.85,5731,lumi.54ef4410004b0b00
245,"11/14/2023, 02:39:02",0.3.85,102900,lumi.54ef4410004b0b00
244,"11/14/2023, 03:33:36",0.1.85,1989,lumi.54ef4410004b0b00
243,"11/14/2023, 03:33:36",0.2.85,5833,lumi.54ef4410004b0b00
242,"11/14/2023, 03:33:36",0.3.85,102900,lumi.54ef4410004b0b00
241,"11/14/2023, 03:44:21",0.1.85,1981,lumi.54ef4410004b0b00
240,"11/14/2023, 04:28:10",0.1.85,1964,lumi.54ef4410004b0b00
239,"11/14/2023, 04:28:10",0.2.85,5899,lumi.54ef4410004b0b00
238,"11/14/2023, 04:28:10",0.3.85,102900,lumi.54ef4410004b0b00
237,"11/14/2023, 04:40:34",0.3.85,102880,lumi.54ef4410004b0b00
236,"11/14/2023, 05:22:45",0.1.85,1954,lumi.54ef4410004b0b00
235,"11/14/2023, 05:22:45",0.2.85,5982,lumi.54ef4410004b0b00
234,"11/14/2023, 05:22:45",0.3.85,102800,lumi.54ef4410004b0b00
233,"11/14/2023, 06:17:19",0.1.85,1933,lumi.54ef4410004b0b00
232,"11/14/2023, 06:17:19",0.2.85,6024,lumi.54ef4410004b0b00
231,"11/14/2023, 06:17:19",0.3.85,102800,lumi.54ef4410004b0b00
230,"11/14/2023, 07:11:53",0.1.85,1961,lumi.54ef4410004b0b00
229,"11/14/2023, 07:11:53",0.2.85,6047,lumi.54ef4410004b0b00
228,"11/14/2023, 07:11:53",0.3.85,102800,lumi.54ef4410004b0b00
