,timeStamp,resourceId,value,subjectId
9,"11/18/2023, 14:29:27",13.1.85,1,lumi.158d000896caeb
8,"11/18/2023, 14:29:44",13.1.85,2,lumi.158d000896caeb
7,"11/18/2023, 14:30:27",13.1.85,1,lumi.158d000896caeb
6,"11/18/2023, 14:31:25",13.1.85,1,lumi.158d000896caeb
5,"11/18/2023, 14:32:22",13.1.85,1,lumi.158d000896caeb
4,"11/19/2023, 21:15:18",13.1.85,1,lumi.158d000896caeb
3,"11/19/2023, 21:15:22",13.1.85,2,lumi.158d000896caeb
2,"11/19/2023, 21:25:01",13.1.85,1,lumi.158d000896caeb
1,"11/19/2023, 21:56:23",13.1.85,1,lumi.158d000896caeb
0,"11/19/2023, 21:56:39",13.1.85,2,lumi.158d000896caeb
