,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
284,,0.3.85,"05/13/2023, 00:30:00",101300.0,lumi.54ef4410004b18a1,3,"05/13/2023, 00:00:00"
283,,0.2.85,"05/13/2023, 00:30:00",5587.0,lumi.54ef4410004b18a1,3,"05/13/2023, 00:00:00"
282,,0.1.85,"05/13/2023, 00:30:00",2514.0,lumi.54ef4410004b18a1,3,"05/13/2023, 00:00:00"
281,"05/13/2023, 00:28:28",0.2.85,"05/13/2023, 00:30:00",5587.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 00:00:00"
280,"05/13/2023, 00:28:28",0.3.85,"05/13/2023, 00:30:00",101300.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 00:00:00"
279,"05/13/2023, 00:28:28",0.1.85,"05/13/2023, 00:30:00",2514.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 00:00:00"
278,"05/13/2023, 00:28:28",0.1.85,"05/13/2023, 00:30:00",2514.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 00:00:00"
277,"05/13/2023, 00:28:28",0.2.85,"05/13/2023, 00:30:00",5587.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 00:00:00"
276,"05/13/2023, 00:28:28",0.3.85,"05/13/2023, 00:30:00",101300.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 00:00:00"
275,,0.3.85,"05/13/2023, 01:00:00",101360.0,lumi.54ef4410004b18a1,3,"05/13/2023, 00:30:00"
274,,0.2.85,"05/13/2023, 01:00:00",6065.0,lumi.54ef4410004b18a1,3,"05/13/2023, 00:30:00"
273,"05/13/2023, 00:40:42",0.2.85,"05/13/2023, 01:00:00",6379.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 00:30:00"
272,"05/13/2023, 00:43:59",0.3.85,"05/13/2023, 01:00:00",101360.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 00:30:00"
271,"05/13/2023, 00:33:47",0.2.85,"05/13/2023, 01:00:00",5751.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 00:30:00"
270,"05/13/2023, 00:43:59",0.3.85,"05/13/2023, 01:00:00",101360.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 00:30:00"
269,,0.3.85,"05/13/2023, 01:30:00",101315.0,lumi.54ef4410004b18a1,3,"05/13/2023, 01:00:00"
268,,0.2.85,"05/13/2023, 01:30:00",6725.0,lumi.54ef4410004b18a1,3,"05/13/2023, 01:00:00"
267,,0.1.85,"05/13/2023, 01:30:00",2520.0,lumi.54ef4410004b18a1,3,"05/13/2023, 01:00:00"
266,"05/13/2023, 01:23:11",0.2.85,"05/13/2023, 01:30:00",6725.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 01:00:00"
265,"05/13/2023, 01:24:19",0.3.85,"05/13/2023, 01:30:00",101330.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 01:00:00"
264,"05/13/2023, 01:23:11",0.1.85,"05/13/2023, 01:30:00",2520.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 01:00:00"
263,"05/13/2023, 01:23:11",0.1.85,"05/13/2023, 01:30:00",2520.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 01:00:00"
262,"05/13/2023, 01:23:11",0.2.85,"05/13/2023, 01:30:00",6725.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 01:00:00"
261,"05/13/2023, 01:23:11",0.3.85,"05/13/2023, 01:30:00",101300.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 01:00:00"
260,,0.3.85,"05/13/2023, 02:00:00",101300.0,lumi.54ef4410004b18a1,3,"05/13/2023, 01:30:00"
259,"05/13/2023, 01:58:24",0.3.85,"05/13/2023, 02:00:00",101300.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 01:30:00"
258,"05/13/2023, 01:58:24",0.3.85,"05/13/2023, 02:00:00",101300.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 01:30:00"
257,,0.3.85,"05/13/2023, 02:30:00",101235.0,lumi.54ef4410004b18a1,3,"05/13/2023, 02:00:00"
256,,0.2.85,"05/13/2023, 02:30:00",6893.0,lumi.54ef4410004b18a1,3,"05/13/2023, 02:00:00"
255,,0.1.85,"05/13/2023, 02:30:00",2521.0,lumi.54ef4410004b18a1,3,"05/13/2023, 02:00:00"
254,"05/13/2023, 02:17:55",0.2.85,"05/13/2023, 02:30:00",6893.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 02:00:00"
253,"05/13/2023, 02:18:08",0.3.85,"05/13/2023, 02:30:00",101270.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 02:00:00"
252,"05/13/2023, 02:17:55",0.1.85,"05/13/2023, 02:30:00",2521.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 02:00:00"
251,"05/13/2023, 02:17:55",0.1.85,"05/13/2023, 02:30:00",2521.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 02:00:00"
250,"05/13/2023, 02:17:55",0.2.85,"05/13/2023, 02:30:00",6893.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 02:00:00"
249,"05/13/2023, 02:17:55",0.3.85,"05/13/2023, 02:30:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 02:00:00"
248,,0.3.85,"05/13/2023, 03:30:00",101200.0,lumi.54ef4410004b18a1,3,"05/13/2023, 03:00:00"
247,,0.2.85,"05/13/2023, 03:30:00",6864.0,lumi.54ef4410004b18a1,3,"05/13/2023, 03:00:00"
246,,0.1.85,"05/13/2023, 03:30:00",2511.0,lumi.54ef4410004b18a1,3,"05/13/2023, 03:00:00"
245,"05/13/2023, 03:12:38",0.2.85,"05/13/2023, 03:30:00",6864.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 03:00:00"
244,"05/13/2023, 03:12:38",0.3.85,"05/13/2023, 03:30:00",101200.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 03:00:00"
243,"05/13/2023, 03:12:38",0.1.85,"05/13/2023, 03:30:00",2511.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 03:00:00"
242,"05/13/2023, 03:12:38",0.1.85,"05/13/2023, 03:30:00",2511.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 03:00:00"
241,"05/13/2023, 03:12:38",0.2.85,"05/13/2023, 03:30:00",6864.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 03:00:00"
240,"05/13/2023, 03:12:38",0.3.85,"05/13/2023, 03:30:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 03:00:00"
239,,0.3.85,"05/13/2023, 04:30:00",101220.0,lumi.54ef4410004b18a1,3,"05/13/2023, 04:00:00"
238,,0.2.85,"05/13/2023, 04:30:00",6825.0,lumi.54ef4410004b18a1,3,"05/13/2023, 04:00:00"
237,,0.1.85,"05/13/2023, 04:30:00",2513.0,lumi.54ef4410004b18a1,3,"05/13/2023, 04:00:00"
236,"05/13/2023, 04:07:22",0.2.85,"05/13/2023, 04:30:00",6825.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 04:00:00"
235,"05/13/2023, 04:10:08",0.3.85,"05/13/2023, 04:30:00",101240.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 04:00:00"
234,"05/13/2023, 04:07:22",0.1.85,"05/13/2023, 04:30:00",2513.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 04:00:00"
233,"05/13/2023, 04:07:22",0.1.85,"05/13/2023, 04:30:00",2513.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 04:00:00"
232,"05/13/2023, 04:07:22",0.2.85,"05/13/2023, 04:30:00",6825.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 04:00:00"
231,"05/13/2023, 04:07:22",0.3.85,"05/13/2023, 04:30:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 04:00:00"
230,,0.3.85,"05/13/2023, 05:30:00",101200.0,lumi.54ef4410004b18a1,3,"05/13/2023, 05:00:00"
229,,0.2.85,"05/13/2023, 05:30:00",6709.0,lumi.54ef4410004b18a1,3,"05/13/2023, 05:00:00"
228,,0.1.85,"05/13/2023, 05:30:00",2508.0,lumi.54ef4410004b18a1,3,"05/13/2023, 05:00:00"
227,"05/13/2023, 05:02:06",0.2.85,"05/13/2023, 05:30:00",6709.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 05:00:00"
226,"05/13/2023, 05:02:06",0.3.85,"05/13/2023, 05:30:00",101200.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 05:00:00"
225,"05/13/2023, 05:02:06",0.1.85,"05/13/2023, 05:30:00",2508.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 05:00:00"
224,"05/13/2023, 05:02:06",0.1.85,"05/13/2023, 05:30:00",2508.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 05:00:00"
223,"05/13/2023, 05:02:06",0.2.85,"05/13/2023, 05:30:00",6709.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 05:00:00"
222,"05/13/2023, 05:02:06",0.3.85,"05/13/2023, 05:30:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 05:00:00"
221,,0.3.85,"05/13/2023, 06:00:00",101205.0,lumi.54ef4410004b18a1,3,"05/13/2023, 05:30:00"
220,,0.2.85,"05/13/2023, 06:00:00",6632.0,lumi.54ef4410004b18a1,3,"05/13/2023, 05:30:00"
219,,0.1.85,"05/13/2023, 06:00:00",2506.0,lumi.54ef4410004b18a1,3,"05/13/2023, 05:30:00"
218,"05/13/2023, 05:56:49",0.2.85,"05/13/2023, 06:00:00",6632.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 05:30:00"
217,"05/13/2023, 05:52:05",0.3.85,"05/13/2023, 06:00:00",101210.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 05:30:00"
216,"05/13/2023, 05:56:49",0.1.85,"05/13/2023, 06:00:00",2506.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 05:30:00"
215,"05/13/2023, 05:56:49",0.1.85,"05/13/2023, 06:00:00",2506.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 05:30:00"
214,"05/13/2023, 05:56:49",0.2.85,"05/13/2023, 06:00:00",6632.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 05:30:00"
213,"05/13/2023, 05:56:49",0.3.85,"05/13/2023, 06:00:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 05:30:00"
212,,0.3.85,"05/13/2023, 07:00:00",101200.0,lumi.54ef4410004b18a1,3,"05/13/2023, 06:30:00"
211,,0.2.85,"05/13/2023, 07:00:00",6535.0,lumi.54ef4410004b18a1,3,"05/13/2023, 06:30:00"
210,,0.1.85,"05/13/2023, 07:00:00",2503.0,lumi.54ef4410004b18a1,3,"05/13/2023, 06:30:00"
209,"05/13/2023, 06:51:33",0.2.85,"05/13/2023, 07:00:00",6535.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 06:30:00"
208,"05/13/2023, 06:51:33",0.3.85,"05/13/2023, 07:00:00",101200.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 06:30:00"
207,"05/13/2023, 06:51:33",0.1.85,"05/13/2023, 07:00:00",2503.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 06:30:00"
206,"05/13/2023, 06:51:33",0.1.85,"05/13/2023, 07:00:00",2503.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 06:30:00"
205,"05/13/2023, 06:51:33",0.2.85,"05/13/2023, 07:00:00",6535.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 06:30:00"
204,"05/13/2023, 06:51:33",0.3.85,"05/13/2023, 07:00:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 06:30:00"
203,,0.3.85,"05/13/2023, 08:00:00",101200.0,lumi.54ef4410004b18a1,3,"05/13/2023, 07:30:00"
202,,0.2.85,"05/13/2023, 08:00:00",6474.0,lumi.54ef4410004b18a1,3,"05/13/2023, 07:30:00"
201,,0.1.85,"05/13/2023, 08:00:00",2504.0,lumi.54ef4410004b18a1,3,"05/13/2023, 07:30:00"
200,"05/13/2023, 07:46:16",0.2.85,"05/13/2023, 08:00:00",6474.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 07:30:00"
199,"05/13/2023, 07:46:16",0.3.85,"05/13/2023, 08:00:00",101200.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 07:30:00"
198,"05/13/2023, 07:46:16",0.1.85,"05/13/2023, 08:00:00",2504.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 07:30:00"
197,"05/13/2023, 07:46:16",0.1.85,"05/13/2023, 08:00:00",2504.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 07:30:00"
196,"05/13/2023, 07:46:16",0.2.85,"05/13/2023, 08:00:00",6474.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 07:30:00"
195,"05/13/2023, 07:46:16",0.3.85,"05/13/2023, 08:00:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 07:30:00"
194,,0.3.85,"05/13/2023, 08:30:00",101240.0,lumi.54ef4410004b18a1,3,"05/13/2023, 08:00:00"
193,,0.2.85,"05/13/2023, 08:30:00",7004.0,lumi.54ef4410004b18a1,3,"05/13/2023, 08:00:00"
192,,0.1.85,"05/13/2023, 08:30:00",2551.0,lumi.54ef4410004b18a1,3,"05/13/2023, 08:00:00"
191,"05/13/2023, 08:08:00",0.2.85,"05/13/2023, 08:30:00",7004.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 08:00:00"
190,"05/13/2023, 08:29:42",0.3.85,"05/13/2023, 08:30:00",101240.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 08:00:00"
189,"05/13/2023, 08:17:40",0.1.85,"05/13/2023, 08:30:00",2551.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 08:00:00"
188,"05/13/2023, 08:17:40",0.1.85,"05/13/2023, 08:30:00",2551.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 08:00:00"
187,"05/13/2023, 08:08:00",0.2.85,"05/13/2023, 08:30:00",7004.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 08:00:00"
186,"05/13/2023, 08:29:42",0.3.85,"05/13/2023, 08:30:00",101240.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 08:00:00"
185,,0.3.85,"05/13/2023, 09:00:00",101200.0,lumi.54ef4410004b18a1,3,"05/13/2023, 08:30:00"
184,,0.2.85,"05/13/2023, 09:00:00",7099.0,lumi.54ef4410004b18a1,3,"05/13/2023, 08:30:00"
183,,0.1.85,"05/13/2023, 09:00:00",2532.0,lumi.54ef4410004b18a1,3,"05/13/2023, 08:30:00"
182,"05/13/2023, 08:41:00",0.2.85,"05/13/2023, 09:00:00",7099.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 08:30:00"
181,"05/13/2023, 08:41:00",0.3.85,"05/13/2023, 09:00:00",101200.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 08:30:00"
180,"05/13/2023, 08:41:00",0.1.85,"05/13/2023, 09:00:00",2532.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 08:30:00"
179,"05/13/2023, 08:41:00",0.1.85,"05/13/2023, 09:00:00",2532.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 08:30:00"
178,"05/13/2023, 08:41:00",0.2.85,"05/13/2023, 09:00:00",7099.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 08:30:00"
177,"05/13/2023, 08:41:00",0.3.85,"05/13/2023, 09:00:00",101200.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 08:30:00"
176,,0.3.85,"05/13/2023, 09:30:00",101210.0,lumi.54ef4410004b18a1,3,"05/13/2023, 09:00:00"
175,"05/13/2023, 09:00:54",0.3.85,"05/13/2023, 09:30:00",101210.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 09:00:00"
174,"05/13/2023, 09:00:54",0.3.85,"05/13/2023, 09:30:00",101210.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 09:00:00"
173,,0.3.85,"05/13/2023, 10:00:00",101180.0,lumi.54ef4410004b18a1,3,"05/13/2023, 09:30:00"
172,"05/13/2023, 09:53:05",0.3.85,"05/13/2023, 10:00:00",101180.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 09:30:00"
171,"05/13/2023, 09:53:05",0.3.85,"05/13/2023, 10:00:00",101180.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 09:30:00"
170,,0.3.85,"05/13/2023, 10:30:00",101150.0,lumi.54ef4410004b18a1,3,"05/13/2023, 10:00:00"
169,,0.1.85,"05/13/2023, 10:30:00",2500.0,lumi.54ef4410004b18a1,3,"05/13/2023, 10:00:00"
168,"05/13/2023, 10:10:46",0.3.85,"05/13/2023, 10:30:00",101150.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 10:00:00"
167,"05/13/2023, 10:15:30",0.1.85,"05/13/2023, 10:30:00",2500.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 10:00:00"
166,"05/13/2023, 10:15:30",0.1.85,"05/13/2023, 10:30:00",2500.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 10:00:00"
165,"05/13/2023, 10:10:46",0.3.85,"05/13/2023, 10:30:00",101150.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 10:00:00"
164,,0.3.85,"05/13/2023, 11:00:00",101110.0,lumi.54ef4410004b18a1,3,"05/13/2023, 10:30:00"
163,,0.2.85,"05/13/2023, 11:00:00",6943.0,lumi.54ef4410004b18a1,3,"05/13/2023, 10:30:00"
162,,0.1.85,"05/13/2023, 11:00:00",2504.0,lumi.54ef4410004b18a1,3,"05/13/2023, 10:30:00"
161,"05/13/2023, 10:30:27",0.2.85,"05/13/2023, 11:00:00",6943.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 10:30:00"
160,"05/13/2023, 10:47:27",0.3.85,"05/13/2023, 11:00:00",101120.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 10:30:00"
159,"05/13/2023, 10:30:27",0.1.85,"05/13/2023, 11:00:00",2504.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 10:30:00"
158,"05/13/2023, 10:30:27",0.1.85,"05/13/2023, 11:00:00",2504.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 10:30:00"
157,"05/13/2023, 10:30:27",0.2.85,"05/13/2023, 11:00:00",6943.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 10:30:00"
156,"05/13/2023, 10:30:27",0.3.85,"05/13/2023, 11:00:00",101100.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 10:30:00"
155,,0.3.85,"05/13/2023, 11:30:00",101045.0,lumi.54ef4410004b18a1,3,"05/13/2023, 11:00:00"
154,,0.2.85,"05/13/2023, 11:30:00",6884.0,lumi.54ef4410004b18a1,3,"05/13/2023, 11:00:00"
153,,0.1.85,"05/13/2023, 11:30:00",2497.0,lumi.54ef4410004b18a1,3,"05/13/2023, 11:00:00"
152,"05/13/2023, 11:25:11",0.2.85,"05/13/2023, 11:30:00",6884.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 11:00:00"
151,"05/13/2023, 11:08:46",0.3.85,"05/13/2023, 11:30:00",101090.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 11:00:00"
150,"05/13/2023, 11:25:11",0.1.85,"05/13/2023, 11:30:00",2497.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 11:00:00"
149,"05/13/2023, 11:25:11",0.1.85,"05/13/2023, 11:30:00",2497.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 11:00:00"
148,"05/13/2023, 11:25:11",0.2.85,"05/13/2023, 11:30:00",6884.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 11:00:00"
147,"05/13/2023, 11:25:11",0.3.85,"05/13/2023, 11:30:00",101000.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 11:00:00"
146,,0.3.85,"05/13/2023, 12:00:00",101045.0,lumi.54ef4410004b18a1,3,"05/13/2023, 11:30:00"
145,"05/13/2023, 11:36:42",0.3.85,"05/13/2023, 12:00:00",101060.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 11:30:00"
144,"05/13/2023, 11:59:18",0.3.85,"05/13/2023, 12:00:00",101030.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 11:30:00"
143,,0.3.85,"05/13/2023, 12:30:00",101000.0,lumi.54ef4410004b18a1,3,"05/13/2023, 12:00:00"
142,,0.2.85,"05/13/2023, 12:30:00",6793.0,lumi.54ef4410004b18a1,3,"05/13/2023, 12:00:00"
141,,0.1.85,"05/13/2023, 12:30:00",2500.0,lumi.54ef4410004b18a1,3,"05/13/2023, 12:00:00"
140,"05/13/2023, 12:19:54",0.2.85,"05/13/2023, 12:30:00",6793.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 12:00:00"
139,"05/13/2023, 12:19:54",0.3.85,"05/13/2023, 12:30:00",101000.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 12:00:00"
138,"05/13/2023, 12:19:54",0.1.85,"05/13/2023, 12:30:00",2500.000000,lumi.54ef4410004b18a1,2,"05/13/2023, 12:00:00"
137,"05/13/2023, 12:19:54",0.1.85,"05/13/2023, 12:30:00",2500.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 12:00:00"
136,"05/13/2023, 12:19:54",0.2.85,"05/13/2023, 12:30:00",6793.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 12:00:00"
135,"05/13/2023, 12:19:54",0.3.85,"05/13/2023, 12:30:00",101000.000000,lumi.54ef4410004b18a1,1,"05/13/2023, 12:00:00"
134,,0.3.85,"05/13/2023, 13:00:00",100955.0,lumi.54ef4410004b18a1,3,"05/13/2023, 12:30:00"
