,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
215,,0.3.85,"05/27/2023, 02:00:00",0.0,lumi.54ef44100065cf48,3,"05/27/2023, 01:30:00"
214,"05/27/2023, 01:48:28",0.3.85,"05/27/2023, 02:00:00",0.000000,lumi.54ef44100065cf48,2,"05/27/2023, 01:30:00"
213,"05/27/2023, 01:48:28",0.3.85,"05/27/2023, 02:00:00",0.000000,lumi.54ef44100065cf48,1,"05/27/2023, 01:30:00"
212,,0.3.85,"05/27/2023, 04:30:00",0.0,lumi.54ef44100065cf48,3,"05/27/2023, 04:00:00"
211,"05/27/2023, 04:08:33",0.3.85,"05/27/2023, 04:30:00",0.000000,lumi.54ef44100065cf48,2,"05/27/2023, 04:00:00"
210,"05/27/2023, 04:08:33",0.3.85,"05/27/2023, 04:30:00",0.000000,lumi.54ef44100065cf48,1,"05/27/2023, 04:00:00"
209,,0.3.85,"05/27/2023, 07:00:00",0.0,lumi.54ef44100065cf48,3,"05/27/2023, 06:30:00"
208,"05/27/2023, 06:52:31",0.3.85,"05/27/2023, 07:00:00",0.000000,lumi.54ef44100065cf48,2,"05/27/2023, 06:30:00"
207,"05/27/2023, 06:52:31",0.3.85,"05/27/2023, 07:00:00",0.000000,lumi.54ef44100065cf48,1,"05/27/2023, 06:30:00"
206,,0.3.85,"05/27/2023, 08:30:00",31.0,lumi.54ef44100065cf48,3,"05/27/2023, 08:00:00"
205,"05/27/2023, 08:15:26",0.3.85,"05/27/2023, 08:30:00",31.000000,lumi.54ef44100065cf48,2,"05/27/2023, 08:00:00"
204,"05/27/2023, 08:15:26",0.3.85,"05/27/2023, 08:30:00",31.000000,lumi.54ef44100065cf48,1,"05/27/2023, 08:00:00"
203,,0.3.85,"05/27/2023, 09:00:00",52.666667,lumi.54ef44100065cf48,3,"05/27/2023, 08:30:00"
202,"05/27/2023, 08:36:52",0.3.85,"05/27/2023, 09:00:00",112.000000,lumi.54ef44100065cf48,2,"05/27/2023, 08:30:00"
201,"05/27/2023, 08:40:55",0.3.85,"05/27/2023, 09:00:00",18.000000,lumi.54ef44100065cf48,1,"05/27/2023, 08:30:00"
200,,0.3.85,"05/27/2023, 09:30:00",11.0,lumi.54ef44100065cf48,3,"05/27/2023, 09:00:00"
199,"05/27/2023, 09:27:28",0.3.85,"05/27/2023, 09:30:00",11.000000,lumi.54ef44100065cf48,2,"05/27/2023, 09:00:00"
198,"05/27/2023, 09:27:28",0.3.85,"05/27/2023, 09:30:00",11.000000,lumi.54ef44100065cf48,1,"05/27/2023, 09:00:00"
197,,0.3.85,"05/27/2023, 12:30:00",7.0,lumi.54ef44100065cf48,3,"05/27/2023, 12:00:00"
196,"05/27/2023, 12:20:26",0.3.85,"05/27/2023, 12:30:00",7.000000,lumi.54ef44100065cf48,2,"05/27/2023, 12:00:00"
195,"05/27/2023, 12:20:26",0.3.85,"05/27/2023, 12:30:00",7.000000,lumi.54ef44100065cf48,1,"05/27/2023, 12:00:00"
194,,0.3.85,"05/27/2023, 13:00:00",18.0,lumi.54ef44100065cf48,3,"05/27/2023, 12:30:00"
193,"05/27/2023, 12:58:57",0.3.85,"05/27/2023, 13:00:00",18.000000,lumi.54ef44100065cf48,2,"05/27/2023, 12:30:00"
192,"05/27/2023, 12:58:57",0.3.85,"05/27/2023, 13:00:00",18.000000,lumi.54ef44100065cf48,1,"05/27/2023, 12:30:00"
191,,0.3.85,"05/27/2023, 13:30:00",21.333333,lumi.54ef44100065cf48,3,"05/27/2023, 13:00:00"
190,"05/27/2023, 13:02:50",0.3.85,"05/27/2023, 13:30:00",25.000000,lumi.54ef44100065cf48,2,"05/27/2023, 13:00:00"
189,"05/27/2023, 13:17:36",0.3.85,"05/27/2023, 13:30:00",18.000000,lumi.54ef44100065cf48,1,"05/27/2023, 13:00:00"
188,,0.3.85,"05/27/2023, 14:00:00",35.5,lumi.54ef44100065cf48,3,"05/27/2023, 13:30:00"
187,"05/27/2023, 13:54:50",0.3.85,"05/27/2023, 14:00:00",46.000000,lumi.54ef44100065cf48,2,"05/27/2023, 13:30:00"
186,"05/27/2023, 13:40:36",0.3.85,"05/27/2023, 14:00:00",25.000000,lumi.54ef44100065cf48,1,"05/27/2023, 13:30:00"
185,,0.3.85,"05/27/2023, 14:30:00",50.5,lumi.54ef44100065cf48,3,"05/27/2023, 14:00:00"
184,"05/27/2023, 14:09:44",0.3.85,"05/27/2023, 14:30:00",58.000000,lumi.54ef44100065cf48,2,"05/27/2023, 14:00:00"
183,"05/27/2023, 14:26:04",0.3.85,"05/27/2023, 14:30:00",41.000000,lumi.54ef44100065cf48,1,"05/27/2023, 14:00:00"
182,,0.3.85,"05/27/2023, 15:00:00",27.0,lumi.54ef44100065cf48,3,"05/27/2023, 14:30:00"
181,"05/27/2023, 14:38:24",0.3.85,"05/27/2023, 15:00:00",34.000000,lumi.54ef44100065cf48,2,"05/27/2023, 14:30:00"
180,"05/27/2023, 14:48:20",0.3.85,"05/27/2023, 15:00:00",20.000000,lumi.54ef44100065cf48,1,"05/27/2023, 14:30:00"
179,,0.3.85,"05/27/2023, 15:30:00",15.5,lumi.54ef44100065cf48,3,"05/27/2023, 15:00:00"
178,"05/27/2023, 15:04:23",0.3.85,"05/27/2023, 15:30:00",18.000000,lumi.54ef44100065cf48,2,"05/27/2023, 15:00:00"
177,"05/27/2023, 15:11:52",0.3.85,"05/27/2023, 15:30:00",13.000000,lumi.54ef44100065cf48,1,"05/27/2023, 15:00:00"
176,,0.3.85,"05/27/2023, 16:00:00",20.0,lumi.54ef44100065cf48,3,"05/27/2023, 15:30:00"
175,"05/27/2023, 15:30:59",0.3.85,"05/27/2023, 16:00:00",20.000000,lumi.54ef44100065cf48,2,"05/27/2023, 15:30:00"
174,"05/27/2023, 15:30:59",0.3.85,"05/27/2023, 16:00:00",20.000000,lumi.54ef44100065cf48,1,"05/27/2023, 15:30:00"
173,,0.3.85,"05/27/2023, 17:00:00",13.0,lumi.54ef44100065cf48,3,"05/27/2023, 16:30:00"
172,"05/27/2023, 16:44:45",0.3.85,"05/27/2023, 17:00:00",13.000000,lumi.54ef44100065cf48,2,"05/27/2023, 16:30:00"
171,"05/27/2023, 16:44:45",0.3.85,"05/27/2023, 17:00:00",13.000000,lumi.54ef44100065cf48,1,"05/27/2023, 16:30:00"
