,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"08/10/2023, 03:00:00",31.21,lumi.54ef44100062a003,0,"08/10/2023, 00:00:00"
13,,0.13.85,"08/10/2023, 08:00:00",42.86,lumi.54ef44100062a003,0,"08/10/2023, 03:30:00"
12,,0.13.85,"08/10/2023, 13:00:00",43.72999999999999,lumi.54ef44100062a003,0,"08/10/2023, 08:30:00"
11,,0.13.85,"08/10/2023, 18:00:00",43.77,lumi.54ef44100062a003,0,"08/10/2023, 13:30:00"
10,,0.13.85,"08/10/2023, 23:00:00",42.86,lumi.54ef44100062a003,0,"08/10/2023, 18:30:00"
9,,0.13.85,"08/11/2023, 04:00:00",42.28,lumi.54ef44100062a003,0,"08/10/2023, 23:30:00"
8,,0.13.85,"08/11/2023, 09:00:00",41.440000000000005,lumi.54ef44100062a003,0,"08/11/2023, 04:30:00"
7,,0.13.85,"08/11/2023, 14:00:00",41.879999999999995,lumi.54ef44100062a003,0,"08/11/2023, 09:30:00"
6,,0.13.85,"08/11/2023, 19:00:00",41.67000000000001,lumi.54ef44100062a003,0,"08/11/2023, 14:30:00"
5,,0.13.85,"08/12/2023, 00:00:00",42.61,lumi.54ef44100062a003,0,"08/11/2023, 19:30:00"
4,,0.13.85,"08/12/2023, 05:00:00",42.09,lumi.54ef44100062a003,0,"08/12/2023, 00:30:00"
3,,0.13.85,"08/12/2023, 10:00:00",41.86,lumi.54ef44100062a003,0,"08/12/2023, 05:30:00"
2,,0.13.85,"08/12/2023, 15:00:00",41.839999999999996,lumi.54ef44100062a003,0,"08/12/2023, 10:30:00"
1,,0.13.85,"08/12/2023, 20:00:00",41.690000000000005,lumi.54ef44100062a003,0,"08/12/2023, 15:30:00"
0,,0.13.85,"08/13/2023, 00:00:00",33.47999999999999,lumi.54ef44100062a003,0,"08/12/2023, 20:30:00"
