,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
10,,13.1.85,"08/28/2023, 09:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/28/2023, 08:30:00"
9,,13.1.85,"08/28/2023, 13:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/28/2023, 13:00:00"
8,,13.1.85,"08/28/2023, 17:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/28/2023, 16:30:00"
7,,13.1.85,"08/28/2023, 21:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/28/2023, 21:00:00"
6,,13.1.85,"08/29/2023, 01:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"08/29/2023, 00:30:00"
5,,13.1.85,"08/29/2023, 09:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"08/29/2023, 08:30:00"
4,,13.1.85,"08/29/2023, 17:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"08/29/2023, 16:30:00"
3,,13.1.85,"08/30/2023, 00:30:00","{""1"":2}",lumi.158d0008f34cd6,4,"08/30/2023, 00:00:00"
2,,13.1.85,"08/30/2023, 03:30:00","{""1"":2}",lumi.158d0008f34cd6,4,"08/30/2023, 03:00:00"
1,,13.1.85,"08/30/2023, 08:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/30/2023, 08:00:00"
0,,13.1.85,"08/30/2023, 11:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"08/30/2023, 11:00:00"
